许可经营业务,发证机关,状态,营业许可证号,英文名称,经营场所,许可文号,法人,出资人,行政区划代码,旅行社名称,统一社会信用代码,办理时间
"境内旅游业务,入境旅游业务",浙江省文化和旅游厅,有效,L-ZJ31361,"wenzhou efeng travel service co.,ltd.",浙江省温州市苍南县桥墩镇桥墩门社区新村223号,浙旅许可(2021)44号,贾秀珍,"贾秀珍,谢华评",330000,温州鹅峰旅游有限公司,91330327MA2L1UTG20,2021-03-29
境内旅游业务,浙江省文化和旅游厅,有效,L-ZJ32113,"shaoxing shangyu baby elephant travel agency co., ltd",浙江省绍兴市上虞区曹娥街道中华孝德园孝德广场东南侧,浙旅许可(2023)389号,陈杰洲,绍兴市上虞舜翔文旅发展有限公司,330000,绍兴市上虞小象旅行社有限公司,91330604MAD13GBW3J,2023-10-18
国内旅游业务、入境旅游业务,浙江省旅游局,有效,L-ZJ02129,"anji guihao international travel service co., ltd.",安吉县递铺镇云鸿东路473号,浙旅许可（2012）184号,吴姣娜,"吴姣娜,周智能",330000,安吉贵豪国际旅行社有限公司,91330523059577058X,2012-12-03
"国内旅游业务,入境旅游业务",浙江省文化和旅游厅,有效,L-ZJ31109,"xiangshan yiting wancheng travel co.,ltd",浙江省宁波市象山县新桥镇高湾盐场一号,浙旅许可(2019)219号,朱其全,朱其全,330000,象山逸庭万乘旅游有限公司,91330225MA2GW0JA2X,2019-12-13
境内旅游业务、入境旅游业务,浙江省文化和旅游厅,有效,L-ZJ01894,zhoushan tianya international travel service co.ltd,浙江省舟山市普陀区东港街道海景时代广场3幢1006室,浙旅许可（2011）204号,方涨云,方涨云,330000,舟山天涯国际旅游有限公司,9133090258501575XA,2015-01-28
国内旅游业务、入境旅游业务,浙江省旅游局,有效,L-ZJ01946,"jinhua zhengda travel service co., ltd",金华市婺城区新狮街道丹光东路390号一、二楼,浙旅许可(2012)1号,徐轶军,"徐轶军,陈燕芳",330000,金华正大旅游服务有限公司,913307025905519364,2016-12-22
国内旅游业务、入境旅游业务,浙江省旅游局,有效,L-ZJ01934,"Chunan Qiandao Lake Count Holiday Travel Agenoy Co.,Ltd.",千岛湖镇新安大街5-3号6120、6121室,浙旅许可(2011)244号,王守端,淳安千岛湖游艇俱乐部置业有限公司/苑海,330000,淳安千岛湖伯爵假日旅行社有限公司,91330127586531334P,2016-03-15
国内旅游业务、入境旅游业务,浙江省旅游局,有效,L-ZJ00851,暂无,上城区平海路53号杭州友好饭店2幢一楼4-2室,浙旅许可(2009)851号,陈国泉,陈国泉,330000,杭州中友旅行社有限公司,91330102665243349G,2012-07-19
"境内旅游业务,入境旅游业务",浙江省文化和旅游厅,有效,L-ZJ31341,"taishun yangcheng international travel service co.,ltd.",浙江省温州市泰顺县罗阳镇横街22号201室,浙旅许可(2021)24号,刘娟芳,"刘娟芳,郑敏燕,徐倩文,陈燕洁",330000,泰顺县阳程国际旅行社有限公司,91330329MA2JCFR57L,2021-03-03
国内旅游业务,浙江省旅游局,有效,L-ZJ30867,"Yongkang Xintu Travel Service Co., Ltd.",浙江省金华市永康市江南街道溪心南区7幢5号,浙旅许可(2018)248号,潘时恩,潘时恩,330000,永康市鑫途旅行社有限公司,91330784MA2DFXJ803,2018-11-20
境内旅游业务、入境旅游业务,浙江省文化和旅游厅,有效,L-ZJ30783,"zhejiang yunyu international travel service co., ltd.",浙江省杭州市上城区下华光巷58号浙江国贸大厦1102室,浙旅许可(2018)164号,陈璜,"陈璜,郑皇飞",330000,浙江云誉国际旅行社有限公司,91330102MA2B1QTE6U,2018-07-09
国内旅游业务、入境旅游业务,浙江省旅游局,注销,L-ZJ00348,暂无,淳安县千岛湖镇新安南路12号,浙旅许可(2009)348号,应文霞,西园山庄,330000,淳安千岛湖西园旅行社有限公司,91330127790932266G,2013-07-15
"境内旅游业务,入境旅游业务",浙江省文化和旅游厅,有效,L-ZJ31211,"hangzhou xingjielu travel agency  co.,ltd.",浙江省杭州市上城区中河中路168号浙江国贸大厦1112室,浙旅许可(2020)90号,曹伟斌,"曹伟斌,吴文明",330000,杭州行捷路旅行社有限公司,91330102MA2H30TQXY,2020-06-24
"境内旅游业务,入境旅游业务",浙江省文化和旅游厅,有效,L-ZJ31466,"zhejiang shenyi international travel agency co.,ltd.",浙江省杭州市上城区望江东路299号冠盛大厦509室,浙旅许可(2021)150号,毛国畅,"毛国畅,于瑾,杭州申易会展服务有限公司",330000,浙江申易国际旅游有限公司,91330102MA2KH5CCXQ,2021-08-18
国内旅游业务、入境旅游业务,浙江省文化和旅游厅,有效,L-ZJ30254,"wenzhou yunmei international travel service co.,ltd.",浙江省温州市鹿城区南汇街道汤家桥大自然家园2幢2203室南首,浙旅许可(2016)52号,叶刚,"王艳京,叶刚,罗亮",330000,温州云美国际旅行社有限公司,91330302MA2858EA8P,2016-04-20
国内旅游业务、入境旅游业务,浙江省旅游局,有效,L-ZJ01743,"Hangzhou Youjia Traval Agency Co.,Ltd.",杭州余杭区余杭街道狮山路兴惠家园3幢380-1#,浙旅许可(2011)53号,胡方敏,胡方敏/陈思彪/王聪,330000,杭州友佳旅行社有限公司,9133011057147930XJ,2015-05-15
境内旅游业务、入境旅游业务,浙江省文化和旅游厅,有效,L-ZJ31684,"zhoushan islands new area haolai tourism culture co.,ltd.",浙江省舟山市定海区临城街道风景合院12幢二单元404室,浙旅许可(2022)177号,盛祝兵,盛祝兵,330000,舟山群岛新区好再来旅游文化有限公司,91330901MABWG7NB93,2022-09-21
国内旅游业务,浙江省旅游局,有效,L-ZJ00921,暂无,衢州市荷花新区军干所一幢,浙旅许可(2009)921号,吴海兰,吴海兰/吴海英,330000,衢州市海蓝旅行社有限责任公司,91330802680732490N,2009-08-24
"国内旅游业务,入境旅游业务",浙江省旅游局,有效,L-ZJ30454,Yongning Lnternational Tourism,浙江省台州市黄岩区西城街道西街社区环城西路292、294号,浙旅许可(2017)70号,施卫刚,施卫刚/洪波,330000,台州永宁国际旅游有限公司,91331003MA29W0QF16,2017-04-11
国内旅游业务、入境旅游业务,浙江省旅游局,有效,L-ZJ00963,暂无,乐清市白石镇岐元村,浙旅许可(2009)963号,杨湘江,乐清市中雁荡山风景旅游管理委员会,330000, 乐清市中雁荡山旅游服务总公司,913303827470170033,2009-08-24
境内旅游业务,浙江省文化和旅游厅,有效,L-ZJ31316,"zhejiang ronghua travel agency co,ltd",浙江省衢州市柯城区白云街道白云中大道9号慧谷大厦303室,浙旅许可(2020)195号,鲍小静,"鲍小静,叶珊甜",330000,浙江荣华旅行社有限公司,91330800MA2DK88UXE,2022-03-11
"境内旅游业务,入境旅游业务",浙江省文化和旅游厅,有效,L-ZJ32099,"hangzhou hangjing travel service co.,ltd.",浙江省杭州市拱墅区凤起路96号之俊大厦201室-2,浙旅许可(2023)374号,雷旭彪,"雷旭彪,雷旭东",330000,杭州杭景旅行社有限公司,91330105MACG9NPN2C,2023-09-28
境内旅游业务、入境旅游业务,浙江省文化和旅游厅,有效,L-ZJ31058,"hangzhou riverside travel agency co., ltd.",浙江省杭州市钱塘新区白杨街道听涛路147号源隆商业大厦1幢2501室,浙旅许可(2019)168号,李娟娟,"李娟娟,乔广权",330000,杭州江畔旅行社有限公司,91330101MA2GNK7G0C,2019-09-25
国内旅游业务、入境旅游业务,浙江省旅游局,有效,L-ZJ01389,暂无,宁波市海曙区马园路262号4-1,浙旅许可(2009)1367号,魏伟,魏伟/魏武耀/魏幸/王美芳/宋黎波,330000,宁波神州旅行社,913302037320920518,2009-10-28
"境内旅游业务,入境旅游业务",浙江省文化和旅游厅,有效,L-ZJ31622,"jinhua shuimu cultural tourism co., ltd",浙江省金华市金东区东孝街道麻车塘村办公楼一楼靠西第一间店面（自主申报）,浙旅许可(2022)114号,潘恩乐,潘美玲,330000,金华市水木文化旅游有限公司,91330703MA7FRFDK8W,2022-07-04
境内旅游业务,浙江省文化和旅游厅,有效,L-ZJ01720,quzhoushikangtailvxingsheyouxiangongsi,浙江省衢州市五环路178号二楼,浙旅许可（2011）30号,孙   倩,"孙倩,孙倩颖",330000,衢州市康泰旅行社有限公司,91330800569355316H,2011-01-31
国内旅游业务、入境旅游业务,浙江省旅游局,有效,L-ZJ02309,暂无,天台县始丰街道中央花园141号,浙旅许可(2013)141号,李晓妮,李晓妮/李阿梅,330000,天台万众国际旅行社有限公司,913310230762358261,2017-02-17
"境内旅游业务,入境旅游业务",浙江省文化和旅游厅,有效,L-ZJ31549,"xianju xianzhixing travel agency co.,ltd",浙江省台州市仙居县南峰街道环西南路309号1楼,浙旅许可(2022)41号,陈央红,陈央红,330000,仙居县仙之旅旅行社有限公司,91331024MA7J0HTE29,2022-03-18
境内旅游业务、入境旅游业务,浙江省文化和旅游厅,有效,L-ZJ02054,"hangzhou yuanmei travel service co.,ltd.",浙江省杭州市拱墅区祥富路2号联龙创意产业园2幢北楼305室,浙旅许可(2012)109号,金黎珏,"金黎珏,吕宙琼",330000,杭州原美旅行社有限公司,91330105596634433Q,2014-10-17
"境内旅游业务,入境旅游业务",浙江省文化和旅游厅,有效,L-ZJ32246,"zhongbao (jinhua) cultural tourism development co., ltd",浙江省金华市金东区多湖街道笃学路232号一楼（自主申报）,浙旅许可(2024)51号,汤瑞涛,"冯建鑫,江军,汤瑞涛,陈和平,朱玲娟",330000,中保（金华）文化旅游发展有限公司,91330703MAD92CA22M,2024-02-21
"境内旅游业务,入境旅游业务",浙江省文化和旅游厅,有效,L-ZJ32063,"tuyou international travel agency (hangzhou) co.,ltd.",浙江省杭州市临平区星桥街道黄鹤山居7、8幢8-4室-3,浙旅许可(2023)338号,谈小虎,谈小虎,330000,兔游国际旅行社（杭州）有限公司,91330110MA2J266W50,2023-09-06
国内旅游业务、入境旅游业务,浙江省旅游局,有效,L-ZJ02202,暂无,永康市华溪北路80.82号二楼,浙旅许可(2013)36号,夏姿婷,夏姿婷/金丽珍/应娅,330000,永康市新世界旅行社有限公司,91330784062047875C,2014-03-05
国内旅游业务、入境旅游业务,浙江省旅游局,有效,L-ZJ00083,暂无,杭州市下城区建国北路399号,浙旅许可(2009)83号,汪滢滢,汪滢滢/潘平平,330000,杭州嘉华旅行社有限公司,91330103704225769F,2010-10-18
境内旅游业务、入境旅游业务,浙江省文化和旅游厅,有效,L-ZJ31712,"hangzhou changxiang international travel service co., ltd.",浙江省杭州市萧山区城厢街道通惠中路1号泰富广场1幢611室,浙旅许可(2022)205号,张峰,杭州畅游之家户外俱乐部有限公司,330000,杭州畅享国际旅行社有限公司,91330109MA2KF5F50E,2022-11-22
国内旅游业务、入境旅游业务,浙江省旅游局,有效,L-ZJ00638,ningbo yongjiang internationai travel agency,宁波市海曙区白云街250号,浙旅许可(2009)638号,许剑虹,"许剑虹,郑孟辉,严妃波",330000,宁波甬江国际旅行社有限公司,913302036655938328,2013-09-30
"国内旅游业务,入境旅游业务",浙江省旅游局,有效,L-ZJ30866,Yuyaozhefengguang International Travel Service Co.Ltd,余姚市临山镇迎凤路101号,浙旅许可(2018)247号,戚烨,戚烨,330000,余姚浙风光国际旅行社有限公司,91330281MA2CJXXM5X,2018-11-19
国内旅游业务、入境旅游业务,浙江省旅游局,有效,L-ZJ01514,"TAIZHOU KANGHUI TRAVEL CO., LTD",临海市古城街道腊梅北路156号,浙旅许可(2010)36号,杨爱琴,杨爱琴/康辉旅游集团浙江国际旅行社有限公司,330000,台州康辉旅行社有限公司,91331082550541928D,2017-11-28
国内旅游业务、入境旅游业务,浙江省旅游局,有效,L-ZJ00393,暂无,余姚市新西门路18-1号,浙旅许可(2009)393号,陈蕾,邢一锋/陈蕾,330000,余姚市名邦旅行社有限公司,91330281730188340X,2013-12-19
"国内旅游业务,入境旅游业务",浙江省文化和旅游厅,有效,L-ZJ30633,"Lishui flying pig Tourism Co., Ltd.",缙云县旭山路723号,浙旅许可(2018)14号,潘泳江,"潘泳江,徐李托,钟秀峰",330000,丽水飞猪旅游有限公司,91331122MA2A12LM4L,2018-01-19
国内旅游业务、入境旅游业务,浙江省旅游局,有效,L-ZJ01928,"hangzhou youlema online travel service co.,ltd",浙江省杭州市江干区艮山支三路5号5号楼3楼310室,浙旅许可(2011)238号,高建,南京途牛科技有限公司,330000,杭州悠乐马网络旅游有限公司,91330102586518578F,2015-04-15
"国内旅游业务,入境旅游业务",浙江省旅游局,有效,L-ZJ30296,Jiaxing Yuanfen Travel agency Limited Company,浙江省嘉兴市南湖区吉杨路508号,浙旅许可(2016)94号,王军军,王军军/金开峰,330000,嘉兴市缘份旅行社有限公司,91330402MA28ADXE2E,2016-06-27
"国内旅游业务,入境旅游业务",浙江省旅游局,有效,L-ZJ30653,,缙云县五云街道黄龙路翠竹园巷26号,浙旅许可(2018)34号,陈玲飞,"陈玲飞,樊丽珍,周敏挺,黄晓燕,陈锦华,麻慧丽,胡城莉,吴信姣",330000,缙云轩辕旅游开发有限公司,91331122MA2A19CC4G,2018-02-12
"国内旅游业务,入境旅游业务",浙江省文化和旅游厅,有效,L-ZJ31095,"zhejiang yahua tourism development co .,ltd",浙江省宁波市镇海区骆驼街道祥业街128号6-1室（新城核心区）,浙旅许可(2019)205号,胡正波,"胡正波,李海燕",330000,浙江亚华旅游发展有限公司,91330205MA2CMR3477,2019-11-25
"国内旅游业务,入境旅游业务",浙江省旅游局,有效,L-ZJ30920,Jiaxing YouYou international travel service Co. LTD,浙江省嘉兴市南湖区纺工路278号,浙旅许可(2019)30号,孙云娟,孙云娟,330000,嘉兴市优游国际旅行社有限公司,91330402MA2BCPN51R,2019-01-25
"国内旅游业务,入境旅游业务",浙江省旅游局,有效,L-ZJ30818,"Hangzhou Yunguo Tourism Co.,Ltd.",浙江省杭州市西湖区西溪新天地商业中心15幢202室,浙旅许可(2018)199号,方欧阳,"杭州云国体育文化发展有限公司,杭州云国户外运动合伙企业（普通合伙）",330000,杭州云国旅游有限公司,91330106MA2CD5KT0X,2018-08-31
"境内旅游业务,入境旅游业务",浙江省文化和旅游厅,有效,L-ZJ31821,"wenzhou hongxu travel service co., ltd",温州市瑞安市安阳街道中润商务广场4幢1020室,浙旅许可(2023)94号,陈秀秀,"陈秀秀,陈雪梅",330000,温州泓絮旅游服务有限责任公司,91330381MACDXYKE50,2023-04-06
"境内旅游业务,入境旅游业务",浙江省文化和旅游厅,有效,L-ZJ31885,台州市禹童国际旅行社有限公司,浙江省台州市椒江区白云街道万达广场 4幢 1601室,浙旅许可(2023)159号,程治财,"程治财,田莉颖",330000,台州市禹童国际旅行社有限公司,91331002MACDTTWP6T,2023-05-18
境内旅游业务、入境旅游业务,浙江省文化和旅游厅,有效,L-ZJ00012,"ningbo cultural tourism development co., ltd",浙江省宁波市江北区洪都路159号440室,浙旅许可（2019）12号,徐旭峰,"徐旭峰,芦燕",330000,宁波风景文化旅游发展有限公司,913302057960431876,2012-04-24
"境内旅游业务,入境旅游业务",浙江省文化和旅游厅,有效,L-ZJ31596,"zhejiangzhixincultural tourism co.,ltd",浙江省金华市婺城区新狮街道玉泉东路229号一幢西侧（自主申报）,浙旅许可(2022)88号,余铭俊,"陈静,余铭俊",330000,浙江之鑫文化旅游有限公司,91330702MABPHF2L8G,2022-06-02
境内旅游业务、入境旅游业务,浙江省文化和旅游厅,有效,L-ZJ31268,"wenzhou xingzhi travel service co.,ltd.",浙江省温州市鹿城区大南街道飞霞南路663-749号乾顺锦园1幢107室一层1-1,浙旅许可(2020)147号,郑小芬,"拓奇国际文旅发展有限公司,郑小芬",330000,温州行知旅行有限公司,91330302MA2J8MGDX6,2020-09-29
境内旅游业务,浙江省文化和旅游厅,有效,L-ZJ30436,"lishui peer travel agency co., ltd.",浙江省丽水市莲都区中山街305号西边起第二间,浙旅许可(2017)52号,张华芬,"张华芬,沈爱花,王春莲,朱宁",330000,丽水市同行旅行社有限公司,91331102MA28JGHN10,2017-03-13
"境内旅游业务,入境旅游业务",浙江省文化和旅游厅,有效,L-ZJ31726,"hangzhou hongtai culture tourism development co.,ltd.",浙江省杭州市桐庐县城南街道乔林路350号,浙旅许可(2022)219号,郑宋戈,"郑宋戈,厉旸",330000,杭州宏泰文化旅游发展有限公司,91330122MABRRCQB7E,2022-12-22
国内旅游业务、入境旅游业务,浙江省旅游局,有效,L-ZJ01103,"zhejiang jinyuan international travel agency co.,ltd.",安吉县昌硕街道中心商城190号,浙旅许可(2009)1103号,马绍基,马绍基,330000,浙江金源国际旅行社有限公司,91330523780472040B,2016-02-26
"境内旅游业务,入境旅游业务",浙江省文化和旅游厅,有效,L-ZJ32164,"anji yueyou qiushui cultural tourism co., ltd",浙江省湖州市安吉县昌硕街道胜利东路505号,浙旅许可(2023)441号,解琳娜,徐冬娥,330000,安吉越游秋水文化旅游有限公司,91330523MABUE7Y654,2023-12-12
境内旅游业务、入境旅游业务,浙江省文化和旅游厅,有效,L-ZJ31216,"hangzhou qicheng travel service co.,ltd.",浙江省杭州市拱墅区湖州街29号时瑞大厦617室,浙旅许可(2020)95号,姚军,"姚军,宋伟清",330000,杭州齐程旅行社有限公司,91330110MA2H2XKG51,2020-06-29
国内旅游业务、入境旅游业务,浙江省旅游局,有效,L-ZJ01641,"Hangzhou Leifeng Tower Service Co., Ltd",杭州市南山路15号,浙旅许可(2010)163号,姚刚,杭州雷峰塔文化旅游发展有限公司,330000,杭州雷峰塔旅行社有限公司,91330101560584403L,2015-11-18
"境内旅游业务,入境旅游业务",浙江省文化和旅游厅,有效,L-ZJ31626,"lishui xingcheng travel agency co., ltd",浙江省丽水市莲都区华敦街94号,浙旅许可(2022)119号,何海斌,何海斌,330000,丽水市星程旅行社有限公司,91331102MABPPBPD1R,2022-07-08
"境内旅游业务,入境旅游业务",浙江省文化和旅游厅,有效,L-ZJ31771,"zhejiang aixiang culture and tourism development co.,ltd",浙江省衢州市衢江区东方广场10幢319室,浙旅许可(2023)44号,龚璇雯,"龚璇雯,吴慧雪,杨希",330000,浙江艾享文旅发展有限公司,91330803MAC8Y58810,2023-02-28
境内旅游业务、入境旅游业务,浙江省文化和旅游厅,有效,L-ZJ31538,"lishui guofu painter tourism co., ltd.",浙江省丽水市莲都区括苍北路365号（mt大厦）10层,浙旅许可(2022)30号,翁鉴波,丽水市莲都区旅游投资发展有限公司,330000,丽水市古堰画乡旅行社有限公司,91331102MA7JG2J000,2022-04-29
"国内旅游业务,入境旅游业务",浙江省旅游局,有效,L-ZJ30813,Ningbo Zhenhai Manman Travel Co.Ltd,宁波市镇海区庄市街道明海南路292号1-8室,浙旅许可(2018)194号,陆明菊,"陆明菊,孙璐萱",330000,宁波镇海慢漫旅游有限公司,91330211MA2AH7BU7U,2018-08-22
国内旅游业务、入境旅游业务,浙江省旅游局,有效,L-ZJ01247,暂无,宁波市鄞州区钟公庙街道天童北路1501号418室,浙旅许可(2009)1245号,孙令波,孙令波/吴亮,330000,宁波市写意国际旅行社有限公司,91330212695055680M,2011-04-18
境内旅游业务、入境旅游业务,浙江省文化和旅游厅,有效,L-ZJ31162,"hangzhou heyi cultural tourism development co.,ltd.",浙江省杭州市富阳区鹿山街道金鹿路269号鹿山时代2号714室,浙旅许可(2020)41号,陈军,陈军,330000,杭州合意文化旅游发展有限公司,91330183MA2GMQLE4M,2020-04-03
国内旅游业务、入境旅游业务,浙江省旅游局,有效,L-ZJ01696,暂无,金华市婺城区丹溪路1113号申华大厦1幢B917室,浙旅许可(2011)6号,徐朝霞,徐朝霞/沈盈,330000,金华山河旅行社有限责任公司,91330702568185239T,2017-03-10
"境内旅游业务,入境旅游业务",浙江省文化和旅游厅,有效,L-ZJ31190,"yiwu tuzhong travel co.,ltd",浙江省义乌市北苑街道望道路105号208室（自主申报）,浙旅许可(2020)69号,孙咪娜,"孙咪娜,赵宏娣",330000,义乌市途众旅行社有限公司,91330782MA2HRUD324,2020-05-26
境内旅游业务、入境旅游业务,浙江省文化和旅游厅,有效,L-ZJ01271,"wuyi tianhong travel agency co., ltd",浙江省金华市武义县壶山街道北岭三路45号（自主申报）,浙旅许可（2009）1269号,徐晓,徐晓,330000,武义天鸿旅行社有限公司,913307237639119966,2014-09-22
国内旅游业务,浙江省旅游局,有效,L-ZJ02460,"hangzhou fashion travel service co.,ltd.",杭州市滨江区长河街道江南星座1幢1单元901室,浙旅许可(2014)88号,方义庭,"方义庭,叶英华",330000,杭州风尚旅游有限公司,91330108396318137E,2015-04-17
"[
  {
    ""sortid"": 1,
    ""value"": ""境内旅游业务""
  },
  {
    ""sortid"": 2,
    ""value"": ""入境旅游",浙江省文化和旅游厅,有效,L-ZJ01911,"jinhua labour travel agency co., ltd",浙江省金华市婺城区三江街道李渔路398号,浙旅许可(2011)221号,叶晓峰,"叶晓峰,沈建刚",330000,金华职旅旅行社有限公司,913307015850377643,2014-10-17
国内旅游业务、入境旅游业务,浙江省旅游局,有效,L-ZJ00545,暂无,仙居县南峰街道环城南路368-2号,浙旅许可(2009)545号,张海明,张海明,330000,仙居县永安旅行社有限公司,91331024661703977P,2009-08-04
国内旅游业务、入境旅游业务,浙江省旅游局,有效,L-zj00723,WENZHOU  TRANSPORTATION GROUP TOURIST TRANSPORT CENTER,温州市双屿街道牛岭村（双屿客运中心内）,浙旅许可(2009)723号,杨彦,温州市交通运输集团有限公司,330000,温州市交通运输集团有限公司旅游集散中心,91330300788810235F,2017-03-22
国内旅游业务、入境旅游业务,浙江省旅游局,有效,L-ZJ01082,暂无,舟山市普陀山合兴村下厂路36号,浙旅许可(2009)1082号,金少平,谢春燕/金少平,330000,舟山宝中国际旅行社有限公司,91330901784430104D,2015-12-07
国内旅游业务、入境旅游业务,浙江省旅游局,有效,L-ZJ00202,"Chun’an  Qiandaohu Chunhui Travel Service Co., Ltd.",淳安县千岛湖新安北路36号（千岛湖半岛商务酒店）,浙旅许可(2009)202号,卢承祝,卢承祝/姜秀珍,330000,淳安千岛湖春辉旅行社有限公司,913301277792509507,2015-05-15
国内旅游业务、入境旅游业务,浙江省旅游局,有效,L-ZJ01716,jiaxing jinxiu traveling linmited company(英文缩写jx),浙江省嘉兴市南溪西路2004号,浙旅许可(2011)26号,王雅萍,王雅萍  张国兴,330000,嘉兴市锦绣国际旅游有限公司,91330402569357805G,2018-10-31
"境内旅游业务,入境旅游业务",浙江省文化和旅游厅,有效,L-ZJ31195,"wenzhou xinqiu international travel service co.,ltd.",浙江省温州市鹿城区松台街道游泳桥13号,浙旅许可(2020)74号,林雪,"林雪,黄林芬,黄林平,黄沈罗",330000,温州市鑫球国旅旅游有限公司,91330302MA2HDAGJ19,2020-05-26
国内旅游业务、入境旅游业务；保险兼业代理。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,浙江省旅游局,有效,L-ZJ01362,暂无,镇海区骆驼街道福业街80号1-1室,浙旅许可(2009)1340号,金益伟,金益伟/金益薇,330000,宁波市天地假日旅游发展有限公司,91330211747373550L,2017-08-03
"境内旅游业务,入境旅游业务",浙江省文化和旅游厅,有效,L-ZJ32175,"hualv holiday (hangzhou) travel service co.,ltd.",浙江省杭州市淳安县千岛湖镇新安东路637-663号205室、304室,浙旅许可(2023)452号,徐万成,徐万成,330000,华旅假期（杭州）旅游服务有限公司,91330127MAD0Y87W44,2023-12-20
"境内旅游业务,入境旅游业务",浙江省文化和旅游厅,有效,L-ZJ31461,shangyu cao-e river travel agency,曹娥街道舜耕大道西段618号,浙旅许可(2021)145号,郭伯荣,绍兴市上虞曹娥江旅游开发投资有限公司,330000,绍兴市上虞曹娥江旅行社,91330604066912440N,2021-08-09
"境内旅游业务,入境旅游业务",浙江省文化和旅游厅,有效,L-ZJ31694,"hangzhou yuanqi travel agency co.,ltd.",浙江省杭州市西湖区双龙街239号西投创智中心3号楼7层704室,浙旅许可(2022)187号,叶超,杭州元气星空网络科技有限公司,330000,杭州元气旅行社有限公司,91330106MABX9K641A,2022-10-19
国内旅游业务、入境旅游业务,浙江省旅游局,有效,L-ZJ00768,暂无,杭州市上城区太庙巷20号,浙旅许可(2009)768号,沈祥鑫,张开华/杭州钱塘江客运旅游有限公司工会/张开华/陶成明,330000,杭州钱塘江客运旅游有限公司,91330102143032384P,2009-08-24
境内旅游业务、入境旅游业务,浙江省文化和旅游厅,有效,L-ZJ31439,"hangzhou hemei travel agency co.,ltd.",浙江省杭州市萧山区萧山经济技术开发区通惠北路12号柏丽轩1419室,浙旅许可(2021)123号,万毅,万毅,330000,杭州和美旅行社有限公司,91330109MA2KED3W17,2021-07-13
"境内旅游业务,入境旅游业务",浙江省文化和旅游厅,有效,L-ZJ31526,"zhoushan puyuan cultural tourism co., ltd",中国（浙江）自由贸易试验区舟山市普陀区东港街道沙田街56号汇隆大厦1201-8室,浙旅许可(2022)18号,戴亮,"余桂枝,戴亮",330000,舟山市菩缘文化旅游有限公司,91330900MA7HNW980W,2022-02-17
"国内旅游业务,入境旅游业务",浙江省旅游局,有效,L-ZJ02128,hangzhou jiajing international travel service  co.， ltd.,浙江省杭州市下城区体育场路102号杭州宝善宾馆915室,浙旅许可(2012)183号,李冠昌,"李冠昌,杨英",330000,杭州佳景国际旅行社有限公司,913301030567308627,2012-11-26
境内旅游业务、入境旅游业务,浙江省文化和旅游厅,有效,L-ZJ00252,"tonglu sunshine travel agency co.,ltd.",浙江省杭州市桐庐县城南街道环城南路598号光典大厦1408室,浙旅许可(2009)252号,华金祥,"华金祥,苏琴",330000,桐庐春光旅行社有限公司,913301227708141580,2009-07-14
境内旅游业务、入境旅游业务,浙江省文化和旅游厅,有效,L-ZJ00115,"hangzhou chengzhi travel service co.,ltd.",浙江省杭州市西湖区留下街道留泗路18-6,浙旅许可(2009)115号,章慧蓉,"章志成,章慧蓉,章小云,刘亚冰",330000,杭州承志旅行社有限公司,9133010675954939XJ,2009-07-02
国内旅游业务,浙江省文化和旅游厅,有效,L-ZJ30982,tszl tour,浙江省新昌县人民西路117号12幢,浙旅许可(2019)92号,潘伟勇,新昌县旅游集团有限公司,330000,新昌县唐诗之路旅游有限责任公司,91330624MA2BG19P2U,2019-05-05
"境内旅游业务,入境旅游业务",浙江省文化和旅游厅,有效,L-ZJ31529,"hangzhou yiyouxincheng travel agency co.,ltd.",浙江省杭州市西湖区双浦镇滨澜弄滨澜铭座1幢1002室-1,浙旅许可(2022)21号,王媛,王媛,330000,杭州易游鑫程旅行社有限公司,91330106MA7G3L067B,2022-02-17
境内旅游业务,浙江省文化和旅游厅,有效,L-ZJ31515,"yingxing tourism development (ningbo) co. , ltd.",浙江省宁波市江北区扬善路75号2幢4-1-5,浙旅许可(2022)7号,徐达,"宁波甬上票务有限公司,俞幼芬",330000,英行旅游发展（宁波）有限公司,91330205MA2KP6PY92,2022-01-19
境内旅游业务、入境旅游业务,浙江省文化和旅游厅,有效,L-ZJ30327,"wenzhou zhuoyue international travel service co.,ltd.",浙江省温州市鹿城区马鞍池西路新世界大厦a幢302室,浙旅许可（2016）125号,陈忠赚,"陈忠赚,翁志华",330000,温州卓悦国际旅游有限公司,91330304MA285RTJ9Y,2017-03-07
"国内旅游业务,入境旅游业务",浙江省旅游局,有效,L-ZJ30456,Zhoushan Tourism&Health Travel INTL LTD,浙江省舟山市 普陀区 朱家尖街道学院路99 （图书办公楼102、103、105、106室）。,浙旅许可(2017)72号,陈琪军,舟山群岛新区旅游与健康职业学院资产经营有限公司/舟山全景旅游投资有限公司/邵辉,330000,舟山旅健国际旅游有限公司,91330901MA28KBWHX2,2017-04-17
境内旅游业务,浙江省文化和旅游厅,有效,L-ZJ31571,zhejiang lishang travel service co.ltd.,浙江省绍兴市柯桥区华舍街道屹男商务中心509-1室,浙旅许可(2022)63号,劳立江,浙江立尚文化传播有限公司,330000,浙江立尚旅行社有限公司,91330621MA7EQ3G20F,2022-05-06
