许可经营业务,发证机关,状态,营业许可证号,英文名称,经营场所,许可文号,法人,出资人,行政区划代码,旅行社名称,统一社会信用代码,办理时间
境内旅游业务、入境旅游业务,浙江省文化和旅游厅,有效,L-ZJ32098,"hangzhou jiecheng travel service co.,ltd.",浙江省杭州市拱墅区丰庆路96号祥润城9幢703室-3,浙旅许可(2023)373号,胡尘,"何洁,胡尘",330000,杭州捷诚旅行社有限公司,91330105MACHD4QW3T,2023-09-28
国内旅游业务、入境旅游业务,浙江省旅游局,有效,L-ZJ01410,暂无,温州市瓯海梧田塘西村龙霞路273-2号,浙旅许可(2009)1388号,王凤荷,王凤荷/陈美柳,330000,温州市温之旅国际旅游有限公司,91330304698254642T,2014-04-21
"境内旅游业务,入境旅游业务",浙江省文化和旅游厅,有效,L-ZJ31805,"hangzhou enbo travel agency co.,ltd.",浙江省杭州市富阳区富春街道体育馆路235号一层,浙旅许可(2023)78号,俞少骞,"占丽莹,俞少骞",330000,杭州恩波旅行社有限公司,91330183MAC59KE14N,2023-03-21
国内旅游业务、入境旅游业务,浙江省旅游局,有效,L-ZJ01918,暂无,下城区文晖路现代置业大厦东楼706室,浙旅许可(2011)228号,洪仙,洪仙/陈广亮,330000,杭州畅华旅行社有限公司,91330103586502461E,2011-11-15
"国内旅游业务,入境旅游业务",浙江省文化和旅游厅,有效,L-ZJ30980,ningbo shidaishuxiang international travel service,浙江省宁波市镇海区庄市街道中官西路279号,浙旅许可(2019)90号,雷雨,雷雨，戴六同，庄芳芳，舟山晨誉创业投资有限公司,330000,宁波世代书香国际旅行社有限公司,91330211MA2CLRWDXG,2019-04-30
境内旅游业务,浙江省文化和旅游厅,有效,L-ZJ31598,"wenzhou changyang tourism co., ltd.",浙江省温州市平阳县麻步镇黎明村下片51号,浙旅许可(2022)90号,许秋花,许秋花,330000,温州市长洋旅游有限公司,91330326MA2HB4C38N,2022-06-06
境内旅游业务、入境旅游业务,浙江省文化和旅游厅,有效,L-ZJ31289,"hangzhou lvyun passenger transport travel co.,ltd.",浙江省杭州市上城区德胜东路3339号杭州长运客运站场大楼4幢9楼909室,浙旅许可(2020)168号,李秀乐,"杭州长运运输集团有限公司,上海好想行信息技术有限公司",330000,杭州绿云客运旅游有限公司,91330105MA2CE85E6K,2020-12-03
国内旅游业务、入境旅游业务、批发兼零售旅游用品,浙江省旅游局,有效,L-ZJ01040,"WenZhou FeiFan Travel Service Co.,LTD.",苍南县龙港镇金钗街555-38号锦绣名园商铺,浙旅许可(2009)1040号,徐荣国,苍南银通商贸有限公司/林珍,330000,温州非凡旅行社有限公司,91330327779359104Y,2016-05-17
"境内旅游业务,入境旅游业务",浙江省文化和旅游厅,有效,L-ZJ31534,wanboofish（ningbo）travel service co.ltd,宁波市北仑区春晓春晓大道999号（乐享城）6幢112室,浙旅许可(2022)26号,王曰清,万博鱼（宁波）滨水休闲运动有限公司,330000,万博鱼（宁波）旅行社有限公司,91330206MA7H1DPH4M,2022-02-28
国内旅游业务、入境旅游业务,浙江省旅游局,有效,L-ZJ00422,Haiyan Dongfang Tourism co.ltd,浙江省嘉兴市海盐县武原街道朝阳东路66号朝阳府2幢407室,浙旅许可(2009)422号,仇叶薇,仇叶薇,330000,海盐县东方旅游有限公司,91330424668315221P,2017-05-18
国内旅游业务、入境旅游业务,浙江省旅游局,有效,L-ZJ01528,暂无,杭州市上城区凤凰城4号806室,浙旅许可(2010)50号,张晨晔,江瑶岳/张晨晔,330000,杭州乐满程旅行社有限公司,913301026998339297,2012-07-31
国内旅游业务、入境旅游业务,浙江省旅游局,有效,L-ZJ02292,暂无,浙江省永康市公园里8幢2号一楼西起第二间,浙旅许可(2013)126号,李丽赟,李丽赟/马锋林,330000,永康市西津旅行社有限公司,913307840753371267,2016-05-09
境内旅游业务、入境旅游业务,浙江省文化和旅游厅,有效,L-ZJ31430,"mava international travel service co.,ltd.",浙江省杭州市上城区延安路126号耀江广厦6008a室,浙旅许可(2021)114号,宋欢,漫玩（杭州）控股有限公司,330000,漫玩国际旅行社有限公司,91330102MA2KCN1384,2021-06-25
境内旅游业务,浙江省文化和旅游厅,有效,L-ZJ32101,"wenzhou jingzhilv international tourism co., ltd",浙江省温州市鹿城区大南街道大南路温州世贸中心2804室-17,浙旅许可(2023)376号,方小君,"方小君,伍协强",330000,温州京之旅国际旅游有限公司,91330302MACYL44J6Y,2023-10-08
