机构注册资金,机构地址,机构名称,机构批准机关,评估机构代码,机构批准文号,机构法人代表_首席合伙人_,证照类型名称,批准日期
10.0,新昌县南明街道文体路67号,新昌中大资产评估事务所,浙江省财政厅,33080016,浙财会字[2008]66号,张雪峰,资产评估执业证书,2008-06-26
200.0,杭州市莫干山路497号华立金顶苑天伦阁2-101,浙江方舟资产评估有限公司,浙江省财政厅,33080032,浙财会字[2008]91号,金慧平,资产评估执业证书,2008-08-05
50.0,嘉兴市中环南路西区A座五层503室,嘉兴中磊资产评估有限公司,浙江省财政厅,33060001,浙财会字[2006]13号,陆少华,资产评估执业证书,2006-02-13
10.0,浦江县月泉东路万达别墅70-H2-7幢,浦江静远资产评估事务所（普通合伙）,浙江省财政厅,33130001,浙财会[2013]13号,陈笑莲,资产评估执业证书,2013-03-29
10.0,湖州新天地写字楼22层2222室,湖州汇丰资产评估事务所,浙江省财政厅,33080005,浙财会字[2008]8号,王俭,资产评估执业证书,2008-01-19
100.0,杭州市朝晖路182号国都发展大厦1号楼100B,浙江华夏资产评估有限公司,浙江省财政厅,33080014,浙财会字[2008]40号,方正洪,资产评估执业证书,2008-05-23
10.0,桐乡市梧桐街道庆丰南路6号,嘉兴新求是资产评估事务所,浙江省财政厅,33080010,浙财会字[2008]34号,周富英,资产评估执业证书,2008-05-20
100.0,定海城西河路15号,舟山安达资产评估有限公司,浙江省国有资产管理局,33020080,浙国资评（2000）68号,贺若望,资产评估执业证书,2000-01-20
30.0,兰溪市李渔路162号,兰溪开泰资产评估有限责任公司,浙江省国有资产管理局,33020142,浙国资评[2000]113号,江萍,资产评估执业证书,2000-03-27
200.0,杭州市文三路252号伟星大厦13楼,浙江天平资产评估有限公司,浙江省财政厅,33070010,浙财会字[2007]78号,谢玉琪,资产评估执业证书,2007-11-21
10.0,安吉递铺镇玉华路23号工商银行十楼,安吉中信资产评估事务所,浙江省国有资产管理局,33020039,浙国资评（1999）48号,龚国强,资产评估执业证书,1999-12-01
10.0,东阳市吴宁西路42号三楼,东阳华宇资产评估事务所,浙江省财政厅,33080002,浙财会字[2008]14号,余培东,资产评估执业证书,2008-02-27
100.0,杭州市西湖区学院路50号1幢1302室,浙江恒基资产评估有限公司,浙江省财政厅,33060005,浙财会字[2006]55号,李志鸿,资产评估执业证书,2006-09-26
30.0,绍兴市城南龙珠花园6幢301室,绍兴尚义资产评估有限公司,浙江省财政厅,33080027,浙财会字[2008]92号,林才朋,资产评估执业证书,2008-08-05
30.0,海宁市海洲街道文苑南路50号,海宁正明资产评估事务所,浙江省财政厅,33080006,浙财会字[2008]7号,平衡,资产评估执业证书,2008-01-19
31.0,乐清乐怡大厦8楼,乐清永安资产评估有限公司,浙江省国有资产管理局,33020074,浙国资评（2000）56号,郑金微,资产评估执业证书,2000-03-07
10.0,嘉善县魏塘镇亭桥北路153号,嘉兴嘉恒资产评估事务所,浙江省财政厅,33080026,浙财会字[2008]62号,金鑫,资产评估执业证书,2008-06-20
50.0,嘉兴市越秀北路1158号,嘉兴信昌资产评估事务所,浙江省财政厅,33080033,浙财会字[2008]86号,唐喆人,资产评估执业证书,2008-07-28
