X月末绝对值,频次,地区编码,计量单位,指标名称,年,地区名称,时期
427,季度,110000,家,全国、广东、江苏、北京、上海、山东境内上市公司家数,2022,北京,3
383,季度,310000,家,全国、广东、江苏、北京、上海、山东境内上市公司家数,2021,上海,12
484,季度,320000,家,全国、广东、江苏、北京、上海、山东境内上市公司家数,2020,江苏,12
679,季度,440000,家,全国、广东、江苏、北京、上海、山东境内上市公司家数,2020,广东,9
236,季度,370000,家,全国、广东、江苏、北京、上海、山东境内上市公司家数,2021,山东,3
317,季度,310000,家,全国、广东、江苏、北京、上海、山东境内上市公司家数,2018,上海,12
412,季度,320000,家,全国、广东、江苏、北京、上海、山东境内上市公司家数,2019,江苏,6
419,季度,110000,家,全国、广东、江苏、北京、上海、山东境内上市公司家数,2021,北京,12
613,季度,440000,家,全国、广东、江苏、北京、上海、山东境内上市公司家数,2019,广东,6
275,季度,370000,家,全国、广东、江苏、北京、上海、山东境内上市公司家数,2022,山东,6
289,季度,370000,家,全国、广东、江苏、北京、上海、山东境内上市公司家数,2022,山东,12
404,季度,110000,家,全国、广东、江苏、北京、上海、山东境内上市公司家数,2021,北京,9
394,季度,320000,家,全国、广东、江苏、北京、上海、山东境内上市公司家数,2018,江苏,6
343,季度,110000,家,全国、广东、江苏、北京、上海、山东境内上市公司家数,2019,北京,12
529,季度,320000,家,全国、广东、江苏、北京、上海、山东境内上市公司家数,2021,江苏,6
337,季度,310000,家,全国、广东、江苏、北京、上海、山东境内上市公司家数,2020,上海,3
407,季度,310000,家,全国、广东、江苏、北京、上海、山东境内上市公司家数,2021,上海,9
602,季度,320000,家,全国、广东、江苏、北京、上海、山东境内上市公司家数,2022,江苏,6
248,季度,370000,家,全国、广东、江苏、北京、上海、山东境内上市公司家数,2021,山东,6
652,季度,320000,家,全国、广东、江苏、北京、上海、山东境内上市公司家数,2023,江苏,1
301,季度,370000,家,全国、广东、江苏、北京、上海、山东境内上市公司家数,2023,山东,6
434,季度,310000,家,全国、广东、江苏、北京、上海、山东境内上市公司家数,2023,上海,9
597,季度,440000,家,全国、广东、江苏、北京、上海、山东境内上市公司家数,2018,广东,6
232,季度,370000,家,全国、广东、江苏、北京、上海、山东境内上市公司家数,2020,山东,12
710,季度,440000,家,全国、广东、江苏、北京、上海、山东境内上市公司家数,2021,广东,3
696,季度,440000,家,全国、广东、江苏、北京、上海、山东境内上市公司家数,2020,广东,12
214,季度,370000,家,全国、广东、江苏、北京、上海、山东境内上市公司家数,2019,山东,12
872,季度,440000,家,全国、广东、江苏、北京、上海、山东境内上市公司家数,2023,广东,12
211,季度,370000,家,全国、广东、江苏、北京、上海、山东境内上市公司家数,2020,山东,9
313,季度,110000,家,全国、广东、江苏、北京、上海、山东境内上市公司家数,2018,北京,6
652,季度,320000,家,全国、广东、江苏、北京、上海、山东境内上市公司家数,2023,江苏,3
681,季度,320000,家,全国、广东、江苏、北京、上海、山东境内上市公司家数,2023,江苏,9
592,季度,440000,家,全国、广东、江苏、北京、上海、山东境内上市公司家数,2018,广东,3
258,季度,370000,家,全国、广东、江苏、北京、上海、山东境内上市公司家数,2021,山东,9
756,季度,440000,家,全国、广东、江苏、北京、上海、山东境内上市公司家数,2021,广东,12
376,季度,310000,家,全国、广东、江苏、北京、上海、山东境内上市公司家数,2021,上海,3
395,季度,110000,家,全国、广东、江苏、北京、上海、山东境内上市公司家数,2021,北京,6
472,季度,110000,家,全国、广东、江苏、北京、上海、山东境内上市公司家数,2023,北京,9
423,季度,310000,家,全国、广东、江苏、北京、上海、山东境内上市公司家数,2023,上海,1
423,季度,310000,家,全国、广东、江苏、北京、上海、山东境内上市公司家数,2023,上海,3
357,季度,110000,家,全国、广东、江苏、北京、上海、山东境内上市公司家数,2020,北京,6
471,季度,320000,家,全国、广东、江苏、北京、上海、山东境内上市公司家数,2020,江苏,9
336,季度,110000,家,全国、广东、江苏、北京、上海、山东境内上市公司家数,2019,北京,9
447,季度,110000,家,全国、广东、江苏、北京、上海、山东境内上市公司家数,2022,北京,9
197,季度,370000,家,全国、广东、江苏、北京、上海、山东境内上市公司家数,2018,山东,6
446,季度,320000,家,全国、广东、江苏、北京、上海、山东境内上市公司家数,2020,江苏,6
317,季度,310000,家,全国、广东、江苏、北京、上海、山东境内上市公司家数,2018,上海,9
634,季度,440000,家,全国、广东、江苏、北京、上海、山东境内上市公司家数,2019,广东,12
468,季度,110000,家,全国、广东、江苏、北京、上海、山东境内上市公司家数,2023,北京,6
380,季度,110000,家,全国、广东、江苏、北京、上海、山东境内上市公司家数,2020,北京,12
385,季度,110000,家,全国、广东、江苏、北京、上海、山东境内上市公司家数,2021,北京,3
331,季度,310000,家,全国、广东、江苏、北京、上海、山东境内上市公司家数,2019,上海,9
585,季度,320000,家,全国、广东、江苏、北京、上海、山东境内上市公司家数,2022,江苏,3
215,季度,370000,家,全国、广东、江苏、北京、上海、山东境内上市公司家数,2020,山东,3
463,季度,110000,家,全国、广东、江苏、北京、上海、山东境内上市公司家数,2023,北京,1
396,季度,320000,家,全国、广东、江苏、北京、上海、山东境内上市公司家数,2018,江苏,9
312,季度,110000,家,全国、广东、江苏、北京、上海、山东境内上市公司家数,2018,北京,3
282,季度,370000,家,全国、广东、江苏、北京、上海、山东境内上市公司家数,2022,山东,9
376,季度,110000,家,全国、广东、江苏、北京、上海、山东境内上市公司家数,2020,北京,9
421,季度,320000,家,全国、广东、江苏、北京、上海、山东境内上市公司家数,2019,江苏,9
318,季度,110000,家,全国、广东、江苏、北京、上海、山东境内上市公司家数,2018,北京,12
3628,季度,0,家,全国、广东、江苏、北京、上海、山东境内上市公司家数,2019,全国,6
568,季度,320000,家,全国、广东、江苏、北京、上海、山东境内上市公司家数,2021,江苏,12
645,季度,440000,家,全国、广东、江苏、北京、上海、山东境内上市公司家数,2020,广东,3
3544,季度,0,家,全国、广东、江苏、北京、上海、山东境内上市公司家数,2018,全国,9
3691,季度,0,家,全国、广东、江苏、北京、上海、山东境内上市公司家数,2019,全国,9
637,季度,320000,家,全国、广东、江苏、北京、上海、山东境内上市公司家数,2022,江苏,12
418,季度,310000,家,全国、广东、江苏、北京、上海、山东境内上市公司家数,2022,上海,12
320,季度,110000,家,全国、广东、江苏、北京、上海、山东境内上市公司家数,2019,北京,3
542,季度,320000,家,全国、广东、江苏、北京、上海、山东境内上市公司家数,2021,江苏,9
307,季度,370000,家,全国、广东、江苏、北京、上海、山东境内上市公司家数,2023,山东,12
