Academic Year,Institution (English),Institution (Chinese),Level of study (English),Level of study (Chinese),Programme type (English),Programme type (Chinese),Programme name (English),Programme name (Chinese),Areas of Study,Areas of Study (Chinese),Normal programme duration
2023/24,Hong Kong College of Technology,香港專業進修學校,Sub-degree,副學位,Higher Diploma,高級文憑課程,Higher Diploma in Language and Corporate Communication (Korean),語言及企業傳訊高級文憑 (韓語),Languages and Related Studies,語言及相關科目,2
2023/24,Hong Kong College of Technology,香港專業進修學校,Sub-degree,副學位,Higher Diploma,高級文憑課程,Higher Diploma in Professional Accounting,專業會計學高級文憑,Business and Management,商業及管理,2
2023/24,Hong Kong College of Technology,香港專業進修學校,Sub-degree,副學位,Higher Diploma,高級文憑課程,Higher Diploma in Social Media and Creative Marketing,社交媒體及創意營銷高級文憑,Business and Management,商業及管理,2
2023/24,Hong Kong College of Technology,香港專業進修學校,Sub-degree,副學位,Higher Diploma,高級文憑課程,Higher Diploma in Social Work,社會工作高級文憑,Social Sciences,社會科學,2
2023/24,Hong Kong College of Technology,香港專業進修學校,Sub-degree,副學位,Higher Diploma,高級文憑課程,Higher Diploma in Tourism Management (Airline Services),旅遊業管理高級文憑 (航空服務),Services,服務,2
2023/24,Hong Kong College of Technology,香港專業進修學校,Sub-degree,副學位,Higher Diploma,高級文憑課程,Higher Diploma in Tourism Management (Culinary),旅遊業管理高級文憑(西式廚藝),Services,服務,2
2023/24,Hong Kong College of Technology,香港專業進修學校,Sub-degree,副學位,Higher Diploma,高級文憑課程,Higher Diploma in Tourism Management (Hospitality),旅遊業管理高級文憑 (酒店款待),Services,服務,2
2023/24,Hong Kong Institute of Technology,香港科技專上書院,Degree,學士學位,Bachelor's Degree,學士學位課程,BA (Hons) Business Studies,商業學（榮譽）文學士,Business and Management,商業及管理,3
2023/24,Hong Kong Institute of Technology,香港科技專上書院,Degree,學士學位,Bachelor's Degree,學士學位課程,"BA (Hons) Criminology, Policing and Forensic Investigation",犯罪學、警務及鑑證調查(榮譽)文學士,Social Sciences,社會科學,3
2023/24,Hong Kong Institute of Technology,香港科技專上書院,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Arts (Hons) Accounting and Finance,會計及財務（榮譽）文學士,Business and Management,商業及管理,3
2023/24,Hong Kong Institute of Technology,香港科技專上書院,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Arts (Hons) Business,商業學（榮譽）文學士,Business and Management,商業及管理,3
2023/24,Hong Kong Institute of Technology,香港科技專上書院,Degree,學士學位,Bachelor's Degree,學士學位課程,"Bachelor of Arts (Hons) Hospitality, Tourism and Event Management",款待、旅遊及活動管理（榮譽）文學士,Services,服務,3
2023/24,Hong Kong Institute of Technology,香港科技專上書院,Degree,學士學位,Bachelor's Degree,學士學位課程,BSc (Hons) Computing,電腦學（榮譽）理學士,Computer Science and Information Technology,電腦科學及資訊科技,3
2023/24,Hong Kong Institute of Technology,香港科技專上書院,Degree,學士學位,Bachelor's Degree,學士學位課程,BSc (Hons) Cyber Security,網絡保安（榮譽）理學士,Computer Science and Information Technology,電腦科學及資訊科技,3
2023/24,Hong Kong Institute of Technology,香港科技專上書院,Sub-degree,副學位,Higher Diploma,高級文憑課程,Higher Diploma in Business Administration,工商管理高級文憑,Business and Management,商業及管理,2
2023/24,Hong Kong Institute of Technology,香港科技專上書院,Sub-degree,副學位,Higher Diploma,高級文憑課程,Higher Diploma in Cybercrime and Investigation,網絡罪案及調查高級文憑,Computer Science and Information Technology,電腦科學及資訊科技,2
2023/24,Hong Kong Institute of Technology,香港科技專上書院,Sub-degree,副學位,Higher Diploma,高級文憑課程,Higher Diploma in Health Care,健康護理高級文憑,"Medicine, Dentistry and Health Sciences",醫科、牙醫學及健康科學,2
2023/24,Hong Kong Institute of Technology,香港科技專上書院,Sub-degree,副學位,Higher Diploma,高級文憑課程,Higher Diploma in Information Technology (Computing),資訊科技(電腦學)高級文憑,Computer Science and Information Technology,電腦科學及資訊科技,2
2023/24,Hong Kong Institute of Technology,香港科技專上書院,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,BA (Hons) Business Studies - Year 3 Entry,商業學（榮譽）文學士 - 第三年,Business and Management,商業及管理,1
2023/24,Hong Kong Institute of Technology,香港科技專上書院,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,"BA (Hons) Criminology, Policing and Forensic Investigation - Year 3 Entry",犯罪學、警務及鑑證調查(榮譽)文學士 - 第三年,Social Sciences,社會科學,1
2023/24,Hong Kong Institute of Technology,香港科技專上書院,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,Bachelor of Arts (Hons) Accounting and Finance - Year 3 Entry,會計及財務（榮譽）文學士 - 第三年,Business and Management,商業及管理,1
2023/24,Hong Kong Institute of Technology,香港科技專上書院,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,Bachelor of Arts (Hons) Business - Year 3 Entry,商業學（榮譽）文學士 - 第三年,Business and Management,商業及管理,1
2023/24,Hong Kong Institute of Technology,香港科技專上書院,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,"Bachelor of Arts (Hons) Hospitality, Tourism and Event Management - Year 3 Entry",款待、旅遊及活動管理（榮譽）文學士 - 第三年,Services,服務,1
2023/24,Hong Kong Institute of Technology,香港科技專上書院,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,BSc (Hons) Computing- Year 3 Entry,電腦學（榮譽）理學士 - 第三年,Computer Science and Information Technology,電腦科學及資訊科技,1
2023/24,Hong Kong Institute of Technology,香港科技專上書院,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,BSc (Hons) Cyber Security - Year 3 Entry,網絡保安（榮譽）理學士 - 第三年,Computer Science and Information Technology,電腦科學及資訊科技,1
2023/24,Hong Kong Metropolitan University - Li Ka Shing School of Professional and Continuing Education,香港都會大學 - 李嘉誠專業進修學院,Sub-degree,副學位,Higher Diploma,高級文憑課程,Higher Diploma in Business Administration and Management,工商管理高級文憑,Business and Management,商業及管理,2
2023/24,Hong Kong Metropolitan University - Li Ka Shing School of Professional and Continuing Education,香港都會大學 - 李嘉誠專業進修學院,Sub-degree,副學位,Higher Diploma,高級文憑課程,Higher Diploma in Creative Culture and Media Practice,創意文化及媒體實務高級文憑,"Arts, Design and Performing Arts",藝術、設計、表演藝術,2
2023/24,Hong Kong Metropolitan University - Li Ka Shing School of Professional and Continuing Education,香港都會大學 - 李嘉誠專業進修學院,Sub-degree,副學位,Higher Diploma,高級文憑課程,Higher Diploma in Criminology,犯罪學高級文憑,Social Sciences,社會科學,2
2023/24,Hong Kong Metropolitan University - Li Ka Shing School of Professional and Continuing Education,香港都會大學 - 李嘉誠專業進修學院,Sub-degree,副學位,Higher Diploma,高級文憑課程,Higher Diploma in Digital Fashion Creation,數碼時裝設計高級文憑,"Arts, Design and Performing Arts",藝術、設計、表演藝術,2
2023/24,Hong Kong Metropolitan University - Li Ka Shing School of Professional and Continuing Education,香港都會大學 - 李嘉誠專業進修學院,Sub-degree,副學位,Higher Diploma,高級文憑課程,Higher Diploma in Early Childhood Education (Full-time),幼兒教育高級文憑 (全日制),Education,教育,2
2023/24,Hong Kong Metropolitan University - Li Ka Shing School of Professional and Continuing Education,香港都會大學 - 李嘉誠專業進修學院,Sub-degree,副學位,Higher Diploma,高級文憑課程,Higher Diploma in Engineering (Civil Engineering),工程學高級文憑 ‎(土木工程),Engineering and Technology,工程及科技,2
2023/24,Hong Kong Metropolitan University - Li Ka Shing School of Professional and Continuing Education,香港都會大學 - 李嘉誠專業進修學院,Sub-degree,副學位,Higher Diploma,高級文憑課程,Higher Diploma in Health and Molecular Testing,健康及分子檢測高級文憑,Sciences,理學科,2
2023/24,Hong Kong Metropolitan University - Li Ka Shing School of Professional and Continuing Education,香港都會大學 - 李嘉誠專業進修學院,Sub-degree,副學位,Higher Diploma,高級文憑課程,Higher Diploma in Health Care,醫療護理高級文憑,"Medicine, Dentistry and Health Sciences",醫科、牙醫學及健康科學,2
2023/24,Hong Kong Metropolitan University - Li Ka Shing School of Professional and Continuing Education,香港都會大學 - 李嘉誠專業進修學院,Sub-degree,副學位,Higher Diploma,高級文憑課程,Higher Diploma in Interior Design,室內設計高級文憑,"Arts, Design and Performing Arts",藝術、設計、表演藝術,2
2023/24,Hong Kong Metropolitan University - Li Ka Shing School of Professional and Continuing Education,香港都會大學 - 李嘉誠專業進修學院,Sub-degree,副學位,Higher Diploma,高級文憑課程,Higher Diploma in Japanese Studies,日本研究高級文憑,Languages and Related Studies,語言及相關科目,2
2023/24,Hong Kong Metropolitan University - Li Ka Shing School of Professional and Continuing Education,香港都會大學 - 李嘉誠專業進修學院,Sub-degree,副學位,Higher Diploma,高級文憑課程,Higher Diploma in Pet Care and Animal-Assisted Therapy,寵物護養及動物輔助治療高級文憑,"Medicine, Dentistry and Health Sciences",醫科、牙醫學及健康科學,2
2023/24,Hong Kong Metropolitan University - Li Ka Shing School of Professional and Continuing Education,香港都會大學 - 李嘉誠專業進修學院,Sub-degree,副學位,Higher Diploma,高級文憑課程,Higher Diploma in Psychology,心理學高級文憑,Social Sciences,社會科學,2
2023/24,Hong Kong Metropolitan University - Li Ka Shing School of Professional and Continuing Education,香港都會大學 - 李嘉誠專業進修學院,Sub-degree,副學位,Higher Diploma,高級文憑課程,Higher Diploma in Resort and Theme Park Management,度假區及主題樂園管理高級文憑,Business and Management,商業及管理,2
2023/24,Hong Kong Metropolitan University - Li Ka Shing School of Professional and Continuing Education,香港都會大學 - 李嘉誠專業進修學院,Sub-degree,副學位,Higher Diploma,高級文憑課程,Higher Diploma in Tourism and Airline Studies,旅遊及航空業高級文憑,Services,服務,2
2023/24,Hong Kong Metropolitan University - Li Ka Shing School of Professional and Continuing Education,香港都會大學 - 李嘉誠專業進修學院,Sub-degree,副學位,Higher Diploma,高級文憑課程,Higher Diploma in Tourism and Hospitality Studies,旅遊及款待業高級文憑,Services,服務,2
2023/24,Hong Kong Metropolitan University,香港都會大學,Degree,學士學位,Bachelor's Degree,學士學位課程,"Bachelor of Applied Psychology with Honours, Bachelor of Business Management with Honours (Full-time)",應用心理學榮譽學士，商業管理榮譽學士（四年全日制課程）,Business and Management,商業及管理,4
2023/24,Hong Kong Metropolitan University,香港都會大學,Degree,學士學位,Bachelor's Degree,學士學位課程,"Bachelor of Applied Science with Honours in Integrated Testing, Inspection and Certification (Full-time)",綜合檢測和認證榮譽應用理學士（四年全日制課程）,Engineering and Technology,工程及科技,4
2023/24,Hong Kong Metropolitan University,香港都會大學,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Arts with Honours in Chinese (Full-time),中文榮譽文學士（四年全日制課程）,Languages and Related Studies,語言及相關科目,4
2023/24,Hong Kong Metropolitan University,香港都會大學,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Arts with Honours in Creative Advertising and Media Design (Full-time),創意廣告及媒體設計榮譽文學士（四年全日制課程）,"Arts, Design and Performing Arts",藝術、設計、表演藝術,4
2023/24,Hong Kong Metropolitan University,香港都會大學,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Arts with Honours in Creative Writing and Film Arts (Full-time),創意寫作與電影藝術榮譽文學士（四年全日制課程）,"Arts, Design and Performing Arts",藝術、設計、表演藝術,4
2023/24,Hong Kong Metropolitan University,香港都會大學,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Arts with Honours in English Language and Culture (Full-time),英語及文化榮譽文學士（四年全日制課程）,Languages and Related Studies,語言及相關科目,4
2023/24,Hong Kong Metropolitan University,香港都會大學,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Arts with Honours in Language Studies and Translation (Full-time),語言研究與翻譯榮譽文學士（四年全日制課程）,Languages and Related Studies,語言及相關科目,4
2023/24,Hong Kong Metropolitan University,香港都會大學,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Business Administration with Honours in Aviation Services Management (Full-time),航空服務管理榮譽工商管理學士（四年全日制課程）,Services,服務,4
2023/24,Hong Kong Metropolitan University,香港都會大學,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Business Administration with Honours in Business Management (Full-time),商業管理學榮譽工商管理學士（四年全日制課程）,Business and Management,商業及管理,4
2023/24,Hong Kong Metropolitan University,香港都會大學,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Business Administration with Honours in Corporate Governance and Sustainability (Full-time),企業管治及持續發展榮譽工商管理學士（四年全日制課程）,Business and Management,商業及管理,4
2023/24,Hong Kong Metropolitan University,香港都會大學,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Business Administration with Honours in Finance and Financial Technology (Full-time),財務及金融科技榮譽工商管理學士 （四年全日制課程）,Business and Management,商業及管理,4
2023/24,Hong Kong Metropolitan University,香港都會大學,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Business Administration with Honours in Global Business (Full-time),環球商業榮譽工商管理學士 （四年全日制課程）,Business and Management,商業及管理,4
2023/24,Hong Kong Metropolitan University,香港都會大學,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Business Administration with Honours in Global Marketing and Supply Chain Management (Full-time),環球市場及供應鏈榮譽工商管理學士（四年全日制課程）,Business and Management,商業及管理,4
2023/24,Hong Kong Metropolitan University,香港都會大學,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Business Administration with Honours in Human Resource Management (Full-time),人力資源管理學榮譽工商管理學士（四年全日制課程）,Business and Management,商業及管理,4
2023/24,Hong Kong Metropolitan University,香港都會大學,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Business Administration with Honours in International Hospitality and Attractions Management (Full-time),國際款待及景區管理榮譽工商管理學士（四年全日制課程）,Services,服務,4
2023/24,Hong Kong Metropolitan University,香港都會大學,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Business Administration with Honours in Marketing (Full-time),市場學榮譽工商管理學士（四年全日制課程）,Business and Management,商業及管理,4
2023/24,Hong Kong Metropolitan University,香港都會大學,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Business Administration with Honours in Professional Accounting (Full-time),專業會計榮譽工商管理學士（四年全日制課程）,Business and Management,商業及管理,4
2023/24,Hong Kong Metropolitan University,香港都會大學,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Business Administration with Honours in Sports and eSports Management (Full-time),運動及電競運動管理榮譽工商管理學士（四年全日制課程）,Services,服務,4
2023/24,Hong Kong Metropolitan University,香港都會大學,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Business Administration with Honours in Sports and Recreation Management (Full-time),運動及康樂管理榮譽工商管理學士（四年全日制課程）,Services,服務,4
2023/24,Hong Kong Metropolitan University,香港都會大學,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Business Administration with Honours in Sustainable Tourism and Hospitality Management (Full-time),持續旅遊及款待管理榮譽工商管理學士（四年全日制課程）,Services,服務,4
2023/24,Hong Kong Metropolitan University,香港都會大學,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Education with Honours (Chinese Language Teaching) and Bachelor of Language Studies with Honours (Applied Chinese Language Studies) (Full-time),教育榮譽學士(中國語文教學)及語言研究榮譽學士(應用中國語言)（四年全日制課程）,Education,教育,4
2023/24,Hong Kong Metropolitan University,香港都會大學,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Education with Honours in Early Childhood Education (Leadership and Special Educational Needs) (Full-time),教育榮譽學士(幼兒教育：領導及特殊教育需要)（四年全日制課程）,Education,教育,4
2023/24,Hong Kong Metropolitan University,香港都會大學,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Education with Honours in English Language Teaching and Bachelor of English Language Studies with Honours (Full-time),英語教學榮譽教育學士及英語研究榮譽學士（四年全日制課程）,Education,教育,4
2023/24,Hong Kong Metropolitan University,香港都會大學,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Engineering with Honours in Building Services Engineering and Sustainable Development (Full-time),屋宇設備工程及可持續發展榮譽工學士（四年全日制課程）,Engineering and Technology,工程及科技,4
2023/24,Hong Kong Metropolitan University,香港都會大學,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Engineering with Honours in Civil Engineering (Full-time),土木工程榮譽工學士 （四年全日制課程 ),Engineering and Technology,工程及科技,4
2023/24,Hong Kong Metropolitan University,香港都會大學,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Engineering with Honours in Electronic and Computer Engineering (Full-time),電子及電腦工程學榮譽工學士（四年全日制課程 ),Engineering and Technology,工程及科技,4
2023/24,Hong Kong Metropolitan University,香港都會大學,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of English Language Studies with Honours (Full-time),英語研究榮譽學士（四年全日制課程）,Languages and Related Studies,語言及相關科目,4
2023/24,Hong Kong Metropolitan University,香港都會大學,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Fine Arts with Honours in Animation and Visual Effects (Full-time),動畫及視覺特效榮譽藝術學士（四年全日制課程）,"Arts, Design and Performing Arts",藝術、設計、表演藝術,4
2023/24,Hong Kong Metropolitan University,香港都會大學,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Fine Arts with Honours in Imaging Design and Digital Art (Full-time),影像設計及數碼藝術榮譽藝術學士（四年全日制課程）,"Arts, Design and Performing Arts",藝術、設計、表演藝術,4
2023/24,Hong Kong Metropolitan University,香港都會大學,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Language Studies with Honours (Applied Chinese Language Studies) (Full-time),語言硏究榮譽學士(應用中國語言)（四年全日制課程）,Languages and Related Studies,語言及相關科目,4
2023/24,Hong Kong Metropolitan University,香港都會大學,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Nursing with Honours in General Health Care (Full-time),護理學榮譽學士(普通科) (全日制),"Medicine, Dentistry and Health Sciences",醫科、牙醫學及健康科學,5
2023/24,Hong Kong Metropolitan University,香港都會大學,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Nursing with Honours in Mental Health Care (Full-time),護理學榮譽學士(精神科) (全日制),"Medicine, Dentistry and Health Sciences",醫科、牙醫學及健康科學,5
2023/24,Hong Kong Metropolitan University,香港都會大學,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Science with Honours in Analytical Testing Science (Full-time),分析檢測科學榮譽理學士（四年全日制課程）,Engineering and Technology,工程及科技,4
2023/24,Hong Kong Metropolitan University,香港都會大學,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Science with Honours in Biomedical Sciences and Biotechnology (Full-time),生物醫學與生物科技榮譽理學士（四年全日制課程）,Sciences,理學科,4
2023/24,Hong Kong Metropolitan University,香港都會大學,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Science with Honours in Computer Science (Full-time),電腦科學榮譽理學士（四年全日制課程）,Computer Science and Information Technology,電腦科學及資訊科技,4
2023/24,Hong Kong Metropolitan University,香港都會大學,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Science with Honours in Cyber and Computer Security (Full-time),網路及電腦安全榮譽理學士（四年全日制課程）,Computer Science and Information Technology,電腦科學及資訊科技,4
2023/24,Hong Kong Metropolitan University,香港都會大學,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Science with Honours in Data Science and Artificial Intelligence (Full-time),數據科學及人工智能榮譽理學士 (四年全日制課程),Sciences,理學科,4
2023/24,Hong Kong Metropolitan University,香港都會大學,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Science with Honours in Environmental Science and Green Management (Full-time),環境科學與綠色管理榮譽理學士（四年全日制課程）,Sciences,理學科,4
2023/24,Hong Kong Metropolitan University,香港都會大學,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Science with Honours in Food Testing Science (Full-time),食品測試科學榮譽理學士（四年全日制課程）,Sciences,理學科,4
2023/24,Hong Kong Metropolitan University,香港都會大學,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Science with Honours in Medical Laboratory Science (Full-time),醫療化驗科學榮譽理學士（四年全日制課程）,Engineering and Technology,工程及科技,4
2023/24,Hong Kong Metropolitan University,香港都會大學,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Science with Honours in Physiotherapy (Full-time),物理治療學榮譽理學士（四年全日制課程）,"Medicine, Dentistry and Health Sciences",醫科、牙醫學及健康科學,4
2023/24,Hong Kong Metropolitan University,香港都會大學,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Science with Honours in Science (STEM) (Full-time),科學(STEM)榮譽理學士（四年全日制課程）,Sciences,理學科,4
2023/24,Hong Kong Metropolitan University,香港都會大學,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Social Sciences with Honours (Full-time),社會科學榮譽學士（四年全日制課程）,Social Sciences,社會科學,4
2023/24,Hong Kong Metropolitan University,香港都會大學,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Social Sciences with Honours in Psychology (Full-time),心理學榮譽社會科學學士（四年全日制課程）,Social Sciences,社會科學,4
2023/24,Hong Kong Metropolitan University,香港都會大學,Sub-degree,副學位,Higher Diploma,高級文憑課程,Higher Diploma in Nursing Studies (General Health Care) (Full-time),普通科護理學高級文憑(全日制),"Medicine, Dentistry and Health Sciences",醫科、牙醫學及健康科學,2
2023/24,Hong Kong Metropolitan University,香港都會大學,Sub-degree,副學位,Higher Diploma,高級文憑課程,Higher Diploma in Nursing Studies (Mental Health Care) (Full-time),精神科護理學高級文憑(全日制),"Medicine, Dentistry and Health Sciences",醫科、牙醫學及健康科學,2
2023/24,Hong Kong Metropolitan University,香港都會大學,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,"Bachelor of Applied Science with Honours in Integrated Testing, Inspection and Certification (Full-time) - Year 2 Entry",綜合檢測和認證榮譽應用理學士（全日制）- 第二年,Engineering and Technology,工程及科技,3
2023/24,Hong Kong Metropolitan University,香港都會大學,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,Bachelor of Arts with Honours in Chinese (Full-time) - Year 2 Entry,中文榮譽文學士（全日制）- 第二年,Languages and Related Studies,語言及相關科目,3
2023/24,Hong Kong Metropolitan University,香港都會大學,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,Bachelor of Arts with Honours in Chinese (Full-time) - Year 3 Entry,中文榮譽文學士（全日制）- 第三年,Languages and Related Studies,語言及相關科目,2
2023/24,Hong Kong Metropolitan University,香港都會大學,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,Bachelor of Arts with Honours in Computing and Interactive Entertainment (Full-time) - Year 3 Entry,電腦及互動娛樂榮譽文學士（全日制）- 第三年,"Arts, Design and Performing Arts",藝術、設計、表演藝術,2
2023/24,Hong Kong Metropolitan University,香港都會大學,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,Bachelor of Arts with Honours in Creative Advertising and Media Design (Full-time) - Year 2 Entry,創意廣告及媒體設計榮譽文學士（全日制）- 第二年,"Arts, Design and Performing Arts",藝術、設計、表演藝術,3
2023/24,Hong Kong Metropolitan University,香港都會大學,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,Bachelor of Arts with Honours in Creative Advertising and Media Design (Full-time) - Year 3 Entry,創意廣告及媒體設計榮譽文學士（全日制）- 第三年,"Arts, Design and Performing Arts",藝術、設計、表演藝術,2
2023/24,Hong Kong Metropolitan University,香港都會大學,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,Bachelor of Arts with Honours in Creative Writing and Film Arts (Full-time) - Year 2 Entry,創意寫作與電影藝術榮譽文學士（全日制）- 第二年,"Arts, Design and Performing Arts",藝術、設計、表演藝術,3
2023/24,Hong Kong Metropolitan University,香港都會大學,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,Bachelor of Arts with Honours in Creative Writing and Film Arts (Full-time) - Year 3 Entry,創意寫作與電影藝術榮譽文學士（全日制）- 第三年,"Arts, Design and Performing Arts",藝術、設計、表演藝術,2
2023/24,Hong Kong Metropolitan University,香港都會大學,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,Bachelor of Arts with Honours in English Language and Culture (Full-time) - Year 2 Entry,英語及文化榮譽文學士（全日制）- 第二年,Languages and Related Studies,語言及相關科目,3
2023/24,Hong Kong Metropolitan University,香港都會大學,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,Bachelor of Arts with Honours in English Language and Culture (Full-time) - Year 3 Entry,英語及文化榮譽文學士（全日制）- 第三年,Languages and Related Studies,語言及相關科目,2
2023/24,Hong Kong Metropolitan University,香港都會大學,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,Bachelor of Arts with Honours in Language Studies and Translation (Full-time) - Year 2 Entry,語言研究與翻譯榮譽文學士（全日制）- 第二年,Languages and Related Studies,語言及相關科目,3
2023/24,Hong Kong Metropolitan University,香港都會大學,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,Bachelor of Arts with Honours in Language Studies and Translation (Full-time) - Year 3 Entry,語言研究與翻譯榮譽文學士（全日制）- 第三年,Languages and Related Studies,語言及相關科目,2
2023/24,Hong Kong Metropolitan University,香港都會大學,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,Bachelor of Business Administration with Honours in Accounting and Taxation (Full-time) - Year 2 Entry,會計及稅務學榮譽工商管理學士（全日制）- 第二年,Business and Management,商業及管理,3
2023/24,Hong Kong Metropolitan University,香港都會大學,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,Bachelor of Business Administration with Honours in Accounting and Taxation (Full-time) - Year 3 Entry,會計及稅務學榮譽工商管理學士（全日制）- 第三年,Business and Management,商業及管理,2
2023/24,Hong Kong Metropolitan University,香港都會大學,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,Bachelor of Business Administration with Honours in Aviation Services Management (Full-time) - Year 2 Entry,航空服務管理榮譽工商管理學士（全日制）- 第二年,Business and Management,商業及管理,3
2023/24,Hong Kong Metropolitan University,香港都會大學,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,Bachelor of Business Administration with Honours in Aviation Services Management (Full-time) - Year 3 Entry,航空服務管理榮譽工商管理學士（全日制）- 第三年,Business and Management,商業及管理,2
2023/24,Hong Kong Metropolitan University,香港都會大學,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,Bachelor of Business Administration with Honours in Business Management (Full-time) - Year 2 Entry,商業管理學榮譽工商管理學士（全日制）- 第二年,Business and Management,商業及管理,3
2023/24,Hong Kong Metropolitan University,香港都會大學,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,Bachelor of Business Administration with Honours in Business Management (Full-time) - Year 3 Entry,商業管理學榮譽工商管理學士（全日制）- 第三年,Business and Management,商業及管理,2
2023/24,Hong Kong Metropolitan University,香港都會大學,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,Bachelor of Business Administration with Honours in Corporate Governance (Full-time) - Year 2 Entry,企業管治榮譽工商管理學士（全日制）- 第二年,Business and Management,商業及管理,3
2023/24,Hong Kong Metropolitan University,香港都會大學,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,Bachelor of Business Administration with Honours in Corporate Governance (Full-time) - Year 3 Entry,企業管治榮譽工商管理學士（全日制）- 第三年,Business and Management,商業及管理,2
2023/24,Hong Kong Metropolitan University,香港都會大學,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,Bachelor of Business Administration with Honours in Digital Business (Full-time) - Year 2 Entry,數碼商業榮譽工商管理學士（全日制）- 第二年,Business and Management,商業及管理,3
