学年,院校(英文),院校(中文),学科级别(英文),学科级别(中文),课程类别(英文),课程类别(中文),课程名称(英文),课程名称(中文),学习范畴(英文),学习范畴(中文),一般修业期
2023/24,Saint Francis University,圣方济各大学,Top-up Degree,衔接学士学位,Bachelor's Degree,学士学位课程,Bachelor of Education (Honours) in  Early Childhood Education - Year 3 Entry,幼儿教育 (荣誉) 学士 - 三年级,Education,教育,2
2023/24,Saint Francis University,圣方济各大学,Top-up Degree,衔接学士学位,Bachelor's Degree,学士学位课程,Bachelor of Entrepreneurial Management (Honours) in Design Business,设计新创企业管理 (荣誉) 学士,Business and Management,商业及管理,2
2023/24,Saint Francis University,圣方济各大学,Top-up Degree,衔接学士学位,Bachelor's Degree,学士学位课程,Bachelor of Science (Honours) in Artificial Intelligence - Year 2 Entry,人工智能 (荣誉) 理学士 - 二年级,Computer Science and Information Technology,计算机科学及信息科技,3
2023/24,Saint Francis University,圣方济各大学,Top-up Degree,衔接学士学位,Bachelor's Degree,学士学位课程,Bachelor of Science (Honours) in Artificial Intelligence - Year 3 Entry,人工智能 (荣誉) 理学士 - 三年级,Computer Science and Information Technology,计算机科学及信息科技,2
2023/24,Saint Francis University,圣方济各大学,Top-up Degree,衔接学士学位,Bachelor's Degree,学士学位课程,Bachelor of Science (Honours) in Digital Entertainment Technology - Year 2 Entry,数码娱乐科技(荣誉)理学士 - 二年级,Computer Science and Information Technology,计算机科学及信息科技,3
2023/24,Saint Francis University,圣方济各大学,Top-up Degree,衔接学士学位,Bachelor's Degree,学士学位课程,Bachelor of Science (Honours) in Digital Entertainment Technology - Year 3 Entry,数码娱乐科技(荣誉)理学士 - 三年级,Computer Science and Information Technology,计算机科学及信息科技,2
2023/24,Saint Francis University,圣方济各大学,Top-up Degree,衔接学士学位,Bachelor's Degree,学士学位课程,Bachelor of Social Sciences (Honours) - Year 2 Entry,社会科学 (荣誉) 学士 - 二年级,Social Sciences,社会科学,3
2023/24,Saint Francis University,圣方济各大学,Top-up Degree,衔接学士学位,Bachelor's Degree,学士学位课程,Bachelor of Social Sciences (Honours) - Year 3 Entry,社会科学 (荣誉) 学士 - 三年级,Social Sciences,社会科学,2
2023/24,City University of Hong Kong - School of Continuing and Professional Education,香港城巿大学专业进修学院,Top-up Degree,衔接学士学位,Bachelor's Degree,学士学位课程,BA (Hons) Business Management,商业管理荣誉文学士,Business and Management,商业及管理,1
2023/24,City University of Hong Kong - School of Continuing and Professional Education,香港城巿大学专业进修学院,Top-up Degree,衔接学士学位,Bachelor's Degree,学士学位课程,Bachelor of Science (Hons) in Aviation Management,航空管理荣誉理学士,Business and Management,商业及管理,1
2023/24,City University of Hong Kong - School of Continuing and Professional Education,香港城巿大学专业进修学院,Top-up Degree,衔接学士学位,Bachelor's Degree,学士学位课程,Bachelor of Science (Hons) Information Technology for Business,商业信息科技荣誉理学士,Computer Science and Information Technology,计算机科学及信息科技,1
2023/24,Gratia Christian College,宏恩基督教学院,Degree,学士学位,Bachelor's Degree,学士学位课程,Bachelor of Christian Ministry (Honours),基督教事工荣誉学士,Humanities,人文科学,4
2023/24,Gratia Christian College,宏恩基督教学院,Degree,学士学位,Bachelor's Degree,学士学位课程,Bachelor of Psychology (Honours),心理学荣誉学士,Social Sciences,社会科学,4
2023/24,Gratia Christian College,宏恩基督教学院,Degree,学士学位,Bachelor's Degree,学士学位课程,Bachelor of Service Management (Honours),服务管理荣誉学士,Business and Management,商业及管理,4
2023/24,Gratia Christian College,宏恩基督教学院,Degree,学士学位,Bachelor's Degree,学士学位课程,Bachelor of Social Work (Honours),社会工作荣誉学士,Social Sciences,社会科学,4
2023/24,Gratia Christian College,宏恩基督教学院,Sub-degree,副学位,Higher Diploma,高级文凭课程,Higher Diploma in Christian Ministry Programme,基督教事工高级文凭课程,Humanities,人文科学,2
2023/24,Gratia Christian College,宏恩基督教学院,Sub-degree,副学位,Higher Diploma,高级文凭课程,Higher Diploma in Early Childhood Education Programme,幼儿教育高级文凭课程,Education,教育,2
2023/24,Gratia Christian College,宏恩基督教学院,Sub-degree,副学位,Higher Diploma,高级文凭课程,Higher Diploma in Psychology and Counselling Programme,心理及辅导学高级文凭课程,Social Sciences,社会科学,2
2023/24,Gratia Christian College,宏恩基督教学院,Sub-degree,副学位,Higher Diploma,高级文凭课程,Higher Diploma in Social Work Programme,社会工作高级文凭课程,Social Sciences,社会科学,2
2023/24,Gratia Christian College,宏恩基督教学院,Sub-degree,副学位,Higher Diploma,高级文凭课程,Higher Diploma in Transformative Business Management Programme,转化型商业管理高级文凭课程,Business and Management,商业及管理,2
2023/24,Gratia Christian College,宏恩基督教学院,Top-up Degree,衔接学士学位,Bachelor's Degree,学士学位课程,Bachelor of Christian Ministry (Honours) - Year 3 Entry,基督教事工荣誉学士 - 三年级入学,Humanities,人文科学,2
