学年,院校(英文),院校(中文),学科级别(英文),学科级别(中文),课程类别(英文),课程类别(中文),课程名称(英文),课程名称(中文),学习范畴(英文),学习范畴(中文),一般修业期
2023/24,Hong Kong Chu Hai College,香港珠海学院,Top-up Degree,衔接学士学位,Bachelor's Degree,学士学位课程,Bachelor of Science (Honours) in Computer Science Programme - Year 3 Entry,信息科学 (荣誉) 理学士课程 - 三年级入学,Computer Science and Information Technology,计算机科学及信息科技,2
2023/24,Hong Kong College of Technology,香港专业进修学校,Sub-degree,副学位,Higher Diploma,高级文凭课程,Higher Diploma in Computer Studies (Mobile Applications and Game Development),计算机学高级文凭(流动应用程序及游戏开发),Computer Science and Information Technology,计算机科学及信息科技,2
2023/24,Hong Kong College of Technology,香港专业进修学校,Sub-degree,副学位,Higher Diploma,高级文凭课程,Higher Diploma in Creative Design and Media (Moving Image),创意设计及媒体高级文凭 (数码影像),"Arts, Design and Performing Arts",艺术、设计、表演艺术,2
2023/24,Hong Kong College of Technology,香港专业进修学校,Sub-degree,副学位,Higher Diploma,高级文凭课程,Higher Diploma in Creative Design and Media (Visual Communication),创意设计及媒体高级文凭 (视觉传达),"Arts, Design and Performing Arts",艺术、设计、表演艺术,2
2023/24,Hong Kong College of Technology,香港专业进修学校,Sub-degree,副学位,Higher Diploma,高级文凭课程,Higher Diploma in Cybersecurity (Testing and Compliance),网络安全高级文凭 (检测及合规),Computer Science and Information Technology,计算机科学及信息科技,2
2023/24,Hong Kong College of Technology,香港专业进修学校,Sub-degree,副学位,Higher Diploma,高级文凭课程,Higher Diploma in Industrial Internet of Things,物联网工程高级文凭,Computer Science and Information Technology,计算机科学及信息科技,2
2023/24,Hong Kong College of Technology,香港专业进修学校,Sub-degree,副学位,Higher Diploma,高级文凭课程,Higher Diploma in Interior Design,室内设计高级文凭,"Arts, Design and Performing Arts",艺术、设计、表演艺术,2
2023/24,Hong Kong College of Technology,香港专业进修学校,Sub-degree,副学位,Higher Diploma,高级文凭课程,Higher Diploma in Language and Corporate Communication (Japanese),语言及企业传讯高级文凭 (日语),Languages and Related Studies,语言及相关科目,2
2023/24,Hong Kong College of Technology,香港专业进修学校,Sub-degree,副学位,Higher Diploma,高级文凭课程,Higher Diploma in Language and Corporate Communication (Korean),语言及企业传讯高级文凭 (韩语),Languages and Related Studies,语言及相关科目,2
2023/24,Hong Kong College of Technology,香港专业进修学校,Sub-degree,副学位,Higher Diploma,高级文凭课程,Higher Diploma in Professional Accounting,专业会计学高级文凭,Business and Management,商业及管理,2
2023/24,Hong Kong College of Technology,香港专业进修学校,Sub-degree,副学位,Higher Diploma,高级文凭课程,Higher Diploma in Social Media and Creative Marketing,社交媒体及创意营销高级文凭,Business and Management,商业及管理,2
2023/24,Hong Kong College of Technology,香港专业进修学校,Sub-degree,副学位,Higher Diploma,高级文凭课程,Higher Diploma in Social Work,社会工作高级文凭,Social Sciences,社会科学,2
2023/24,Hong Kong College of Technology,香港专业进修学校,Sub-degree,副学位,Higher Diploma,高级文凭课程,Higher Diploma in Tourism Management (Airline Services),旅游业管理高级文凭 (航空服务),Services,服务,2
2023/24,Hong Kong College of Technology,香港专业进修学校,Sub-degree,副学位,Higher Diploma,高级文凭课程,Higher Diploma in Tourism Management (Culinary),旅游业管理高级文凭(西式厨艺),Services,服务,2
2023/24,Hong Kong College of Technology,香港专业进修学校,Sub-degree,副学位,Higher Diploma,高级文凭课程,Higher Diploma in Tourism Management (Hospitality),旅游业管理高级文凭 (酒店款待),Services,服务,2
2023/24,Hong Kong Institute of Technology,香港科技专上书院,Degree,学士学位,Bachelor's Degree,学士学位课程,BA (Hons) Business Studies,商业学（荣誉）文学士,Business and Management,商业及管理,3
2023/24,Hong Kong Institute of Technology,香港科技专上书院,Degree,学士学位,Bachelor's Degree,学士学位课程,"BA (Hons) Criminology, Policing and Forensic Investigation",犯罪学、警务及鉴证调查(荣誉)文学士,Social Sciences,社会科学,3
2023/24,Hong Kong Institute of Technology,香港科技专上书院,Degree,学士学位,Bachelor's Degree,学士学位课程,Bachelor of Arts (Hons) Accounting and Finance,会计及财务（荣誉）文学士,Business and Management,商业及管理,3
2023/24,Hong Kong Institute of Technology,香港科技专上书院,Degree,学士学位,Bachelor's Degree,学士学位课程,Bachelor of Arts (Hons) Business,商业学（荣誉）文学士,Business and Management,商业及管理,3
2023/24,Hong Kong Institute of Technology,香港科技专上书院,Degree,学士学位,Bachelor's Degree,学士学位课程,"Bachelor of Arts (Hons) Hospitality, Tourism and Event Management",款待、旅游及活动管理（荣誉）文学士,Services,服务,3
2023/24,Hong Kong Institute of Technology,香港科技专上书院,Degree,学士学位,Bachelor's Degree,学士学位课程,BSc (Hons) Computing,计算机学（荣誉）理学士,Computer Science and Information Technology,计算机科学及信息科技,3
2023/24,Hong Kong Institute of Technology,香港科技专上书院,Degree,学士学位,Bachelor's Degree,学士学位课程,BSc (Hons) Cyber Security,网络保安（荣誉）理学士,Computer Science and Information Technology,计算机科学及信息科技,3
2023/24,Hong Kong Institute of Technology,香港科技专上书院,Sub-degree,副学位,Higher Diploma,高级文凭课程,Higher Diploma in Business Administration,工商管理高级文凭,Business and Management,商业及管理,2
2023/24,Hong Kong Institute of Technology,香港科技专上书院,Sub-degree,副学位,Higher Diploma,高级文凭课程,Higher Diploma in Cybercrime and Investigation,网络罪案及调查高级文凭,Computer Science and Information Technology,计算机科学及信息科技,2
2023/24,Hong Kong Institute of Technology,香港科技专上书院,Sub-degree,副学位,Higher Diploma,高级文凭课程,Higher Diploma in Health Care,健康护理高级文凭,"Medicine, Dentistry and Health Sciences",医科、牙医学及健康科学,2
2023/24,Hong Kong Institute of Technology,香港科技专上书院,Sub-degree,副学位,Higher Diploma,高级文凭课程,Higher Diploma in Information Technology (Computing),信息科技(计算机学)高级文凭,Computer Science and Information Technology,计算机科学及信息科技,2
2023/24,Hong Kong Institute of Technology,香港科技专上书院,Top-up Degree,衔接学士学位,Bachelor's Degree,学士学位课程,BA (Hons) Business Studies - Year 3 Entry,商业学（荣誉）文学士 - 第三年,Business and Management,商业及管理,1
2023/24,Hong Kong Institute of Technology,香港科技专上书院,Top-up Degree,衔接学士学位,Bachelor's Degree,学士学位课程,"BA (Hons) Criminology, Policing and Forensic Investigation - Year 3 Entry",犯罪学、警务及鉴证调查(荣誉)文学士 - 第三年,Social Sciences,社会科学,1
2023/24,Hong Kong Institute of Technology,香港科技专上书院,Top-up Degree,衔接学士学位,Bachelor's Degree,学士学位课程,Bachelor of Arts (Hons) Accounting and Finance - Year 3 Entry,会计及财务（荣誉）文学士 - 第三年,Business and Management,商业及管理,1
2023/24,Hong Kong Institute of Technology,香港科技专上书院,Top-up Degree,衔接学士学位,Bachelor's Degree,学士学位课程,Bachelor of Arts (Hons) Business - Year 3 Entry,商业学（荣誉）文学士 - 第三年,Business and Management,商业及管理,1
2023/24,Hong Kong Institute of Technology,香港科技专上书院,Top-up Degree,衔接学士学位,Bachelor's Degree,学士学位课程,"Bachelor of Arts (Hons) Hospitality, Tourism and Event Management - Year 3 Entry",款待、旅游及活动管理（荣誉）文学士 - 第三年,Services,服务,1
2023/24,Hong Kong Institute of Technology,香港科技专上书院,Top-up Degree,衔接学士学位,Bachelor's Degree,学士学位课程,BSc (Hons) Computing- Year 3 Entry,计算机学（荣誉）理学士 - 第三年,Computer Science and Information Technology,计算机科学及信息科技,1
2023/24,Hong Kong Institute of Technology,香港科技专上书院,Top-up Degree,衔接学士学位,Bachelor's Degree,学士学位课程,BSc (Hons) Cyber Security - Year 3 Entry,网络保安（荣誉）理学士 - 第三年,Computer Science and Information Technology,计算机科学及信息科技,1
2023/24,Hong Kong Metropolitan University - Li Ka Shing School of Professional and Continuing Education,香港都会大学 - 李嘉诚专业进修学院,Sub-degree,副学位,Higher Diploma,高级文凭课程,Higher Diploma in Business Administration and Management,工商管理高级文凭,Business and Management,商业及管理,2
2023/24,Hong Kong Metropolitan University - Li Ka Shing School of Professional and Continuing Education,香港都会大学 - 李嘉诚专业进修学院,Sub-degree,副学位,Higher Diploma,高级文凭课程,Higher Diploma in Creative Culture and Media Practice,创意文化及媒体实务高级文凭,"Arts, Design and Performing Arts",艺术、设计、表演艺术,2
2023/24,Hong Kong Metropolitan University - Li Ka Shing School of Professional and Continuing Education,香港都会大学 - 李嘉诚专业进修学院,Sub-degree,副学位,Higher Diploma,高级文凭课程,Higher Diploma in Criminology,犯罪学高级文凭,Social Sciences,社会科学,2
2023/24,Hong Kong Metropolitan University - Li Ka Shing School of Professional and Continuing Education,香港都会大学 - 李嘉诚专业进修学院,Sub-degree,副学位,Higher Diploma,高级文凭课程,Higher Diploma in Digital Fashion Creation,数码时装设计高级文凭,"Arts, Design and Performing Arts",艺术、设计、表演艺术,2
2023/24,Hong Kong Metropolitan University - Li Ka Shing School of Professional and Continuing Education,香港都会大学 - 李嘉诚专业进修学院,Sub-degree,副学位,Higher Diploma,高级文凭课程,Higher Diploma in Early Childhood Education (Full-time),幼儿教育高级文凭 (全日制),Education,教育,2
2023/24,Hong Kong Metropolitan University - Li Ka Shing School of Professional and Continuing Education,香港都会大学 - 李嘉诚专业进修学院,Sub-degree,副学位,Higher Diploma,高级文凭课程,Higher Diploma in Engineering (Civil Engineering),工程学高级文凭 ‎(土木工程),Engineering and Technology,工程及科技,2
2023/24,Hong Kong Metropolitan University - Li Ka Shing School of Professional and Continuing Education,香港都会大学 - 李嘉诚专业进修学院,Sub-degree,副学位,Higher Diploma,高级文凭课程,Higher Diploma in Health and Molecular Testing,健康及分子检测高级文凭,Sciences,理学科,2
2023/24,Hong Kong Metropolitan University - Li Ka Shing School of Professional and Continuing Education,香港都会大学 - 李嘉诚专业进修学院,Sub-degree,副学位,Higher Diploma,高级文凭课程,Higher Diploma in Health Care,医疗护理高级文凭,"Medicine, Dentistry and Health Sciences",医科、牙医学及健康科学,2
2023/24,Hong Kong Metropolitan University - Li Ka Shing School of Professional and Continuing Education,香港都会大学 - 李嘉诚专业进修学院,Sub-degree,副学位,Higher Diploma,高级文凭课程,Higher Diploma in Interior Design,室内设计高级文凭,"Arts, Design and Performing Arts",艺术、设计、表演艺术,2
2023/24,Hong Kong Metropolitan University - Li Ka Shing School of Professional and Continuing Education,香港都会大学 - 李嘉诚专业进修学院,Sub-degree,副学位,Higher Diploma,高级文凭课程,Higher Diploma in Japanese Studies,日本研究高级文凭,Languages and Related Studies,语言及相关科目,2
2023/24,Hong Kong Metropolitan University - Li Ka Shing School of Professional and Continuing Education,香港都会大学 - 李嘉诚专业进修学院,Sub-degree,副学位,Higher Diploma,高级文凭课程,Higher Diploma in Pet Care and Animal-Assisted Therapy,宠物护养及动物辅助治疗高级文凭,"Medicine, Dentistry and Health Sciences",医科、牙医学及健康科学,2
2023/24,Hong Kong Metropolitan University - Li Ka Shing School of Professional and Continuing Education,香港都会大学 - 李嘉诚专业进修学院,Sub-degree,副学位,Higher Diploma,高级文凭课程,Higher Diploma in Psychology,心理学高级文凭,Social Sciences,社会科学,2
2023/24,Hong Kong Metropolitan University - Li Ka Shing School of Professional and Continuing Education,香港都会大学 - 李嘉诚专业进修学院,Sub-degree,副学位,Higher Diploma,高级文凭课程,Higher Diploma in Resort and Theme Park Management,度假区及主题乐园管理高级文凭,Business and Management,商业及管理,2
2023/24,Hong Kong Metropolitan University - Li Ka Shing School of Professional and Continuing Education,香港都会大学 - 李嘉诚专业进修学院,Sub-degree,副学位,Higher Diploma,高级文凭课程,Higher Diploma in Tourism and Airline Studies,旅游及航空业高级文凭,Services,服务,2
2023/24,Hong Kong Metropolitan University - Li Ka Shing School of Professional and Continuing Education,香港都会大学 - 李嘉诚专业进修学院,Sub-degree,副学位,Higher Diploma,高级文凭课程,Higher Diploma in Tourism and Hospitality Studies,旅游及款待业高级文凭,Services,服务,2
2023/24,Hong Kong Metropolitan University,香港都会大学,Degree,学士学位,Bachelor's Degree,学士学位课程,"Bachelor of Applied Psychology with Honours, Bachelor of Business Management with Honours (Full-time)",应用心理学荣誉学士，商业管理荣誉学士（四年全日制课程）,Business and Management,商业及管理,4
2023/24,Hong Kong Metropolitan University,香港都会大学,Degree,学士学位,Bachelor's Degree,学士学位课程,"Bachelor of Applied Science with Honours in Integrated Testing, Inspection and Certification (Full-time)",综合检测和认证荣誉应用理学士（四年全日制课程）,Engineering and Technology,工程及科技,4
2023/24,Hong Kong Metropolitan University,香港都会大学,Degree,学士学位,Bachelor's Degree,学士学位课程,Bachelor of Arts with Honours in Chinese (Full-time),中文荣誉文学士（四年全日制课程）,Languages and Related Studies,语言及相关科目,4
2023/24,Hong Kong Metropolitan University,香港都会大学,Degree,学士学位,Bachelor's Degree,学士学位课程,Bachelor of Arts with Honours in Creative Advertising and Media Design (Full-time),创意广告及媒体设计荣誉文学士（四年全日制课程）,"Arts, Design and Performing Arts",艺术、设计、表演艺术,4
2023/24,Hong Kong Metropolitan University,香港都会大学,Degree,学士学位,Bachelor's Degree,学士学位课程,Bachelor of Arts with Honours in Creative Writing and Film Arts (Full-time),创意写作与电影艺术荣誉文学士（四年全日制课程）,"Arts, Design and Performing Arts",艺术、设计、表演艺术,4
2023/24,Hong Kong Metropolitan University,香港都会大学,Degree,学士学位,Bachelor's Degree,学士学位课程,Bachelor of Arts with Honours in English Language and Culture (Full-time),英语及文化荣誉文学士（四年全日制课程）,Languages and Related Studies,语言及相关科目,4
2023/24,Hong Kong Metropolitan University,香港都会大学,Degree,学士学位,Bachelor's Degree,学士学位课程,Bachelor of Arts with Honours in Language Studies and Translation (Full-time),语言研究与翻译荣誉文学士（四年全日制课程）,Languages and Related Studies,语言及相关科目,4
2023/24,Hong Kong Metropolitan University,香港都会大学,Degree,学士学位,Bachelor's Degree,学士学位课程,Bachelor of Business Administration with Honours in Aviation Services Management (Full-time),航空服务管理荣誉工商管理学士（四年全日制课程）,Services,服务,4
2023/24,Hong Kong Metropolitan University,香港都会大学,Degree,学士学位,Bachelor's Degree,学士学位课程,Bachelor of Business Administration with Honours in Business Management (Full-time),商业管理学荣誉工商管理学士（四年全日制课程）,Business and Management,商业及管理,4
2023/24,Hong Kong Metropolitan University,香港都会大学,Degree,学士学位,Bachelor's Degree,学士学位课程,Bachelor of Business Administration with Honours in Corporate Governance and Sustainability (Full-time),企业管治及持续发展荣誉工商管理学士（四年全日制课程）,Business and Management,商业及管理,4
2023/24,Hong Kong Metropolitan University,香港都会大学,Degree,学士学位,Bachelor's Degree,学士学位课程,Bachelor of Business Administration with Honours in Finance and Financial Technology (Full-time),财务及金融科技荣誉工商管理学士 （四年全日制课程）,Business and Management,商业及管理,4
2023/24,Hong Kong Metropolitan University,香港都会大学,Degree,学士学位,Bachelor's Degree,学士学位课程,Bachelor of Business Administration with Honours in Global Business (Full-time),环球商业荣誉工商管理学士 （四年全日制课程）,Business and Management,商业及管理,4
2023/24,Hong Kong Metropolitan University,香港都会大学,Degree,学士学位,Bachelor's Degree,学士学位课程,Bachelor of Business Administration with Honours in Global Marketing and Supply Chain Management (Full-time),环球市场及供应链荣誉工商管理学士（四年全日制课程）,Business and Management,商业及管理,4
2023/24,Hong Kong Metropolitan University,香港都会大学,Degree,学士学位,Bachelor's Degree,学士学位课程,Bachelor of Business Administration with Honours in Human Resource Management (Full-time),人力资源管理学荣誉工商管理学士（四年全日制课程）,Business and Management,商业及管理,4
2023/24,Hong Kong Metropolitan University,香港都会大学,Degree,学士学位,Bachelor's Degree,学士学位课程,Bachelor of Business Administration with Honours in International Hospitality and Attractions Management (Full-time),国际款待及景区管理荣誉工商管理学士（四年全日制课程）,Services,服务,4
2023/24,Hong Kong Metropolitan University,香港都会大学,Degree,学士学位,Bachelor's Degree,学士学位课程,Bachelor of Business Administration with Honours in Marketing (Full-time),市场学荣誉工商管理学士（四年全日制课程）,Business and Management,商业及管理,4
2023/24,Hong Kong Metropolitan University,香港都会大学,Degree,学士学位,Bachelor's Degree,学士学位课程,Bachelor of Business Administration with Honours in Professional Accounting (Full-time),专业会计荣誉工商管理学士（四年全日制课程）,Business and Management,商业及管理,4
2023/24,Hong Kong Metropolitan University,香港都会大学,Degree,学士学位,Bachelor's Degree,学士学位课程,Bachelor of Business Administration with Honours in Sports and eSports Management (Full-time),运动及电竞运动管理荣誉工商管理学士（四年全日制课程）,Services,服务,4
2023/24,Hong Kong Metropolitan University,香港都会大学,Degree,学士学位,Bachelor's Degree,学士学位课程,Bachelor of Business Administration with Honours in Sports and Recreation Management (Full-time),运动及康乐管理荣誉工商管理学士（四年全日制课程）,Services,服务,4
2023/24,Hong Kong Metropolitan University,香港都会大学,Degree,学士学位,Bachelor's Degree,学士学位课程,Bachelor of Business Administration with Honours in Sustainable Tourism and Hospitality Management (Full-time),持续旅游及款待管理荣誉工商管理学士（四年全日制课程）,Services,服务,4
2023/24,Hong Kong Metropolitan University,香港都会大学,Degree,学士学位,Bachelor's Degree,学士学位课程,Bachelor of Education with Honours (Chinese Language Teaching) and Bachelor of Language Studies with Honours (Applied Chinese Language Studies) (Full-time),教育荣誉学士(中国语文教学)及语言研究荣誉学士(应用中国语言)（四年全日制课程）,Education,教育,4
2023/24,Hong Kong Metropolitan University,香港都会大学,Degree,学士学位,Bachelor's Degree,学士学位课程,Bachelor of Education with Honours in Early Childhood Education (Leadership and Special Educational Needs) (Full-time),教育荣誉学士(幼儿教育：领导及特殊教育需要)（四年全日制课程）,Education,教育,4
2023/24,Hong Kong Metropolitan University,香港都会大学,Degree,学士学位,Bachelor's Degree,学士学位课程,Bachelor of Education with Honours in English Language Teaching and Bachelor of English Language Studies with Honours (Full-time),英语教学荣誉教育学士及英语研究荣誉学士（四年全日制课程）,Education,教育,4
2023/24,Hong Kong Metropolitan University,香港都会大学,Degree,学士学位,Bachelor's Degree,学士学位课程,Bachelor of Engineering with Honours in Building Services Engineering and Sustainable Development (Full-time),屋宇设备工程及可持续发展荣誉工学士（四年全日制课程）,Engineering and Technology,工程及科技,4
2023/24,Hong Kong Metropolitan University,香港都会大学,Degree,学士学位,Bachelor's Degree,学士学位课程,Bachelor of Engineering with Honours in Civil Engineering (Full-time),土木工程荣誉工学士 （四年全日制课程 ),Engineering and Technology,工程及科技,4
2023/24,Hong Kong Metropolitan University,香港都会大学,Degree,学士学位,Bachelor's Degree,学士学位课程,Bachelor of Engineering with Honours in Electronic and Computer Engineering (Full-time),电子及计算机工程学荣誉工学士（四年全日制课程 ),Engineering and Technology,工程及科技,4
2023/24,Hong Kong Metropolitan University,香港都会大学,Degree,学士学位,Bachelor's Degree,学士学位课程,Bachelor of English Language Studies with Honours (Full-time),英语研究荣誉学士（四年全日制课程）,Languages and Related Studies,语言及相关科目,4
2023/24,Hong Kong Metropolitan University,香港都会大学,Degree,学士学位,Bachelor's Degree,学士学位课程,Bachelor of Fine Arts with Honours in Animation and Visual Effects (Full-time),动画及视觉特效荣誉艺术学士（四年全日制课程）,"Arts, Design and Performing Arts",艺术、设计、表演艺术,4
2023/24,Hong Kong Metropolitan University,香港都会大学,Degree,学士学位,Bachelor's Degree,学士学位课程,Bachelor of Fine Arts with Honours in Imaging Design and Digital Art (Full-time),影像设计及数码艺术荣誉艺术学士（四年全日制课程）,"Arts, Design and Performing Arts",艺术、设计、表演艺术,4
2023/24,Hong Kong Metropolitan University,香港都会大学,Degree,学士学位,Bachelor's Degree,学士学位课程,Bachelor of Language Studies with Honours (Applied Chinese Language Studies) (Full-time),语言硏究荣誉学士(应用中国语言)（四年全日制课程）,Languages and Related Studies,语言及相关科目,4
2023/24,Hong Kong Metropolitan University,香港都会大学,Degree,学士学位,Bachelor's Degree,学士学位课程,Bachelor of Nursing with Honours in General Health Care (Full-time),护理学荣誉学士(普通科) (全日制),"Medicine, Dentistry and Health Sciences",医科、牙医学及健康科学,5
2023/24,Hong Kong Metropolitan University,香港都会大学,Degree,学士学位,Bachelor's Degree,学士学位课程,Bachelor of Nursing with Honours in Mental Health Care (Full-time),护理学荣誉学士(精神科) (全日制),"Medicine, Dentistry and Health Sciences",医科、牙医学及健康科学,5
2023/24,Hong Kong Metropolitan University,香港都会大学,Degree,学士学位,Bachelor's Degree,学士学位课程,Bachelor of Science with Honours in Analytical Testing Science (Full-time),分析检测科学荣誉理学士（四年全日制课程）,Engineering and Technology,工程及科技,4
2023/24,Hong Kong Metropolitan University,香港都会大学,Degree,学士学位,Bachelor's Degree,学士学位课程,Bachelor of Science with Honours in Biomedical Sciences and Biotechnology (Full-time),生物医学与生物科技荣誉理学士（四年全日制课程）,Sciences,理学科,4
2023/24,Hong Kong Metropolitan University,香港都会大学,Degree,学士学位,Bachelor's Degree,学士学位课程,Bachelor of Science with Honours in Computer Science (Full-time),计算机科学荣誉理学士（四年全日制课程）,Computer Science and Information Technology,计算机科学及信息科技,4
2023/24,Hong Kong Metropolitan University,香港都会大学,Degree,学士学位,Bachelor's Degree,学士学位课程,Bachelor of Science with Honours in Cyber and Computer Security (Full-time),网络及计算机安全荣誉理学士（四年全日制课程）,Computer Science and Information Technology,计算机科学及信息科技,4
2023/24,Hong Kong Metropolitan University,香港都会大学,Degree,学士学位,Bachelor's Degree,学士学位课程,Bachelor of Science with Honours in Data Science and Artificial Intelligence (Full-time),数据科学及人工智能荣誉理学士 (四年全日制课程),Sciences,理学科,4
2023/24,Hong Kong Metropolitan University,香港都会大学,Degree,学士学位,Bachelor's Degree,学士学位课程,Bachelor of Science with Honours in Environmental Science and Green Management (Full-time),环境科学与绿色管理荣誉理学士（四年全日制课程）,Sciences,理学科,4
2023/24,Hong Kong Metropolitan University,香港都会大学,Degree,学士学位,Bachelor's Degree,学士学位课程,Bachelor of Science with Honours in Food Testing Science (Full-time),食品测试科学荣誉理学士（四年全日制课程）,Sciences,理学科,4
2023/24,Hong Kong Metropolitan University,香港都会大学,Degree,学士学位,Bachelor's Degree,学士学位课程,Bachelor of Science with Honours in Medical Laboratory Science (Full-time),医疗化验科学荣誉理学士（四年全日制课程）,Engineering and Technology,工程及科技,4
2023/24,Hong Kong Metropolitan University,香港都会大学,Degree,学士学位,Bachelor's Degree,学士学位课程,Bachelor of Science with Honours in Physiotherapy (Full-time),物理治疗学荣誉理学士（四年全日制课程）,"Medicine, Dentistry and Health Sciences",医科、牙医学及健康科学,4
2023/24,Hong Kong Metropolitan University,香港都会大学,Degree,学士学位,Bachelor's Degree,学士学位课程,Bachelor of Science with Honours in Science (STEM) (Full-time),科学(STEM)荣誉理学士（四年全日制课程）,Sciences,理学科,4
2023/24,Hong Kong Metropolitan University,香港都会大学,Degree,学士学位,Bachelor's Degree,学士学位课程,Bachelor of Social Sciences with Honours (Full-time),社会科学荣誉学士（四年全日制课程）,Social Sciences,社会科学,4
2023/24,Hong Kong Metropolitan University,香港都会大学,Degree,学士学位,Bachelor's Degree,学士学位课程,Bachelor of Social Sciences with Honours in Psychology (Full-time),心理学荣誉社会科学学士（四年全日制课程）,Social Sciences,社会科学,4
2023/24,Hong Kong Metropolitan University,香港都会大学,Sub-degree,副学位,Higher Diploma,高级文凭课程,Higher Diploma in Nursing Studies (General Health Care) (Full-time),普通科护理学高级文凭(全日制),"Medicine, Dentistry and Health Sciences",医科、牙医学及健康科学,2
2023/24,Hong Kong Metropolitan University,香港都会大学,Sub-degree,副学位,Higher Diploma,高级文凭课程,Higher Diploma in Nursing Studies (Mental Health Care) (Full-time),精神科护理学高级文凭(全日制),"Medicine, Dentistry and Health Sciences",医科、牙医学及健康科学,2
2023/24,Hong Kong Metropolitan University,香港都会大学,Top-up Degree,衔接学士学位,Bachelor's Degree,学士学位课程,"Bachelor of Applied Science with Honours in Integrated Testing, Inspection and Certification (Full-time) - Year 2 Entry",综合检测和认证荣誉应用理学士（全日制）- 第二年,Engineering and Technology,工程及科技,3
2023/24,Hong Kong Metropolitan University,香港都会大学,Top-up Degree,衔接学士学位,Bachelor's Degree,学士学位课程,Bachelor of Arts with Honours in Chinese (Full-time) - Year 2 Entry,中文荣誉文学士（全日制）- 第二年,Languages and Related Studies,语言及相关科目,3
2023/24,Hong Kong Metropolitan University,香港都会大学,Top-up Degree,衔接学士学位,Bachelor's Degree,学士学位课程,Bachelor of Arts with Honours in Chinese (Full-time) - Year 3 Entry,中文荣誉文学士（全日制）- 第三年,Languages and Related Studies,语言及相关科目,2
2023/24,Hong Kong Metropolitan University,香港都会大学,Top-up Degree,衔接学士学位,Bachelor's Degree,学士学位课程,Bachelor of Arts with Honours in Computing and Interactive Entertainment (Full-time) - Year 3 Entry,计算机及互动娱乐荣誉文学士（全日制）- 第三年,"Arts, Design and Performing Arts",艺术、设计、表演艺术,2
2023/24,Hong Kong Metropolitan University,香港都会大学,Top-up Degree,衔接学士学位,Bachelor's Degree,学士学位课程,Bachelor of Arts with Honours in Creative Advertising and Media Design (Full-time) - Year 2 Entry,创意广告及媒体设计荣誉文学士（全日制）- 第二年,"Arts, Design and Performing Arts",艺术、设计、表演艺术,3
2023/24,Hong Kong Metropolitan University,香港都会大学,Top-up Degree,衔接学士学位,Bachelor's Degree,学士学位课程,Bachelor of Arts with Honours in Creative Advertising and Media Design (Full-time) - Year 3 Entry,创意广告及媒体设计荣誉文学士（全日制）- 第三年,"Arts, Design and Performing Arts",艺术、设计、表演艺术,2
2023/24,Hong Kong Metropolitan University,香港都会大学,Top-up Degree,衔接学士学位,Bachelor's Degree,学士学位课程,Bachelor of Arts with Honours in Creative Writing and Film Arts (Full-time) - Year 2 Entry,创意写作与电影艺术荣誉文学士（全日制）- 第二年,"Arts, Design and Performing Arts",艺术、设计、表演艺术,3
2023/24,Hong Kong Metropolitan University,香港都会大学,Top-up Degree,衔接学士学位,Bachelor's Degree,学士学位课程,Bachelor of Arts with Honours in Creative Writing and Film Arts (Full-time) - Year 3 Entry,创意写作与电影艺术荣誉文学士（全日制）- 第三年,"Arts, Design and Performing Arts",艺术、设计、表演艺术,2
2023/24,Hong Kong Metropolitan University,香港都会大学,Top-up Degree,衔接学士学位,Bachelor's Degree,学士学位课程,Bachelor of Arts with Honours in English Language and Culture (Full-time) - Year 2 Entry,英语及文化荣誉文学士（全日制）- 第二年,Languages and Related Studies,语言及相关科目,3
2023/24,Hong Kong Metropolitan University,香港都会大学,Top-up Degree,衔接学士学位,Bachelor's Degree,学士学位课程,Bachelor of Arts with Honours in English Language and Culture (Full-time) - Year 3 Entry,英语及文化荣誉文学士（全日制）- 第三年,Languages and Related Studies,语言及相关科目,2
2023/24,Hong Kong Metropolitan University,香港都会大学,Top-up Degree,衔接学士学位,Bachelor's Degree,学士学位课程,Bachelor of Arts with Honours in Language Studies and Translation (Full-time) - Year 2 Entry,语言研究与翻译荣誉文学士（全日制）- 第二年,Languages and Related Studies,语言及相关科目,3
2023/24,Hong Kong Metropolitan University,香港都会大学,Top-up Degree,衔接学士学位,Bachelor's Degree,学士学位课程,Bachelor of Arts with Honours in Language Studies and Translation (Full-time) - Year 3 Entry,语言研究与翻译荣誉文学士（全日制）- 第三年,Languages and Related Studies,语言及相关科目,2
2023/24,Hong Kong Metropolitan University,香港都会大学,Top-up Degree,衔接学士学位,Bachelor's Degree,学士学位课程,Bachelor of Business Administration with Honours in Accounting and Taxation (Full-time) - Year 2 Entry,会计及税务学荣誉工商管理学士（全日制）- 第二年,Business and Management,商业及管理,3
2023/24,Hong Kong Metropolitan University,香港都会大学,Top-up Degree,衔接学士学位,Bachelor's Degree,学士学位课程,Bachelor of Business Administration with Honours in Accounting and Taxation (Full-time) - Year 3 Entry,会计及税务学荣誉工商管理学士（全日制）- 第三年,Business and Management,商业及管理,2
2023/24,Hong Kong Metropolitan University,香港都会大学,Top-up Degree,衔接学士学位,Bachelor's Degree,学士学位课程,Bachelor of Business Administration with Honours in Aviation Services Management (Full-time) - Year 2 Entry,航空服务管理荣誉工商管理学士（全日制）- 第二年,Business and Management,商业及管理,3
