Row,Description,Type,AY2017/18,AY2018/19,AY2019/20,AY2020/21,AY2021/22,AY2022/23
1,学前教育 (千人),Number,183.0,176.2,176.3,166.8,158.0,145.7
2,小学 (千人),Number,365.7,376.3,377.2,368.3,353.0,337.5
3,中学 (千人),Number,349.1,341.4,342.6,343.5,339.0,334.7
4,专上教育 (千人),Number,320.4,313.8,312.5,305.2,305.1,306.0
