日期,最新值,涨跌幅,近3月涨跌幅,近6月涨跌幅,近1年涨跌幅,近2年涨跌幅,近3年涨跌幅
2006-07-26,2313,0.65274151,21.67280379,45.83858764,,,
2006-07-27,2318,0.21616948,21.67979003,46.15384615,,,
2006-07-31,2332,0.60396894,22.41469816,47.03656999,,,
2006-08-02,2364,1.37221269,24.09448819,63.93897365,,,
2006-08-03,2390,1.0998308,25.98840274,65.74202497,,,
2006-08-04,2416,1.08786611,27.49340369,67.54507628,,,
2006-08-07,2440,0.99337748,28.75989446,67.58241758,,,
2006-08-09,2491,2.09016393,30.14629049,68.08367072,,,
2006-08-10,2515,0.96346849,29.97416021,69.70310391,,,
2006-08-11,2537,0.87475149,30.57128152,71.18758435,,,
2006-08-14,2550,0.51241624,31.24034997,68.9860835,,,
2006-08-16,2619,2.70588235,33.14692425,70.73011734,,,
2006-08-17,2636,0.64910271,34.01118454,71.83833116,,,
2006-08-18,2646,0.37936267,33.50151362,72.49022164,,,
2006-08-21,2646,0.0,33.50151362,68.96551724,,,
2006-08-22,2642,-0.15117158,32.16608304,66.47763075,,,
2006-08-23,2640,-0.07570023,31.47410359,66.5615142,,,
2006-08-24,2638,-0.07575758,31.37450199,66.43533123,,,
2006-08-25,2644,0.22744503,30.8263236,66.81388013,,,
2006-08-29,2653,0.34039334,31.20672601,66.7504714,,,
2006-08-30,2663,0.37693178,32.15880893,67.37900691,,,
2006-08-31,2673,0.37551633,32.65508685,68.00754243,,,
2006-09-01,2684,0.41152263,33.46593734,67.54057428,,,
2006-09-04,2701,0.63338301,34.31128792,66.01106331,,,
2006-09-05,2755,1.99925953,36.92842942,69.33005532,,,
2006-09-06,2758,0.10889292,36.87344913,68.99509804,,,
2006-09-07,2775,0.61638869,37.71712159,70.03676471,,,
2006-09-08,2779,0.14414414,36.35917566,68.22033898,,,
2006-09-11,2802,0.82763584,36.68292683,66.09365738,,,
2006-09-12,2831,1.03497502,37.49392909,67.81268524,,,
2006-09-13,2863,1.13034264,38.24239498,67.91788856,,,
2006-09-14,2890,0.94306671,39.54611299,69.50146628,,,
2006-09-15,2908,0.62283737,38.80668258,67.12643678,,,
2006-09-18,2921,0.44704264,38.89681408,67.29667812,,,
2006-09-19,2941,0.68469702,39.38388626,68.44215349,,,
2006-09-20,2957,0.54403264,39.21845574,69.06803888,,,
2006-09-21,2955,-0.06763612,39.12429379,68.95368782,,,
2006-09-22,2946,-0.30456853,36.6419295,67.95895097,,,
2006-09-25,2928,-0.61099796,35.80705009,66.74259681,,,
2006-09-26,2907,-0.71721311,33.16536876,65.54669704,,,
2006-09-27,2889,-0.61919505,31.7373461,63.96140749,,,
2006-09-28,2861,-0.96919349,30.46055632,62.3723042,,,
2006-10-02,2848,-0.45438658,27.88504715,61.54282473,,,
2006-10-03,2846,-0.07022472,27.22396066,60.97285068,,,
2006-10-04,2849,0.1054111,27.35806884,61.14253394,,,
2006-10-05,2857,0.28080028,26.86500888,60.59584036,,,
2006-10-06,2868,0.38501925,27.29693742,60.58230683,,,
2006-10-09,2873,0.17433752,27.74566474,60.86226204,,,
2006-10-10,2887,0.48729551,28.31111111,59.85603544,,,
2006-10-11,2898,0.38101836,28.8,60.46511628,,,
2006-10-12,2918,0.69013112,30.55928412,59.62800875,,,
2006-10-13,2932,0.47978067,31.24440466,59.17480999,,,
2006-10-16,2941,0.30695771,31.52951699,59.66340934,,,
2006-10-17,2947,0.20401224,31.26948775,59.98914224,,,
2006-10-18,2944,-0.10179844,31.13585746,59.47995666,,,
2006-10-19,2929,-0.50951087,29.71656333,57.64262648,,,
2006-10-20,2917,-0.40969614,28.21978022,55.82264957,,,
2006-10-23,2910,-0.23997257,27.18531469,54.37665782,,,
2006-10-24,2899,-0.37800687,26.15317668,53.30512956,,,
2006-10-25,2885,-0.48292515,25.54395126,52.08223511,,,
2006-10-26,2862,-0.79722704,23.73540856,50.55234087,,,
