商品,日期,今值,预测值,前值
美国新屋开工总数年化报告,2012-11-20,89.4,84.0,86.3
美国新屋开工总数年化报告,2012-12-19,86.1,87.3,88.8
美国新屋开工总数年化报告,2013-01-17,95.4,89.0,85.1
美国新屋开工总数年化报告,2013-02-20,89.0,92.5,97.3
美国新屋开工总数年化报告,2013-03-19,91.7,91.5,91.0
美国新屋开工总数年化报告,2013-04-16,103.6,93.0,96.8
美国新屋开工总数年化报告,2013-05-16,85.3,97.3,102.1
美国新屋开工总数年化报告,2013-06-18,91.4,95.0,85.6
美国新屋开工总数年化报告,2013-07-17,83.6,95.9,92.8
美国新屋开工总数年化报告,2013-08-16,89.6,90.0,84.6
美国新屋开工总数年化报告,2013-09-18,89.1,91.7,88.3
美国新屋开工总数年化报告,2013-12-18,109.1,95.0,89.0
美国新屋开工总数年化报告,2014-01-17,99.9,99.0,110.7
美国新屋开工总数年化报告,2014-02-19,88.0,95.0,104.8
美国新屋开工总数年化报告,2014-03-18,90.7,91.0,90.9
美国新屋开工总数年化报告,2014-04-16,94.6,97.3,92.0
美国新屋开工总数年化报告,2014-05-16,107.2,98.0,94.7
美国新屋开工总数年化报告,2014-06-17,100.1,103.4,107.1
美国新屋开工总数年化报告,2014-07-17,89.3,101.8,98.5
美国新屋开工总数年化报告,2014-08-19,109.3,96.9,94.5
美国新屋开工总数年化报告,2014-09-18,95.6,104.0,111.7
美国新屋开工总数年化报告,2014-10-17,101.7,100.4,95.7
美国新屋开工总数年化报告,2014-11-19,100.9,102.5,103.8
美国新屋开工总数年化报告,2014-12-16,102.8,103.0,104.5
美国新屋开工总数年化报告,2015-01-21,108.9,104.0,104.3
美国新屋开工总数年化报告,2015-02-18,106.5,107.0,108.7
美国新屋开工总数年化报告,2015-03-17,89.7,104.9,108.1
美国新屋开工总数年化报告,2015-04-16,92.6,104.0,90.8
美国新屋开工总数年化报告,2015-05-19,113.5,101.9,94.4
美国新屋开工总数年化报告,2015-06-16,103.6,110.0,116.5
美国新屋开工总数年化报告,2015-07-17,117.4,111.0,106.9
美国新屋开工总数年化报告,2015-08-18,120.6,119.0,120.4
美国新屋开工总数年化报告,2015-09-17,112.6,117.0,116.1
美国新屋开工总数年化报告,2015-10-20,120.6,114.0,113.2
美国新屋开工总数年化报告,2015-11-18,106.0,116.0,119.1
美国新屋开工总数年化报告,2015-12-16,117.3,113.5,106.2
美国新屋开工总数年化报告,2016-01-20,114.9,120.0,117.9
美国新屋开工总数年化报告,2016-02-17,109.9,117.0,114.3
美国新屋开工总数年化报告,2016-03-16,117.8,115.0,112.0
美国新屋开工总数年化报告,2016-04-19,108.9,117.0,119.4
美国新屋开工总数年化报告,2016-05-17,117.2,112.7,109.9
美国新屋开工总数年化报告,2016-06-17,116.4,115.0,116.7
美国新屋开工总数年化报告,2016-07-19,118.9,117.0,113.5
美国新屋开工总数年化报告,2016-08-16,121.1,118.0,118.6
美国新屋开工总数年化报告,2016-09-20,114.2,119.0,121.2
美国新屋开工总数年化报告,2016-10-19,104.7,117.5,115.0
美国新屋开工总数年化报告,2016-11-17,132.3,115.6,105.4
美国新屋开工总数年化报告,2016-12-16,109.0,123.0,134.0
美国新屋开工总数年化报告,2017-01-19,122.6,120.0,110.2
美国新屋开工总数年化报告,2017-02-16,124.6,122.2,127.9
美国新屋开工总数年化报告,2017-03-16,128.8,126.0,125.1
美国新屋开工总数年化报告,2017-04-18,121.5,125.0,130.3
美国新屋开工总数年化报告,2017-05-16,117.2,126.0,120.3
美国新屋开工总数年化报告,2017-06-16,109.2,121.5,115.6
美国新屋开工总数年化报告,2017-07-19,121.5,115.5,112.2
美国新屋开工总数年化报告,2017-08-16,115.5,122.0,121.3
美国新屋开工总数年化报告,2017-09-19,118.0,117.5,119.0
美国新屋开工总数年化报告,2017-10-18,112.7,118.0,118.3
美国新屋开工总数年化报告,2017-11-17,129.0,118.5,113.5
美国新屋开工总数年化报告,2017-12-19,129.7,125.0,125.6
美国新屋开工总数年化报告,2018-01-18,119.2,127.5,129.9
美国新屋开工总数年化报告,2018-02-16,132.6,123.4,120.9
美国新屋开工总数年化报告,2018-03-16,123.6,129.0,132.9
美国新屋开工总数年化报告,2018-04-17,131.9,127.0,129.5
美国新屋开工总数年化报告,2018-05-16,128.7,131.0,133.6
美国新屋开工总数年化报告,2018-06-19,135.0,131.0,128.6
美国新屋开工总数年化报告,2018-07-18,117.3,132.0,133.7
美国新屋开工总数年化报告,2018-08-16,116.8,127.0,115.8
美国新屋开工总数年化报告,2018-09-19,128.2,123.5,117.4
美国新屋开工总数年化报告,2018-10-17,120.1,122.0,126.8
美国新屋开工总数年化报告,2018-11-20,122.8,122.5,121.0
美国新屋开工总数年化报告,2018-12-18,125.6,122.5,121.7
美国新屋开工总数年化报告,2019-02-26,107.8,125.0,121.4
美国新屋开工总数年化报告,2019-03-08,123.0,119.7,103.7
美国新屋开工总数年化报告,2019-03-26,116.2,121.3,127.3
美国新屋开工总数年化报告,2019-04-19,113.9,123.0,114.2
美国新屋开工总数年化报告,2019-05-16,123.5,120.5,116.8
美国新屋开工总数年化报告,2019-06-18,126.9,123.9,128.1
美国新屋开工总数年化报告,2019-07-17,125.3,126.1,126.5
美国新屋开工总数年化报告,2019-08-16,119.1,125.7,124.1
美国新屋开工总数年化报告,2019-09-18,136.4,125.0,121.5
美国新屋开工总数年化报告,2019-10-17,125.6,132.0,138.6
美国新屋开工总数年化报告,2019-11-19,131.4,132.0,126.6
美国新屋开工总数年化报告,2019-12-17,136.5,134.5,132.3
美国新屋开工总数年化报告,2020-01-17,160.8,137.5,137.5
美国新屋开工总数年化报告,2020-02-19,156.7,142.5,162.6
美国新屋开工总数年化报告,2020-03-18,159.9,150.0,162.4
美国新屋开工总数年化报告,2020-04-16,121.6,130.0,156.4
美国新屋开工总数年化报告,2020-05-19,89.1,92.7,127.6
美国新屋开工总数年化报告,2020-06-17,97.4,109.5,93.4
美国新屋开工总数年化报告,2020-07-17,118.6,116.9,101.1
美国新屋开工总数年化报告,2020-08-18,149.6,124.0,122.0
美国新屋开工总数年化报告,2020-09-17,141.6,147.8,149.2
美国新屋开工总数年化报告,2020-10-20,141.5,145.7,138.8
美国新屋开工总数年化报告,2020-11-18,153.0,146.0,145.9
美国新屋开工总数年化报告,2020-12-17,154.7,153.0,152.8
美国新屋开工总数年化报告,2021-01-21,166.9,156.0,157.8
美国新屋开工总数年化报告,2021-02-18,158.0,165.8,168.0
美国新屋开工总数年化报告,2021-03-17,142.1,156.0,158.4
美国新屋开工总数年化报告,2021-04-16,173.9,161.3,145.7
美国新屋开工总数年化报告,2021-05-18,156.9,171.0,173.3
美国新屋开工总数年化报告,2021-06-16,157.2,163.0,151.7
美国新屋开工总数年化报告,2021-07-20,164.3,159.0,154.6
美国新屋开工总数年化报告,2021-08-18,153.4,160.0,165.0
美国新屋开工总数年化报告,2021-09-21,161.5,155.5,155.4
美国新屋开工总数年化报告,2021-10-19,155.5,162.0,158.0
美国新屋开工总数年化报告,2021-11-17,152.0,157.6,153.0
美国新屋开工总数年化报告,2021-12-16,167.9,156.8,150.2
美国新屋开工总数年化报告,2022-01-19,170.2,165.0,167.8
美国新屋开工总数年化报告,2022-02-17,163.8,170.0,170.8
美国新屋开工总数年化报告,2022-03-17,176.9,169.0,165.7
美国新屋开工总数年化报告,2022-04-19,179.3,174.5,178.8
美国新屋开工总数年化报告,2022-05-18,172.4,176.5,172.8
美国新屋开工总数年化报告,2022-06-16,154.9,170.1,181.0
美国新屋开工总数年化报告,2022-07-19,155.9,158.0,159.1
美国新屋开工总数年化报告,2022-08-16,144.6,154.0,159.9
美国新屋开工总数年化报告,2022-09-20,157.5,144.5,140.4
美国新屋开工总数年化报告,2022-10-19,143.9,147.5,156.6
美国新屋开工总数年化报告,2022-11-17,142.5,141.0,148.8
美国新屋开工总数年化报告,2022-12-20,142.7,140.0,143.4
美国新屋开工总数年化报告,2023-01-19,138.2,135.9,140.1
美国新屋开工总数年化报告,2023-02-16,130.9,136.0,137.1
美国新屋开工总数年化报告,2023-03-16,145.0,131.0,132.1
美国新屋开工总数年化报告,2023-04-18,142.0,140.0,143.2
美国新屋开工总数年化报告,2023-05-17,140.1,140.0,137.1
美国新屋开工总数年化报告,2023-06-20,163.1,140.0,134.0
美国新屋开工总数年化报告,2023-07-19,143.4,148.0,155.9
美国新屋开工总数年化报告,2023-08-16,145.2,144.8,139.8
美国新屋开工总数年化报告,2023-09-19,128.3,144.0,144.7
美国新屋开工总数年化报告,2023-10-18,135.8,138.0,126.9
美国新屋开工总数年化报告,2023-11-17,137.2,134.5,134.6
美国新屋开工总数年化报告,2023-12-19,156.0,136.0,135.9
美国新屋开工总数年化报告,2024-01-18,146.0,142.6,152.5
美国新屋开工总数年化报告,2024-02-16,133.1,145.0,156.2
美国新屋开工总数年化报告,2024-03-19,152.1,143.0,137.4
美国新屋开工总数年化报告,2024-04-16,132.1,148.0,154.9
