序号,代码,名称,最新价,涨跌额,涨跌幅,今开,最高,最低,昨收,成交量,成交额
67,883,中国海洋石油,18.62,0.22,1.2,18.54,19.1,18.52,18.4,111513243,2098009424.0
68,806,惠理集团,1.7,0.02,1.19,1.66,1.72,1.66,1.68,1753000,2962640.0
69,811,新华文轩,8.55,0.1,1.18,8.47,8.55,8.4,8.45,293000,2480730.0
70,826,天工国际,1.75,0.02,1.16,1.72,1.76,1.68,1.73,4242626,7295101.0
71,3808,中国重汽,22.25,0.25,1.14,22.0,22.45,21.8,22.0,1730997,38421483.0
72,142,第一太平,3.62,0.04,1.12,3.7,3.75,3.58,3.58,11255888,41322458.0
73,1171,兖矿能源,18.32,0.2,1.1,18.26,18.44,18.04,18.12,16504188,302228432.0
74,1310,香港宽频,2.86,0.03,1.06,2.83,2.88,2.8,2.83,1602000,4566333.0
75,123,越秀地产,3.86,0.04,1.05,3.82,3.88,3.74,3.82,6915067,26463434.0
76,512,远大医药,3.97,0.04,1.02,3.91,3.97,3.86,3.93,2706500,10609430.0
77,2039,中集集团,7.08,0.07,1.0,6.95,7.3,6.95,7.01,4466618,31942902.0
78,2883,中海油田服务,9.19,0.09,0.99,9.0,9.38,9.0,9.1,11180300,103514439.0
79,3868,信义能源,1.04,0.01,0.97,1.03,1.05,1.03,1.03,11315001,11773211.0
80,836,华润电力,19.7,0.18,0.92,19.42,19.76,19.18,19.52,16318915,320262368.0
81,1176,珠光控股,0.112,0.001,0.9,0.112,0.122,0.106,0.111,322234000,37212406.0
82,1963,重庆银行,4.6,0.04,0.88,4.56,4.6,4.55,4.56,1114000,5092961.0
83,2378,保诚,69.6,0.6,0.87,67.25,70.1,67.25,69.0,119700,8256842.0
84,6682,第四范式,47.5,0.4,0.85,46.55,50.25,42.6,47.1,502700,22913220.0
85,548,深圳高速公路股份,7.19,0.06,0.84,7.12,7.23,7.1,7.13,894000,6422320.0
86,762,中国联通,6.0,0.05,0.84,5.92,6.03,5.87,5.95,36507791,218687957.0
87,6655,华新水泥,7.46,0.06,0.81,7.37,7.47,7.26,7.4,701300,5178590.0
88,1668,华南城,0.13,0.001,0.78,0.129,0.13,0.125,0.129,8392000,1066782.0
89,1308,海丰国际,15.7,0.12,0.77,15.64,15.7,15.22,15.58,4492557,69785889.0
90,874,白云山,20.35,0.15,0.74,20.15,20.55,20.05,20.2,1462219,29765267.0
91,1898,中煤能源,8.41,0.06,0.72,8.43,8.49,8.28,8.35,16954876,142911895.0
92,489,东风集团股份,2.82,0.02,0.71,2.8,2.82,2.75,2.8,17699949,49337591.0
93,3993,洛阳钼业,7.59,0.05,0.66,7.68,7.76,7.44,7.54,43533340,330660192.0
94,1618,中国中冶,1.54,0.01,0.65,1.53,1.57,1.52,1.53,16956077,26244586.0
95,9979,绿城管理控股,6.25,0.04,0.64,6.16,6.3,6.16,6.21,1799000,11267770.0
96,2005,石四药集团,4.71,0.03,0.64,4.61,4.73,4.53,4.68,3520000,16397630.0
97,3618,重庆农村商业银行,3.35,0.02,0.6,3.35,3.35,3.33,3.33,4772000,15939600.0
98,2727,上海电气,1.71,0.01,0.59,1.71,1.72,1.68,1.7,5848000,9949159.0
99,1929,周大福,10.4,0.06,0.58,10.3,10.46,10.22,10.34,7538210,78164365.0
100,525,广深铁路股份,1.97,0.01,0.51,1.97,1.98,1.92,1.96,7356623,14378149.0
101,152,深圳国际,5.93,0.03,0.51,5.9,5.93,5.77,5.9,11130500,65186277.0
102,1099,国药控股,19.88,0.1,0.51,19.62,20.05,19.06,19.78,5116540,100994913.0
103,1821,ESR,8.0,0.04,0.5,8.0,8.0,7.8,7.96,6069505,48147365.0
104,1800,中国交通建设,4.17,0.02,0.48,4.16,4.2,4.12,4.15,7600000,31592470.0
105,3866,青岛银行,2.1,0.01,0.48,2.09,2.1,2.08,2.09,931000,1943470.0
106,6,电能实业,43.3,0.2,0.46,43.0,43.35,42.55,43.1,2152051,92420594.0
107,1088,中国神华,32.85,0.15,0.46,32.35,33.2,32.25,32.7,14649112,481810352.0
