股票代码,股票简称,关注,最新价
SZ300315,掌趣科技,5900,4.85
SZ300595,欧普康视,5861,17.27
SZ300474,景嘉微,5838,66.7
SZ002281,光迅科技,5793,35.2
SZ001300,三柏硕,5755,11.74
SZ300803,指南针,5698,41.77
SH600104,上汽集团,5675,14.86
SZ002527,新时达,5610,7.48
SZ300896,爱美客,5591,288.03
SH601688,华泰证券,5585,13.28
SZ300144,宋城演艺,5538,10.31
SZ300620,光库科技,5537,42.65
SH600100,同方股份,5535,5.96
SH601155,新城控股,5515,8.19
SZ002896,中大力德,5455,32.42
SH601668,中国建筑,5441,5.25
SZ300759,康龙化成,5416,18.19
SH688180,君实生物-U,5380,24.74
SZ002902,铭普光磁,5335,23.76
SH600280,中央商场,5327,2.57
SH601788,光大证券,5299,15.68
SZ002812,恩捷股份,5292,37.89
SH603778,国晟科技,5290,3.19
SZ002309,ST中利,5281,1.45
SH601900,南方传媒,5252,14.26
SZ300570,太辰光,5210,41.62
SH600522,中天科技,5171,12.8
SZ002222,福晶科技,5169,26.16
SZ002459,晶澳科技,5154,13.9
SZ300573,兴齐眼药,5151,243.66
SZ002049,紫光国微,5148,60.6
SZ000752,*ST西发,5143,5.79
SH600257,大湖股份,5129,6.13
SZ000938,紫光股份,5095,19.71
SZ300630,普利制药,5086,14.52
SH600050,中国联通,5082,4.72
SZ002553,南方精工,5077,10.54
SZ300251,光线传媒,5062,8.9
SZ000796,*ST凯撒,5058,3.12
SZ002821,凯莱英,5041,77.01
SH600329,达仁堂,5001,33.48
SZ002294,信立泰,4983,29.97
SZ002607,中公教育,4981,2.46
SZ300498,温氏股份,4958,19.22
SH603501,韦尔股份,4956,93.07
SH601615,明阳智能,4953,8.74
SZ300122,智飞生物,4941,34.03
SZ300503,昊志机电,4939,13.22
SZ300529,健帆生物,4889,22.94
SZ002422,科伦药业,4885,29.97
SZ300476,胜宏科技,4881,29.55
BJ872808,曙光数创,4860,41.35
SZ000895,双汇发展,4830,27.34
SZ002428,云南锗业,4819,9.96
SH603087,甘李药业,4805,48.23
SZ300210,森远股份,4803,9.56
SZ002385,大北农,4797,4.52
SZ002463,沪电股份,4778,31.12
SZ002682,龙洲股份,4734,3.95
SH600600,青岛啤酒,4679,78.51
SZ301368,丰立智能,4666,45.44
