股票代码,股票简称,关注,最新价
SZ301091,深城交,1852,44.68
SZ000925,众合科技,1851,6.46
SZ002015,协鑫能科,1851,9.42
SZ002021,*ST中捷,1849,1.86
SZ000550,江铃汽车,1845,26.56
SH600641,万业企业,1844,11.81
SZ300172,中电环保,1843,5.53
SZ002240,盛新锂能,1842,17.08
SH600422,昆药集团,1836,21.55
SZ002888,惠威科技,1836,13.36
SZ000975,银泰黄金,1834,18.37
SZ000678,襄阳轴承,1834,4.74
SH601766,中国中车,1834,7.26
SZ300438,鹏辉能源,1833,21.78
SZ300253,卫宁健康,1832,6.8
SZ301505,苏州规划,1831,31.88
SH688048,长光华芯,1830,36.25
SH600177,雅戈尔,1820,7.48
SZ002708,光洋股份,1817,8.44
SZ301191,菲菱科思,1808,75.85
SH601188,龙江交通,1805,3.37
SZ300926,博俊科技,1804,30.02
SH600118,中国卫星,1803,24.73
SZ000995,皇台酒业,1800,10.43
SZ002599,盛通股份,1799,5.57
SH688259,创耀科技,1797,45.27
SZ300070,碧水源,1792,4.7
SZ002648,卫星化学,1791,18.11
SH601061,中信金属,1788,8.18
SZ300072,海新能科,1787,2.17
SZ300773,拉卡拉,1787,14.4
SH603660,苏州科达,1786,6.5
SZ000948,南天信息,1784,15.07
SZ300742,*ST越博,1782,1.64
SH601022,宁波远洋,1781,9.1
SZ000860,顺鑫农业,1775,16.57
SZ002889,东方嘉盛,1775,20.28
SZ300788,中信出版,1771,29.5
SH600741,华域汽车,1770,17.71
SZ002926,华西证券,1770,7.01
SH603929,亚翔集成,1769,25.78
SZ002299,圣农发展,1767,15.65
SH600571,信雅达,1766,11.9
SZ002493,荣盛石化,1759,10.85
SZ300491,通合科技,1759,18.23
SH688008,澜起科技,1758,47.05
SZ300842,帝科股份,1754,45.82
SZ300429,强力新材,1754,9.26
SZ300098,高新兴,1752,3.23
SH603345,安井食品,1750,84.19
SH603667,五洲新春,1749,17.22
SZ000426,兴业银锡,1748,12.94
SZ002273,水晶光电,1746,12.88
SZ300244,迪安诊断,1745,14.17
SZ301381,赛维时代,1745,24.97
SZ002406,远东传动,1744,5.6
SH605499,东鹏饮料,1743,196.38
SZ300609,汇纳科技,1736,18.22
SZ300052,中青宝,1732,13.09
SH600335,国机汽车,1731,6.59
SZ002828,贝肯能源,1725,10.83
SH603393,新天然气,1724,32.78
SZ002095,生意宝,1718,13.9
SH688561,奇安信-U,1712,29.48
SH603131,上海沪工,1710,12.86
SH601009,南京银行,1707,9.31
SH600906,财达证券,1707,6.74
SH600860,京城股份,1705,9.48
SZ300672,国科微,1702,46.16
SH689009,九号公司-WD,1698,31.39
SZ002681,奋达科技,1696,4.26
SZ000425,徐工机械,1696,6.97
SH600176,中国巨石,1695,12.08
SZ000813,德展健康,1689,2.73
SH688160,步科股份,1689,48.08
SZ000716,黑芝麻,1688,4.48
SZ002369,卓翼科技,1688,3.98
SH688418,震有科技,1687,16.8
SZ300044,赛为智能,1686,5.24
SZ300693,盛弘股份,1684,30.76
SZ300541,先进数通,1681,13.62
SZ000600,建投能源,1678,6.79
SZ300007,汉威科技,1678,14.46
SZ002120,韵达股份,1675,7.35
SZ301262,海看股份,1674,25.2
SZ002712,思美传媒,1672,4.19
SZ300633,开立医疗,1671,39.24
SZ300433,蓝思科技,1670,13.33
SZ002410,广联达,1668,10.31
SZ000422,湖北宜化,1665,9.6
SZ301013,利和兴,1664,11.71
SZ300699,光威复材,1661,28.29
SZ301052,果麦文化,1659,27.21
SZ002845,同兴达,1656,13.26
SZ300346,南大光电,1656,23.18
SZ002508,老板电器,1653,23.54
SH601319,中国人保,1648,5.29
SZ300133,华策影视,1647,7.45
SH603198,迎驾贡酒,1646,64.75
SZ300880,迦南智能,1644,15.01
SZ300510,金冠股份,1644,4.48
SZ300770,新媒股份,1644,37.11
SZ000998,隆平高科,1641,12.11
SH688787,海天瑞声,1639,60.32
SH605069,正和生态,1639,6.24
SZ001282,三联锻造,1638,29.61
SZ002511,中顺洁柔,1634,8.47
SH601377,兴业证券,1634,5.46
SZ300777,中简科技,1634,24.68
SH688356,键凯科技,1633,78.2
SZ002217,合力泰,1632,1.3
SZ002625,光启技术,1631,18.47
SZ002194,武汉凡谷,1627,8.93
SH688472,阿特斯,1627,11.67
SZ002557,洽洽食品,1626,34.76
SH603212,赛伍技术,1626,11.36
SZ002284,亚太股份,1620,7.11
SZ300319,麦捷科技,1619,7.86
SH688498,源杰科技,1618,142.59
SH688122,西部超导,1616,38.2
SH603719,良品铺子,1609,14.38
SZ000848,承德露露,1609,9.17
SZ301371,敷尔佳,1605,33.12
SZ002547,春兴精工,1604,3.55
SH603291,联合水务,1603,14.37
SZ301141,中科磁业,1601,41.69
SZ000786,北新建材,1601,29.04
SH601096,宏盛华源,1599,5.21
SZ000697,*ST炼石,1599,7.59
SZ001376,百通能源,1598,19.66
SZ300608,思特奇,1597,11.2
SH603690,至纯科技,1596,24.3
SH600267,海正药业,1594,7.38
SZ300232,洲明科技,1593,5.37
SZ000010,美丽生态,1592,1.9
SH600363,联创光电,1589,30.05
SZ300383,光环新网,1584,8.89
SZ002334,英威腾,1583,6.76
SH603211,晋拓股份,1580,14.74
SZ000723,美锦能源,1576,6.05
SZ000066,中国长城,1576,9.18
SZ002568,百润股份,1576,19.91
SZ300115,长盈精密,1573,10.01
SZ301307,美利信,1572,23.72
SZ002008,大族激光,1572,18.91
SH600380,健康元,1572,11.77
SZ002916,深南电路,1571,87.51
SZ300053,航宇微,1570,10.34
SZ002959,小熊电器,1569,56.35
SZ301382,蜂助手,1568,27.38
SZ000829,天音控股,1566,7.88
SZ000762,西藏矿业,1565,20.28
SH603283,赛腾股份,1560,66.64
SH688202,美迪西,1556,32.51
SZ300454,深信服,1555,55.77
SH603029,天鹅股份,1553,15.41
SZ002177,御银股份,1546,3.35
SZ001319,铭科精技,1545,17.87
SZ301089,拓新药业,1544,32.01
SZ002001,新和成,1542,18.1
SZ002251,*ST步高,1540,4.31
SZ300036,超图软件,1540,16.27
SZ000768,中航西飞,1539,21.9
SZ300835,龙磁科技,1537,21.62
SH601086,国芳集团,1537,4.46
SZ000506,中润资源,1536,5.1
SH600498,烽火通信,1536,16.56
SZ002497,雅化集团,1532,9.51
SZ300369,绿盟科技,1530,6.31
SZ002239,奥特佳,1528,2.71
SZ301078,孩子王,1527,6.06
SH688496,清越科技,1526,10.82
SZ300766,每日互动,1525,11.15
SH600823,ST世茂,1525,0.74
SH603026,胜华新材,1525,40.41
SZ000928,中钢国际,1523,6.59
SH600976,健民集团,1519,56.03
SH600000,浦发银行,1519,7.35
SZ300047,天源迪科,1518,7.09
SZ300882,万胜智能,1518,21.07
SZ002353,杰瑞股份,1514,32.31
SZ002725,跃岭股份,1512,8.66
SZ000521,长虹美菱,1511,9.3
SZ002151,北斗星通,1510,29.17
SZ000543,皖能电力,1507,8.77
SZ300917,特发服务,1507,22.74
SZ300184,力源信息,1506,4.78
SZ000683,远兴能源,1505,6.6
SH603893,瑞芯微,1504,54.12
SH600483,福能股份,1503,9.9
SZ300307,慈星股份,1502,4.96
SH603290,斯达半导,1499,133.89
SZ002268,电科网安,1499,18.43
SZ002465,海格通信,1499,11.17
SZ002202,金风科技,1495,7.27
SZ300634,彩讯股份,1495,17.65
SH603153,上海建科,1491,19.29
SZ000711,*ST京蓝,1491,1.77
SH603103,横店影视,1490,15.52
SZ300655,晶瑞电材,1490,7.15
SZ300264,佳创视讯,1489,4.57
SZ000917,电广传媒,1488,5.42
SH600248,陕建股份,1485,4.1
SZ002103,广博股份,1484,5.78
SZ300674,宇信科技,1484,12.93
SZ300168,万达信息,1481,5.53
SH600419,天润乳业,1481,9.64
SH600285,羚锐制药,1468,23.09
SZ000830,鲁西化工,1468,10.29
SZ300653,正海生物,1468,22.77
SH603388,元成股份,1467,4.75
SZ300638,广和通,1467,15.67
SH600804,ST鹏博士,1465,2.52
SH600792,云煤能源,1464,3.77
SZ002587,奥拓电子,1463,5.42
SZ300295,三六五网,1462,7.94
SZ301231,荣信文化,1462,17.62
SH600521,华海药业,1460,15.66
SZ300972,万辰集团,1459,27.51
SH600006,东风汽车,1459,7.29
SH600592,龙溪股份,1457,11.0
SH688169,石头科技,1456,383.78
SH603099,长白山,1455,21.06
SZ000710,贝瑞基因,1454,7.37
SH605118,力鼎光电,1450,17.19
SZ300204,舒泰神,1450,5.92
SZ002727,一心堂,1450,19.8
SH601966,玲珑轮胎,1449,23.76
SZ002976,瑞玛精密,1449,23.42
SZ000166,申万宏源,1446,4.54
SH600660,福耀玻璃,1443,44.99
SH600410,华胜天成,1442,4.97
SH601111,中国国航,1440,7.23
SZ002546,新联电子,1439,3.63
SZ002846,英联股份,1438,7.48
SZ301370,国科恒泰,1436,13.19
SZ001328,登康口腔,1435,21.76
SH603023,威帝股份,1435,2.76
SZ300776,帝尔激光,1434,40.3
SH603466,风语筑,1432,11.66
SZ301128,强瑞技术,1431,39.91
SH603528,多伦科技,1430,6.1
SH688117,圣诺生物,1427,27.5
SZ002179,中航光电,1425,33.97
SH601116,三江购物,1424,8.27
SH600612,老凤祥,1422,79.1
SZ300316,晶盛机电,1419,29.98
SZ300549,优德精密,1418,14.43
SH603348,文灿股份,1415,25.03
SZ300850,新强联,1415,20.34
SZ002078,太阳纸业,1414,15.54
SH600114,东睦股份,1413,13.97
SH600647,*ST同达,1413,8.32
SZ300161,华中数控,1413,28.34
SZ301165,锐捷网络,1411,36.63
SZ000670,盈方微,1410,4.76
BJ872190,雷神科技,1407,15.1
SZ002512,达华智能,1405,3.98
SZ301041,金百泽,1402,21.48
SZ002335,科华数据,1402,26.86
SZ300426,唐德影视,1400,8.09
SH600153,建发股份,1400,9.72
SZ002351,漫步者,1400,12.02
SZ001268,联合精密,1398,17.71
SZ001286,陕西能源,1395,9.98
SZ002269,美邦服饰,1393,1.45
SZ002115,三维通信,1388,5.59
SH600621,华鑫股份,1388,13.47
SZ002601,龙佰集团,1387,20.56
SZ002079,苏州固锝,1386,9.1
SZ000620,*ST新联,1386,1.76
SZ002931,锋龙股份,1385,13.16
SH601599,浙文影业,1384,3.37
SH603069,海汽集团,1384,16.65
SH601916,浙商银行,1383,2.94
SH600023,浙能电力,1383,6.39
SZ300567,精测电子,1382,60.01
SH600152,维科技术,1382,4.92
SH603789,星光农机,1379,7.22
SZ002020,京新药业,1379,11.22
SZ301313,凡拓数创,1376,23.22
SZ002366,融发核电,1376,4.2
SZ300598,诚迈科技,1376,36.97
SZ300568,星源材质,1366,9.34
SZ002671,龙泉股份,1364,4.1
SZ301357,北方长龙,1364,33.87
SH688036,传音控股,1362,163.8
SZ301358,湖南裕能,1360,31.61
SZ002011,盾安环境,1357,11.49
SZ301202,朗威股份,1351,29.98
SH601636,旗滨集团,1350,7.43
SZ000421,南京公用,1349,4.27
SZ002112,三变科技,1349,8.53
SH600138,中青旅,1348,11.46
SH688671,碧兴物联,1347,21.06
SZ002669,康达新材,1347,9.65
SZ300762,上海瀚讯,1344,12.46
SZ002331,皖通科技,1343,6.64
SZ002500,山西证券,1339,4.88
SH688005,容百科技,1339,29.24
SZ000921,海信家电,1339,34.74
SZ002439,启明星辰,1337,19.3
SZ002139,拓邦股份,1337,10.09
SZ002182,宝武镁业,1334,17.38
SZ301360,荣旗科技,1331,42.42
SH600221,海航控股,1331,1.37
SZ000960,锡业股份,1330,16.76
SH603866,桃李面包,1330,6.01
SZ300375,鹏翎股份,1330,4.25
SZ000006,深振业A,1329,3.55
SZ300779,惠城环保,1327,50.7
SH600707,彩虹股份,1327,7.37
SZ000686,东北证券,1327,6.65
SH600721,百花医药,1326,5.28
SH601727,上海电气,1325,4.45
SZ301083,百胜智能,1324,12.73
SZ300296,利亚德,1324,4.67
SZ000733,振华科技,1322,52.99
SZ301171,易点天下,1316,15.88
SZ002121,科陆电子,1313,3.96
SZ002965,祥鑫科技,1311,38.18
SZ300857,协创数据,1311,56.8
SH600597,光明乳业,1310,9.21
SZ002579,中京电子,1306,7.08
SZ002717,岭南股份,1305,1.88
SH600266,城建发展,1304,3.48
SZ002876,三利谱,1302,23.15
SZ002850,科达利,1301,84.77
SH603119,浙江荣泰,1301,25.42
SZ301399,英特科技,1300,29.74
SZ000516,国际医学,1299,5.61
SH688777,中控技术,1299,47.16
SZ300542,新晨科技,1299,13.81
SZ003040,楚天龙,1297,12.19
SZ002878,元隆雅图,1297,13.09
SH600705,中航产融,1296,2.96
SH601375,中原证券,1295,3.53
SZ300841,康华生物,1294,59.32
SZ300807,天迈科技,1293,21.99
SZ300170,汉得信息,1292,6.18
SZ300683,海特生物,1291,22.95
SZ000937,冀中能源,1290,7.68
SZ300545,联得装备,1287,23.89
SH603858,步长制药,1286,16.85
SZ300939,秋田微,1285,27.33
SH688123,聚辰股份,1281,51.78
SZ001269,欧晶科技,1278,41.64
SZ002436,兴森科技,1278,11.27
SZ002915,中欣氟材,1278,10.75
SH688361,中科飞测-U,1275,51.03
SH600158,中体产业,1274,8.6
SZ003010,若羽臣,1272,15.01
SH600909,华安证券,1271,4.59
SH605188,国光连锁,1271,7.08
SZ002867,周大生,1270,17.69
SZ002262,恩华药业,1268,24.0
SZ300065,海兰信,1268,7.04
SZ002306,中科云网,1268,2.92
SZ000541,佛山照明,1266,5.55
SZ301338,凯格精机,1266,26.9
SZ000539,粤电力A,1266,5.25
SH688362,甬矽电子,1265,19.35
SZ002612,朗姿股份,1264,16.12
SZ300937,药易购,1264,22.0
SH605111,新洁能,1264,35.1
SZ002832,比音勒芬,1263,29.41
SH603118,共进股份,1262,7.83
SZ000828,东莞控股,1262,9.44
SH600481,双良节能,1261,7.02
SH601877,正泰电器,1261,18.84
SZ300012,华测检测,1260,12.45
SH688303,大全能源,1259,23.88
SZ300252,金信诺,1258,7.29
SH600238,海南椰岛,1258,6.97
SZ000951,中国重汽,1258,16.62
SZ300866,安克创新,1257,84.59
SZ000800,一汽解放,1257,8.76
SH601211,国泰君安,1256,13.32
SH688234,天岳先进,1256,45.9
SH605358,立昂微,1255,20.38
SZ300554,三超新材,1255,20.73
SZ300820,英杰电气,1254,46.34
SZ300250,初灵信息,1251,12.95
SZ300257,开山股份,1251,11.85
SZ002693,双成药业,1251,4.84
SZ300827,上能电气,1250,27.6
SZ300256,星星科技,1249,1.97
SZ300989,蕾奥规划,1249,21.03
SZ002215,诺普信,1247,7.8
SH688400,凌云光,1246,18.6
SH600059,古越龙山,1244,9.06
SH600765,中航重机,1243,17.42
SZ000875,吉电股份,1243,4.55
SZ300180,华峰超纤,1242,3.76
SZ300337,银邦股份,1242,6.88
SH600365,ST通葡,1241,2.56
SH600166,福田汽车,1241,2.62
SZ002470,金正大,1239,1.35
SZ002908,德生科技,1239,8.91
SZ300592,华凯易佰,1238,18.12
SZ002124,天邦食品,1238,2.64
SH600313,农发种业,1237,6.61
SZ300465,高伟达,1236,7.54
SZ300921,南凌科技,1236,17.93
SZ300393,中来股份,1235,7.95
SH688629,华丰科技,1234,26.62
SZ000962,东方钽业,1234,10.88
SZ301312,智立方,1234,51.16
SZ300373,扬杰科技,1233,35.98
SZ002938,鹏鼎控股,1233,22.69
SH603806,福斯特,1232,23.72
SZ002340,格林美,1232,5.92
SZ002069,獐子岛,1229,3.1
SZ300294,博雅生物,1229,31.66
SZ002800,ST天顺,1228,14.59
SH600406,国电南瑞,1226,25.74
SZ300043,星辉娱乐,1226,2.67
SH603228,景旺电子,1224,19.61
SZ000868,安凯客车,1224,4.3
SH603738,泰晶科技,1224,12.92
SZ002840,华统股份,1223,20.99
SZ002212,天融信,1222,5.92
SZ002451,摩恩电气,1220,5.59
SZ000869,张裕A,1220,26.26
SH603306,华懋科技,1219,21.07
SZ002862,实丰文化,1219,11.62
SZ301558,三态股份,1218,9.84
SZ002617,露笑科技,1218,5.54
SH688385,复旦微电,1217,31.71
SH688037,芯源微,1214,97.7
SZ300637,扬帆新材,1212,6.87
SZ300390,天华新能,1212,19.46
SH688348,昱能科技,1211,63.35
SH688158,优刻得-W,1211,10.92
SZ002423,中粮资本,1210,7.88
SZ300379,东方通,1210,10.22
SH600228,返利科技,1209,5.34
SZ003007,直真科技,1205,28.97
SZ002707,众信旅游,1205,6.47
SZ002808,ST恒久,1205,2.17
SZ301512,智信精密,1201,43.85
SZ000889,ST中嘉,1201,1.33
SZ300236,上海新阳,1200,31.06
SH688177,百奥泰,1199,29.98
SZ300299,富春股份,1199,4.11
SH603156,养元饮品,1198,25.84
SH605020,永和股份,1197,24.11
SZ002380,科远智慧,1197,15.18
SH688110,东芯股份,1197,20.74
SZ301486,致尚科技,1196,53.4
SH603603,退市博天,1194,0.39
SZ000727,冠捷科技,1193,2.37
SZ002858,力盛体育,1193,11.12
SH688025,杰普特,1192,44.13
SH688339,亿华通-U,1192,35.48
SZ301372,科净源,1191,29.75
SZ000892,欢瑞世纪,1190,2.74
SH601598,中国外运,1190,6.28
SZ000581,威孚高科,1189,17.88
SZ301103,何氏眼科,1189,24.57
SH603197,保隆科技,1188,43.16
SZ300444,双杰电气,1188,6.03
SZ300895,铜牛信息,1188,26.15
SH688567,孚能科技,1187,10.84
SH600598,北大荒,1186,12.86
SZ300532,今天国际,1185,14.4
SZ000903,云内动力,1185,2.13
SZ002055,得润电子,1183,6.33
SZ300376,易事特,1182,5.61
SH600753,庚星股份,1181,7.11
SZ002905,金逸影视,1180,7.17
SH600556,天下秀,1180,4.34
SZ002897,意华股份,1176,32.41
SZ300607,拓斯达,1176,12.99
SH603189,网达软件,1174,11.32
SH603658,安图生物,1173,57.63
SZ301018,申菱环境,1172,22.78
SH601333,广深铁路,1171,3.15
SH600258,首旅酒店,1170,14.77
SH600572,康恩贝,1169,4.9
SH600769,祥龙电业,1169,6.37
SH688306,均普智能,1165,4.07
SZ300663,科蓝软件,1165,9.94
SH603357,设计总院,1165,11.44
SH603869,新智认知,1164,7.26
SH603296,华勤技术,1163,69.56
SH603882,金域医学,1163,42.7
SZ300109,新开源,1163,21.05
SZ300783,三只松鼠,1162,24.7
SH688469,芯联集成-U,1161,4.64
SZ000060,中金岭南,1161,4.61
SZ301269,华大九天,1158,76.23
SZ300666,江丰电子,1158,41.69
SZ002907,华森制药,1157,13.23
SZ300538,同益股份,1156,13.18
SZ001317,三羊马,1156,26.95
SH600127,金健米业,1156,6.6
SZ300941,创识科技,1155,16.69
SH600864,哈投股份,1154,4.85
SH603912,佳力图,1154,6.93
SZ002600,领益智造,1152,5.22
SZ301267,华厦眼科,1152,24.77
SZ002035,华帝股份,1151,6.44
SH600339,中油工程,1150,3.34
SH600988,赤峰黄金,1149,18.32
SZ002155,湖南黄金,1147,14.04
SH601868,中国能建,1146,2.2
SH605133,嵘泰股份,1146,20.57
SZ300602,飞荣达,1145,14.53
SZ000403,派林生物,1145,29.4
SZ000155,川能动力,1145,9.87
SZ002150,通润装备,1144,13.3
SH600233,圆通速递,1144,16.13
SZ002424,贵州百灵,1143,6.44
SZ002126,银轮股份,1143,18.37
SZ301203,国泰环保,1142,31.81
SZ002009,天奇股份,1142,12.68
SH605007,五洲特纸,1141,15.64
SH688116,天奈科技,1141,25.69
SH600986,浙文互联,1140,4.81
SZ300268,*ST佳沃,1139,8.28
SZ301428,世纪恒通,1139,25.75
SH603833,欧派家居,1138,55.7
SZ001239,永达股份,1137,16.89
SZ300097,智云股份,1136,6.88
SH688559,海目星,1134,25.82
SZ300360,炬华科技,1132,14.81
SZ002377,国创高新,1131,2.32
SZ300032,金龙机电,1131,3.53
SH603596,伯特利,1131,53.16
SZ300010,*ST豆神,1130,2.67
SZ300233,金城医药,1130,15.47
SZ300725,药石科技,1130,30.75
SZ301325,曼恩斯特,1130,67.52
SH603816,顾家家居,1129,31.41
SZ002254,泰和新材,1128,10.97
SH688690,纳微科技,1128,19.73
SZ300235,方直科技,1127,8.68
SZ001373,翔腾新材,1126,28.32
SZ000688,国城矿业,1125,14.47
SZ301448,开创电气,1125,24.01
SZ300604,长川科技,1124,28.13
SH600712,南宁百货,1122,3.54
BJ835305,云创数据,1121,10.64
SZ001289,龙源电力,1121,17.98
SH603619,中曼石油,1121,26.57
SZ300985,致远新能,1120,26.33
SH603529,爱玛科技,1120,32.9
SZ002408,齐翔腾达,1119,5.11
SZ300148,天舟文化,1119,2.66
SZ301076,新瀚新材,1118,20.6
SH600661,昂立教育,1117,9.44
SZ300403,汉宇集团,1116,7.3
SZ300290,荣科科技,1115,8.6
SH601928,凤凰传媒,1112,10.27
SH600398,海澜之家,1107,9.32
SZ002881,美格智能,1107,21.37
SZ002819,东方中科,1106,24.01
SZ002984,森麒麟,1105,26.34
SZ002531,天顺风能,1105,9.24
SH603260,合盛硅业,1104,45.86
SZ300875,捷强装备,1102,28.86
SH603162,海通发展,1101,13.67
SH603939,益丰药房,1099,43.78
SH601519,大智慧,1098,6.43
SZ000728,国元证券,1097,6.36
SZ300427,*ST红相,1097,4.31
SH600115,中国东航,1097,3.6
SH600222,太龙药业,1096,4.9
SH603061,金海通,1095,59.82
SZ000409,云鼎科技,1093,8.41
SH603666,亿嘉和,1092,22.2
SH603399,吉翔股份,1091,6.64
SH603007,ST花王,1090,5.68
SZ000009,中国宝安,1090,10.3
SZ002519,银河电子,1090,5.37
SZ301323,新莱福,1089,31.37
SZ001270,铖昌科技,1089,50.14
SH603456,九洲药业,1088,14.78
SZ002748,世龙实业,1088,7.04
SH600029,南方航空,1088,5.54
SH600095,湘财股份,1087,6.65
SH600884,杉杉股份,1087,11.15
SZ301270,汉仪股份,1086,26.44
SH600010,包钢股份,1086,1.59
SH601326,秦港股份,1085,3.34
SZ003023,彩虹集团,1085,16.84
SH603043,广州酒家,1085,18.2
SZ301519,舜禹股份,1085,14.94
SZ300975,商络电子,1084,11.38
SH600021,上海电力,1084,8.89
SH600326,西藏天路,1083,3.43
SZ300020,银江技术,1082,6.33
SZ300811,铂科新材,1082,57.01
SH688316,青云科技-U,1080,33.41
SZ003816,中国广核,1079,4.22
SZ300912,凯龙高科,1078,11.59
SH600251,冠农股份,1076,8.37
SH601169,北京银行,1076,5.62
SZ000519,中兵红箭,1075,14.49
SH600610,中毅达,1074,4.79
SH688126,沪硅产业,1074,12.35
SZ002882,金龙羽,1073,16.89
SH600619,海立股份,1071,5.32
SZ300775,三角防务,1070,24.45
SZ002178,延华智能,1070,4.27
SZ000514,渝开发,1069,3.08
SH688321,微芯生物,1069,21.01
SZ000400,许继电气,1068,27.21
SZ301153,中科江南,1068,58.96
SH603679,华体科技,1068,12.09
SZ000783,长江证券,1067,5.34
SZ002373,千方科技,1067,9.95
SZ300603,立昂技术,1067,8.28
SH600057,厦门象屿,1066,6.85
SH600312,平高电气,1066,15.3
SZ002183,怡亚通,1066,3.43
SH688313,仕佳光子,1065,10.3
SH600552,凯盛科技,1065,10.7
SZ301390,经纬股份,1065,32.25
SH603650,彤程新材,1062,29.06
SZ000582,北部湾港,1062,8.1
SZ002167,东方锆业,1060,7.98
SZ000503,国新健康,1059,8.37
SZ300025,华星创业,1059,8.81
SZ301139,元道通信,1058,23.36
SH605179,一鸣食品,1056,10.73
SZ000915,华特达因,1056,35.24
SZ002184,海得控制,1056,11.62
SH688187,时代电气,1055,50.51
SZ000759,中百集团,1052,3.18
SZ002847,盐津铺子,1052,75.8
SH600557,康缘药业,1051,18.71
SZ002270,华明装备,1050,19.5
SZ000603,盛达资源,1050,13.19
SH603595,东尼电子,1050,19.41
SZ002152,广电运通,1050,12.08
SH603387,基蛋生物,1049,8.72
SH600587,新华医疗,1049,21.79
SZ002757,南兴股份,1049,14.02
SH605136,丽人丽妆,1049,7.24
SH688195,腾景科技,1048,25.2
SZ300691,联合光电,1048,15.62
SZ001299,美能能源,1047,12.02
SH600704,物产中大,1046,4.49
SZ000863,三湘印象,1045,2.88
SH688032,禾迈股份,1045,219.36
SZ000883,湖北能源,1044,5.58
SH603659,璞泰来,1044,17.97
SH600200,江苏吴中,1042,10.89
SH601137,博威合金,1041,17.4
SH603383,顶点软件,1040,35.13
SH601231,环旭电子,1040,13.36
SH600916,中国黄金,1039,10.46
SZ002988,豪美新材,1038,18.29
SZ002329,皇氏集团,1037,4.06
SH605277,新亚电子,1036,14.44
SH601233,桐昆股份,1035,13.49
SZ300898,熊猫乳品,1035,18.97
SZ300870,欧陆通,1034,43.93
SH688396,华润微,1032,37.13
SZ300432,富临精工,1032,6.93
SH603004,鼎龙科技,1032,19.34
SZ002502,ST鼎龙,1031,1.55
SZ000301,东方盛虹,1028,10.11
SZ300661,圣邦股份,1028,71.01
SZ300687,赛意信息,1027,17.01
SZ000669,ST金鸿,1026,1.4
SZ301038,深水规院,1026,15.74
SZ300949,奥雅股份,1025,35.08
SZ000932,华菱钢铁,1025,5.62
SZ002665,首航高科,1024,1.85
SZ300606,金太阳,1023,19.37
SH600537,亿晶光电,1022,3.74
SZ002549,凯美特气,1022,6.43
SZ002092,中泰化学,1021,4.37
SZ300958,建工修复,1019,12.26
SZ002939,长城证券,1017,7.25
SZ300181,佐力药业,1017,14.72
SH600060,海信视像,1016,26.98
SZ000705,浙江震元,1016,7.24
SH603377,东方时尚,1015,3.1
SH600346,恒力石化,1015,15.6
SZ002829,星网宇达,1015,21.55
SH600880,博瑞传播,1014,4.2
SZ300455,航天智装,1012,10.22
SH688147,微导纳米,1011,30.97
SH603230,内蒙新华,1010,13.08
SZ300467,迅游科技,1009,13.92
SZ300088,长信科技,1009,4.89
SZ300129,泰胜风能,1007,7.37
SH600213,亚星客车,1007,5.28
SH600928,西安银行,1006,3.52
SZ000650,仁和药业,1005,6.68
SZ300826,测绘股份,1005,12.1
SH600183,生益科技,1004,16.22
SZ002576,通达动力,1004,13.25
SZ002805,丰元股份,1003,12.65
SZ000031,大悦城,1003,2.32
SZ300649,杭州园林,1003,10.66
SH688003,天准科技,1002,36.45
SZ002153,石基信息,999,6.78
SH603390,通达电气,999,7.09
SH688016,心脉医疗,998,176.93
SH688088,虹软科技,998,30.14
SZ300585,奥联电子,997,11.66
SZ300131,英唐智控,996,4.52
SZ301252,同星科技,995,38.65
SZ002065,东华软件,995,5.15
SH600098,广州发展,995,6.5
SH600039,四川路桥,994,7.29
SZ301073,君亭酒店,994,24.06
SH688146,中船特气,993,28.29
SZ002864,盘龙药业,992,27.36
SZ301366,一博科技,992,31.67
SZ300327,中颖电子,992,18.78
SZ000631,顺发恒业,991,2.69
SZ300612,宣亚国际,989,13.61
SZ301408,华人健康,986,11.11
SZ002425,凯撒文化,984,2.93
SZ300729,乐歌股份,983,19.24
SZ002382,蓝帆医疗,983,5.23
SZ300138,晨光生物,983,9.11
SZ002159,三特索道,983,15.33
SZ300677,英科医疗,982,23.63
SZ002189,中光学,982,14.64
SH605086,龙高股份,981,23.94
SZ002975,博杰股份,981,29.18
SZ300682,朗新集团,979,10.83
SH600696,岩石股份,978,11.34
SH601811,新华文轩,978,14.24
SZ002966,苏州银行,978,7.26
SH688596,正帆科技,978,34.87
SZ300487,蓝晓科技,978,44.43
SZ003022,联泓新科,976,15.73
SZ000058,深赛格,976,5.99
SZ000811,冰轮环境,975,10.91
SH600593,大连圣亚,975,22.26
SH601567,三星医疗,974,33.69
SZ300659,中孚信息,973,15.02
SZ002372,伟星新材,972,16.55
SH603191,望变电气,972,17.28
SH603185,弘元绿能,972,21.04
SH601156,东航物流,972,18.17
SH600679,上海凤凰,971,8.7
SZ000410,沈阳机床,971,6.88
SH603919,金徽酒,969,21.5
SZ002697,红旗连锁,968,5.25
SH603711,香飘飘,967,18.28
SH600476,湘邮科技,967,13.4
SZ002685,华东重机,966,2.72
SZ002199,东晶电子,965,5.7
SZ301039,中集车辆,965,10.24
SZ002993,奥海科技,964,30.13
SZ002191,劲嘉股份,964,4.32
SZ301228,实朴检测,963,10.85
SZ300374,中铁装配,963,16.61
