时间,前值,现值,发布日期
2018年02月,-158.59862292,24.0603508,2018-03-30
2018年03月,24.0603508,-31.31683543,2018-04-27
2018年04月,-31.31683543,-37.55530163,2018-05-28
2018年05月,-37.55530163,-21.32517953,2018-06-27
2018年06月,-21.32517953,-12.13596255,2018-07-28
2018年07月,-12.13596255,-59.14665045,2018-08-27
2018年08月,-59.14665045,-46.78695077,2018-09-27
2018年09月,-46.78695077,-6.72825285,2018-10-28
2018年10月,-6.72825285,-1.20794377,2018-11-27
2018年11月,-1.20794377,-13.24233113,2018-12-28
2018年12月,-13.24233113,14.43954723,2019-01-27
2019年01月,14.43954723,67.73900514,2019-02-27
2019年02月,67.73900514,-14.27969671,2019-03-30
2019年03月,-14.27969671,-6.73092514,2019-04-27
2019年04月,-6.73092514,25.25719398,2019-05-28
2019年05月,25.25719398,19.74797688,2019-06-27
2019年06月,19.74797688,-1.9395238,2019-07-28
2019年07月,-1.9395238,31.70731707,2019-08-27
2019年08月,31.70731707,46.21373372,2019-09-27
2019年09月,46.21373372,33.6917112,2019-10-28
2019年10月,33.6917112,31.24297595,2019-11-27
2019年11月,31.24297595,41.80233075,2019-12-28
2019年12月,41.80233075,36.58998224,2020-01-27
2020年01月,36.58998224,-197.06767647,2020-02-27
2020年02月,-197.06767647,21.05705042,2020-03-29
2020年03月,21.05705042,41.41388565,2020-04-27
2020年04月,41.41388565,33.49576815,2020-05-28
2020年05月,33.49576815,60.44253652,2020-06-27
2020年06月,60.44253652,39.58540961,2020-07-28
2020年07月,39.58540961,7.32313813,2020-08-27
2020年08月,7.32313813,47.85553852,2020-09-27
2020年09月,47.85553852,59.8786308,2020-10-28
2020年10月,59.8786308,-20.15691402,2020-11-27
2020年11月,-20.15691402,2.13619688,2020-12-28
2020年12月,2.13619688,-40.72375912,2021-01-27
2021年01月,-40.72375912,17.54208204,2021-02-27
2021年02月,17.54208204,61.87128739,2021-03-30
2021年03月,61.87128739,22.30097675,2021-04-27
2021年04月,22.30097675,-36.16146034,2021-05-28
2021年05月,-36.16146034,-85.4624909,2021-06-27
2021年06月,-85.4624909,-21.33709247,2021-07-28
2021年07月,-21.33709247,-17.32291387,2021-08-27
2021年08月,-17.32291387,-79.80309039,2021-09-28
2021年09月,-79.80309039,-233.94517095,2021-10-26
2021年10月,-233.94517095,17.11829361,2021-11-25
2021年11月,17.11829361,54.67999531,2021-12-28
2021年12月,54.67999531,28.37899893,2022-01-27
2022年01月,28.37899893,126.35167274,2022-02-24
2022年02月,126.35167274,-118.43662834,2022-03-28
2022年03月,-118.43662834,-38.17628954,2022-04-28
2022年04月,-38.17628954,-15.12462236,2022-05-26
2022年05月,-15.12462236,-44.02686145,2022-06-27
2022年06月,-44.02686145,-69.4055123,2022-07-25
2022年07月,-69.4055123,21.23152569,2022-08-25
2022年08月,21.23152569,49.56270439,2022-09-26
2022年09月,49.56270439,-5.96588899,2022-10-25
2022年10月,-5.96588899,31.49619223,2022-11-28
