商品,日期,今值,预测值,前值
美国耐用品订单月率报告,2016-04-26,0.8,1.8,-3.1
美国耐用品订单月率报告,2016-05-26,3.4,0.5,1.9
美国耐用品订单月率报告,2016-06-24,-2.2,-0.5,3.3
美国耐用品订单月率报告,2016-07-27,-4.0,-1.1,-2.8
美国耐用品订单月率报告,2016-08-25,4.4,3.3,-4.2
美国耐用品订单月率报告,2016-09-28,0.0,-1.4,3.6
美国耐用品订单月率报告,2016-10-27,-0.1,0.1,0.3
美国耐用品订单月率报告,2016-11-23,4.8,1.5,0.4
美国耐用品订单月率报告,2016-12-22,-4.6,-4.7,4.8
美国耐用品订单月率报告,2017-01-27,-0.4,2.6,-4.8
美国耐用品订单月率报告,2017-02-27,1.8,1.7,-0.8
美国耐用品订单月率报告,2017-03-24,1.7,1.2,2.3
美国耐用品订单月率报告,2017-04-27,0.7,1.2,2.3
美国耐用品订单月率报告,2017-05-26,-0.7,-1.2,2.3
美国耐用品订单月率报告,2017-06-26,-1.1,-0.6,-0.9
美国耐用品订单月率报告,2017-07-27,6.5,3.0,-0.1
美国耐用品订单月率报告,2017-08-25,-6.8,-6.0,6.4
美国耐用品订单月率报告,2017-09-27,1.7,1.0,-6.8
美国耐用品订单月率报告,2017-10-25,2.2,1.0,2.0
美国耐用品订单月率报告,2017-11-22,-1.2,0.3,2.2
美国耐用品订单月率报告,2017-12-22,1.3,2.0,-0.4
美国耐用品订单月率报告,2018-01-26,2.9,0.8,1.7
美国耐用品订单月率报告,2018-02-27,-3.7,-2.4,2.6
美国耐用品订单月率报告,2018-03-23,3.1,1.5,-3.5
美国耐用品订单月率报告,2018-04-04,3.0,3.1,3.1
美国耐用品订单月率报告,2018-04-26,2.6,1.6,3.5
美国耐用品订单月率报告,2018-05-03,2.6,,2.6
美国耐用品订单月率报告,2018-05-25,-1.7,-1.4,2.7
美国耐用品订单月率报告,2018-06-04,-1.6,-1.6,-1.7
美国耐用品订单月率报告,2018-06-27,-0.6,-0.9,-1.0
美国耐用品订单月率报告,2018-07-03,-0.4,-0.5,-0.6
美国耐用品订单月率报告,2018-07-26,1.0,3.0,-0.3
美国耐用品订单月率报告,2018-08-24,-1.7,-0.5,0.7
美国耐用品订单月率报告,2018-09-06,-1.7,-1.7,-1.7
