序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
622,3033,征和工业,22.93,2.18,0.49,13603.0,31221832.54,4.95,23.49,22.38,22.43,22.44,0.99,1.69,15.09,1.65,1874527500.0,1850386521.0,-0.17,-0.13,-31.65,-35.97
623,627,天茂集团,2.34,2.18,0.05,354056.0,82264930.62,4.8,2.37,2.26,2.27,2.29,1.21,0.78,-17.74,0.56,11561072246.0,10652859746.0,0.43,0.0,-14.6,-17.61
624,600933,爱柯迪,18.75,2.18,0.4,66453.0,123243262.0,6.1,19.02,17.9,18.24,18.35,1.4,0.74,22.67,2.56,18067392244.0,16822923225.0,0.05,0.11,-5.92,-14.54
625,1201,东瑞股份,18.75,2.18,0.4,22095.0,41197753.54,7.3,19.14,17.8,18.3,18.35,1.06,2.41,-8.72,1.34,4833450019.0,1721782913.0,0.0,0.0,-16.41,-22.33
626,2945,华林证券,11.26,2.18,0.24,149756.0,168737183.01,4.81,11.45,10.92,11.0,11.02,1.5,0.55,122.0,4.68,30402000000.0,30402000000.0,0.0,0.0,-24.68,-25.43
627,600141,兴发集团,20.66,2.18,0.44,241745.0,499309911.0,4.4,20.92,20.03,20.11,20.22,0.9,2.19,16.53,1.11,22793234850.0,22774640850.0,0.1,0.05,15.87,13.21
628,688232,新点软件,21.14,2.17,0.45,22191.0,46606768.0,4.98,21.4,20.37,20.73,20.69,0.92,2.24,35.82,1.24,6976200000.0,2095242372.0,0.28,0.24,-27.3,-41.6
629,603629,利通电子,23.52,2.17,0.5,89584.0,209862437.0,8.64,24.2,22.21,23.03,23.02,0.78,3.52,149.07,3.64,6087681600.0,5992896000.0,0.21,0.09,-6.07,-25.24
630,2698,博实股份,15.06,2.17,0.32,174049.0,262014288.93,7.6,15.56,14.44,14.7,14.74,1.38,2.07,26.58,4.63,15399731432.0,12672021732.0,0.13,0.27,10.74,-0.86
631,811,冰轮环境,11.33,2.16,0.24,152451.0,172341914.49,4.6,11.52,11.01,11.05,11.09,1.53,2.04,13.22,1.61,8652242919.0,8450170409.0,-0.09,0.0,-15.76,-16.51
632,688676,金盘科技,49.12,2.16,1.04,108998.0,545662613.0,8.3,52.49,48.5,50.0,48.08,1.35,2.54,41.76,6.73,21073363620.0,21073363620.0,0.18,0.08,17.06,37.09
633,601899,紫金矿业,18.47,2.16,0.39,1939631.0,3542981858.0,3.76,18.54,17.86,17.91,18.08,0.86,0.94,23.02,4.52,486241015722.0,379674732375.0,0.05,0.11,52.39,48.23
634,600966,博汇纸业,5.21,2.16,0.11,112785.0,58611844.0,3.73,5.28,5.09,5.15,5.1,0.57,0.84,-56.22,1.09,6964958740.0,6964958740.0,0.0,0.0,-13.46,-16.1
635,2563,森马服饰,6.16,2.16,0.13,138882.0,84906053.4,3.15,6.19,6.0,6.03,6.03,0.8,0.63,14.8,1.44,16595595386.0,13604004814.0,0.0,-0.16,4.05,6.76
636,301448,开创电气,23.7,2.16,0.5,17467.0,41013524.0,7.07,24.24,22.6,22.95,23.2,1.13,8.73,35.64,2.9,1896000000.0,474000000.0,0.17,0.25,-28.76,-35.81
637,600406,国电南瑞,26.1,2.15,0.55,356231.0,926554492.0,3.44,26.3,25.42,25.5,25.55,1.19,0.45,37.79,4.74,209656708436.0,208395051035.0,0.04,0.04,23.52,16.94
638,603197,保隆科技,44.78,2.14,0.94,47026.0,211308924.0,6.55,45.96,43.09,43.98,43.84,1.56,2.24,21.02,3.25,9494946108.0,9417946898.0,0.04,0.02,-16.27,-20.6
639,2996,顺博合金,8.1,2.14,0.17,60679.0,48698429.22,5.93,8.19,7.72,7.9,7.93,1.11,2.4,37.25,1.39,4171099973.0,2046692367.0,-0.12,0.0,-23.0,-25.82
640,688001,华兴源创,21.96,2.14,0.46,25950.0,56539814.0,6.42,22.33,20.95,21.2,21.5,1.47,0.59,41.57,2.47,9705984912.0,9705984912.0,-0.05,-0.05,-24.17,-37.17
641,300094,国联水产,3.35,2.13,0.07,867984.0,296617808.89,9.45,3.58,3.27,3.3,3.28,1.08,7.85,-12.05,1.31,3779360298.0,3702101412.0,-0.59,-0.89,-26.7,-28.72
642,301459,丰茂股份,36.39,2.13,0.76,13537.0,48969993.96,6.37,36.98,34.71,35.3,35.63,0.86,7.14,18.88,2.79,2911200000.0,690209057.0,0.14,0.17,-14.17,-21.64
643,2515,金字火腿,4.31,2.13,0.09,118239.0,50832559.56,6.16,4.42,4.16,4.24,4.22,1.01,1.05,143.34,2.03,5217747047.0,4864206927.0,0.0,0.0,-22.62,-23.58
644,605339,南侨食品,16.29,2.13,0.34,16015.0,26191611.0,3.89,16.52,15.9,15.9,15.95,1.3,2.36,29.86,2.07,6940103895.0,1104312490.0,0.0,-0.12,-13.03,-13.49
645,2739,万达电影,14.87,2.13,0.31,245823.0,365821507.75,4.81,15.16,14.46,14.56,14.56,1.02,1.17,21.8,4.01,32407214205.0,31343561395.0,-0.13,-0.27,16.9,14.21
646,300446,航天智造,14.4,2.13,0.3,91082.0,130855315.39,5.11,14.6,13.88,14.14,14.1,1.0,6.72,28.76,2.69,12173905598.0,1950598181.0,-0.35,0.0,-3.42,-8.1
647,603605,珀莱雅,103.25,2.13,2.15,42243.0,436029463.0,4.93,104.61,99.63,100.3,101.1,1.61,1.07,41.19,10.54,40965191741.0,40763125296.0,0.2,-0.19,9.57,3.87
648,688566,吉贝尔,23.07,2.12,0.48,10752.0,24833077.0,4.65,23.45,22.4,22.58,22.59,0.85,0.57,20.21,2.29,4362167326.0,4362167326.0,-0.09,-0.09,-22.38,-26.51
649,301287,康力源,26.92,2.12,0.56,10117.0,27526808.95,8.23,28.18,26.01,26.5,26.36,1.42,6.07,15.54,1.67,1794756400.0,448756400.0,0.07,0.0,-24.7,-25.31
650,599,青岛双星,4.35,2.11,0.09,196088.0,84799565.37,5.4,4.41,4.18,4.3,4.26,0.48,2.4,-20.17,1.66,3552901593.0,3552841237.0,0.0,0.0,-6.85,-2.25
651,2171,楚江新材,8.24,2.11,0.17,225430.0,184657825.0,2.48,8.28,8.08,8.09,8.07,1.01,1.74,23.71,1.8,10911789224.0,10661889931.0,0.12,0.0,15.73,10.16
652,798,中水渔业,6.79,2.11,0.14,100663.0,68739407.59,6.32,7.02,6.6,6.66,6.65,0.76,2.75,-21.04,5.44,2484180654.0,2483976954.0,0.0,0.0,-22.75,-23.62
653,300100,双林股份,9.22,2.1,0.19,150957.0,138578264.6,4.43,9.37,8.97,9.03,9.03,1.87,3.9,28.28,1.67,3695092448.0,3568719790.0,0.22,0.33,-4.75,-11.6
654,603939,益丰药房,43.19,2.1,0.89,39346.0,169881341.0,4.75,43.79,41.78,41.78,42.3,0.8,0.39,32.76,4.64,43646941432.0,43540534445.0,0.09,0.12,7.63,7.87
655,600919,江苏银行,8.25,2.1,0.17,1857236.0,1528709871.0,3.71,8.37,8.07,8.08,8.08,1.78,1.02,4.43,0.74,151398426820.0,150725210873.0,0.0,0.0,18.19,23.32
656,300566,激智科技,12.62,2.1,0.26,47087.0,59125277.74,5.34,12.84,12.18,12.47,12.36,0.99,2.06,28.22,1.94,3328418361.0,2880180986.0,0.16,0.08,-24.88,-32.44
657,688253,英诺特,34.03,2.1,0.7,38031.0,130703632.0,5.25,34.94,33.19,33.4,33.33,0.51,5.56,7.92,2.33,4630149568.0,2328103952.0,-0.38,-0.35,33.98,36.07
658,600593,大连圣亚,20.92,2.1,0.43,87720.0,183688034.0,7.27,21.49,20.0,20.06,20.49,0.9,6.81,18.36,9.07,2694496000.0,2694496000.0,0.19,0.05,-31.25,6.41
659,603125,常青科技,28.74,2.1,0.59,18399.0,52453274.0,5.04,29.19,27.77,28.38,28.15,1.17,3.82,26.03,2.55,5533887000.0,1383543600.0,-0.03,0.14,-1.68,-4.26
660,301013,利和兴,11.22,2.09,0.23,131693.0,147851845.1,8.74,11.59,10.63,11.1,10.99,1.17,7.91,682.35,2.99,2622597088.0,1866920192.0,-0.18,-0.18,-16.46,-29.21
661,2369,卓翼科技,3.93,2.08,0.08,212216.0,82968951.77,6.75,4.02,3.76,3.85,3.85,1.2,3.75,-8.84,2.47,2228138180.0,2225156709.0,0.0,-0.25,-23.84,-30.32
662,603089,正裕工业,8.85,2.08,0.18,49688.0,44204050.0,6.0,9.1,8.58,8.6,8.67,0.98,2.22,22.61,1.73,1979899406.0,1979899406.0,-0.23,-0.34,-20.77,-22.91
663,301025,读客文化,11.32,2.07,0.23,217486.0,242663931.86,10.91,11.85,10.64,11.21,11.09,0.72,21.92,197.53,7.19,4531502408.0,1122994589.0,-0.26,0.27,7.1,-0.26
664,688687,凯因科技,24.61,2.07,0.5,74705.0,183684161.0,5.85,25.04,23.63,24.06,24.11,0.95,4.37,47.49,2.37,4206942225.0,4206942225.0,0.0,-0.12,-16.94,-29.4
665,1311,多利科技,34.96,2.07,0.71,19783.0,69066226.77,5.93,35.75,33.72,34.19,34.25,1.25,4.24,12.45,1.54,6423317357.0,1630358167.0,-0.26,-0.2,-19.56,-29.39
666,605199,葫芦娃,11.33,2.07,0.23,76938.0,85477482.0,10.09,11.64,10.52,10.91,11.1,2.28,1.92,43.87,4.15,4533232160.0,4533232160.0,0.0,-0.09,-23.08,-25.26
667,2544,普天科技,24.2,2.07,0.49,193529.0,466007209.5,7.04,24.79,23.12,23.41,23.71,0.87,2.85,192.9,4.39,16519298536.0,16434740203.0,-0.08,-0.08,36.34,19.09
668,333,美的集团,69.99,2.06,1.41,390279.0,2741742559.46,4.3,71.33,68.38,68.58,68.58,1.46,0.57,14.46,2.99,487756861173.0,478475487973.0,0.1,0.13,25.25,28.12
669,873132,泰鹏智能,11.92,2.05,0.24,8553.0,10435828.47,9.5,12.63,11.52,11.76,11.68,1.83,5.91,15.74,2.9,705187200.0,172502187.0,-0.17,-0.25,-34.07,-36.22
670,2631,德尔未来,4.48,2.05,0.09,96432.0,43331032.54,5.47,4.58,4.34,4.39,4.39,1.25,1.47,787.82,1.75,2950774552.0,2934151382.0,-0.44,-0.44,-28.43,-26.68
671,603650,彤程新材,26.07,2.04,0.52,70070.0,182414932.0,5.87,26.5,25.0,25.48,25.55,1.63,1.18,33.51,4.63,15637593935.0,15487400077.0,0.19,0.15,-11.9,-21.71
672,2159,三特索道,15.57,2.03,0.31,63378.0,98519316.0,5.05,15.8,15.03,15.25,15.26,0.6,4.59,15.47,2.18,2760581630.0,2149111296.0,-0.06,-0.13,-7.43,2.03
673,688318,财富趋势,105.0,2.03,2.09,29033.0,305722228.0,7.43,108.85,101.2,102.79,102.91,1.6,2.22,44.16,4.0,13720686000.0,13720686000.0,0.32,0.29,-9.04,-16.86
674,605296,神农集团,36.72,2.03,0.73,41946.0,155222752.0,6.45,37.95,35.63,35.64,35.99,1.01,6.21,-66.6,4.41,19279595557.0,2481295799.0,0.22,0.03,19.49,19.49
675,600184,光电股份,9.07,2.02,0.18,45937.0,41620381.0,4.72,9.24,8.82,8.9,8.89,0.98,0.9,78.82,1.84,4614460692.0,4614460692.0,0.0,-0.22,-15.31,-20.65
676,601118,海南橡胶,5.04,2.02,0.1,443330.0,222533430.0,4.45,5.11,4.89,4.93,4.94,0.95,1.04,-30.23,2.39,21568316097.0,21568316097.0,0.0,-0.2,20.29,18.87
677,603237,五芳斋,27.25,2.02,0.54,10865.0,29620313.0,5.24,27.93,26.53,26.71,26.71,1.4,1.23,23.15,2.22,3917459455.0,2400339522.0,0.0,0.04,-7.25,-7.0
678,2614,奥佳华,7.11,2.01,0.14,167562.0,119599545.28,5.02,7.25,6.9,6.95,6.97,1.22,3.8,34.96,0.99,4432908317.0,3135597503.0,0.0,0.0,-9.54,-5.2
679,601666,平煤股份,14.73,2.01,0.29,452821.0,669797636.0,4.16,15.05,14.45,14.45,14.44,1.12,1.84,9.11,1.57,36476068852.0,36295101964.0,-0.27,-0.47,31.52,27.42
680,1211,双枪科技,15.76,2.01,0.31,22418.0,35129352.19,5.44,15.97,15.13,15.45,15.45,1.06,5.95,-211.77,1.3,1134720000.0,593716031.0,0.13,0.25,-36.14,-34.77
681,603333,尚纬股份,4.07,2.01,0.08,238579.0,95770476.0,7.02,4.14,3.86,3.97,3.99,1.33,3.84,62.6,1.18,2529617275.0,2529617275.0,-0.25,-0.49,-31.6,-28.72
682,833394,民士达,15.28,2.0,0.3,15944.0,24468878.74,5.07,15.75,14.99,14.99,14.98,0.99,3.77,27.42,3.36,2234700000.0,646496800.0,0.53,-0.07,2.0,-18.72
683,688586,江航装备,8.66,2.0,0.17,64412.0,55618385.0,5.3,8.83,8.38,8.45,8.49,1.46,0.81,35.51,2.77,6852997091.0,6852997091.0,0.0,0.0,-14.68,-21.91
684,833346,威贸电子,10.7,2.0,0.21,20477.0,22236968.27,10.39,11.32,10.23,10.49,10.49,1.21,7.22,22.68,2.0,863303852.0,303624302.0,-0.56,-0.74,-4.38,-35.74
685,688603,天承科技,42.81,2.0,0.84,9690.0,40982011.0,7.74,43.39,40.14,43.0,41.97,1.32,7.57,42.49,2.27,2488841802.0,548290017.0,-0.16,1.28,-30.05,-42.9
686,688376,美埃科技,31.6,2.0,0.62,7488.0,23495639.0,3.1,31.64,30.68,31.08,30.98,0.52,1.51,24.52,2.6,4247040000.0,1571634121.0,0.0,0.0,-9.14,-16.82
687,688576,西山科技,72.01,2.0,1.41,2435.0,17392957.0,3.37,72.26,69.88,70.5,70.6,0.94,1.92,32.51,1.77,3816635567.0,910990085.0,-0.06,0.0,-24.02,-25.09
688,603408,建霖家居,15.33,2.0,0.3,29811.0,45734155.0,3.66,15.56,15.01,15.14,15.03,0.62,0.67,16.2,2.22,6884082135.0,6861294090.0,0.07,0.0,15.87,19.39
689,600711,盛屯矿业,4.6,2.0,0.09,838178.0,385007533.0,4.21,4.67,4.48,4.5,4.51,0.95,2.68,46.84,1.03,14405550348.0,14364278688.0,0.0,-0.22,11.65,5.99
690,688502,茂莱光学,90.23,1.99,1.76,7710.0,69548213.0,6.47,92.44,86.72,88.26,88.47,1.21,4.71,101.96,4.0,4764144000.0,1476575783.0,0.01,0.1,-41.29,-58.42
691,300172,中电环保,5.66,1.98,0.11,761861.0,434572688.4,7.03,5.87,5.48,5.55,5.55,0.96,14.55,44.63,2.09,3830178600.0,2963080110.0,0.18,0.18,-2.25,5.4
692,2965,祥鑫科技,37.79,1.97,0.73,104523.0,395248247.08,6.18,38.71,36.42,36.96,37.06,1.06,8.26,16.56,2.17,6735751500.0,4783576785.0,-0.03,0.19,-1.97,-8.21
693,688239,航宇科技,30.03,1.97,0.58,24596.0,73686825.0,6.32,30.88,29.02,29.35,29.45,1.07,2.35,23.89,2.62,4431210223.0,3141447820.0,-0.07,-0.13,-25.67,-37.14
694,688027,国盾量子,165.8,1.97,3.2,20563.0,336526522.0,7.55,168.88,156.6,161.88,162.6,0.89,2.56,-107.54,8.86,13326070546.0,13326070546.0,-0.11,-0.27,52.6,29.63
695,688297,中无人机,36.81,1.97,0.71,54159.0,200116429.0,5.51,37.79,35.8,36.28,36.1,1.25,2.04,82.12,4.25,24846750000.0,9775611933.0,0.16,0.27,5.05,-3.97
696,301068,大地海洋,26.45,1.97,0.51,8591.0,22345479.16,6.01,26.68,25.12,26.02,25.94,0.97,2.17,40.06,2.69,2221800000.0,1048639160.0,0.49,0.53,-8.79,-12.99
697,697,*ST炼石,7.27,1.96,0.14,81386.0,58997312.22,3.09,7.35,7.13,7.19,7.13,0.88,1.4,-24.26,14.83,6347443369.0,4227155349.0,0.28,0.28,12.71,15.03
698,300476,胜宏科技,27.02,1.96,0.52,385610.0,1035109177.68,6.75,27.52,25.73,26.01,26.5,0.89,4.51,29.85,3.14,23309847080.0,23107739425.0,-0.18,0.07,61.22,46.45
699,2484,江海股份,15.09,1.96,0.29,120945.0,181457456.76,3.38,15.23,14.73,15.0,14.8,1.36,1.53,18.14,2.32,12825794105.0,11960531966.0,0.0,0.13,-4.97,-6.04
700,300865,大宏立,13.01,1.96,0.25,34815.0,44017465.61,12.38,13.46,11.88,12.7,12.76,1.19,5.17,-37.49,1.44,1244796800.0,875851804.0,0.08,1.25,-40.51,-42.05
701,300698,万马科技,29.22,1.95,0.56,16773.0,48856886.96,5.93,29.95,28.25,28.6,28.66,0.77,1.36,60.74,8.3,3915480000.0,3610742954.0,0.1,0.03,-9.06,-19.95
702,300872,天阳科技,10.96,1.95,0.21,41711.0,45622381.0,5.21,11.18,10.62,10.75,10.75,0.9,1.23,54.05,1.82,4432543791.0,3708313676.0,-0.18,-0.18,-17.41,-19.88
703,300660,江苏雷利,25.59,1.95,0.49,53585.0,136481407.92,6.29,26.09,24.51,25.0,25.1,1.49,1.69,24.14,2.51,8112502750.0,8108443306.0,0.04,0.08,-6.61,-15.43
704,603685,晨丰科技,13.06,1.95,0.25,12535.0,16228145.0,5.62,13.26,12.54,12.83,12.81,0.87,0.93,26.32,1.93,2207212274.0,1765779298.0,-0.08,-0.08,-15.3,-14.58
705,832469,富恒新材,9.94,1.95,0.19,45585.0,45240646.69,13.64,10.5,9.17,9.5,9.75,2.14,7.83,18.13,2.34,1077694800.0,578819410.0,-0.1,0.4,-19.58,-44.38
706,688153,唯捷创芯,55.5,1.95,1.06,16845.0,92936859.0,4.94,56.27,53.58,54.9,54.44,1.05,1.52,221.94,5.75,23216588727.0,6159056168.0,-0.18,-0.18,2.15,-15.27
707,600381,青海春天,4.19,1.95,0.08,163139.0,67292102.0,6.33,4.25,3.99,4.1,4.11,0.96,2.78,-26.23,1.68,2459784505.0,2459784505.0,0.0,0.24,-46.01,-45.8
708,603979,金诚信,56.17,1.94,1.07,51440.0,284844289.0,3.97,56.59,54.4,54.55,55.1,1.04,0.83,36.64,5.12,34686779124.0,34686779124.0,-0.09,-0.3,44.4,48.76
709,976,ST华铁,1.05,1.94,0.02,303359.0,32228441.68,6.8,1.08,1.01,1.02,1.03,1.13,1.9,22.43,0.53,1675462736.0,1674324555.0,1.94,0.96,-21.05,-35.19
710,603221,爱丽家居,8.93,1.94,0.17,135757.0,122876654.0,5.94,9.33,8.81,9.23,8.76,1.6,5.66,28.04,1.46,2184099400.0,2143200000.0,-0.22,-0.22,-17.85,-10.16
711,605128,上海沿浦,44.67,1.94,0.85,10246.0,45531150.0,3.65,44.93,43.33,44.1,43.82,1.05,1.28,39.2,3.13,3573731866.0,3573731866.0,-0.07,-0.07,-18.38,-23.05
712,600673,东阳光,8.94,1.94,0.17,179059.0,160645194.0,4.1,9.14,8.78,8.85,8.77,1.22,0.6,-91.55,2.75,26944035875.0,26833927867.0,-0.22,-0.22,33.04,21.96
713,300121,阳谷华泰,8.42,1.94,0.16,52961.0,44328414.0,2.91,8.46,8.22,8.26,8.26,1.13,1.34,11.32,1.13,3443691388.0,3321287642.0,0.12,0.24,-1.29,-5.18
714,603309,维力医疗,10.54,1.93,0.2,28806.0,29999702.0,5.22,10.67,10.13,10.42,10.34,0.82,0.99,16.1,1.75,3089908698.0,3067901178.0,0.19,0.09,-22.9,-25.93
715,603052,可川科技,33.74,1.93,0.64,16591.0,56194224.0,7.04,34.65,32.32,33.06,33.1,0.85,5.67,32.26,2.88,3249836800.0,987232400.0,-0.09,-0.3,-12.66,-22.58
716,600498,烽火通信,17.41,1.93,0.33,407069.0,705247486.0,7.79,18.0,16.67,16.99,17.08,1.52,3.54,47.23,1.77,20639411681.0,20009646193.0,0.06,0.06,17.64,4.63
717,603868,飞科电器,52.29,1.93,0.99,35706.0,186425867.0,7.21,54.0,50.3,50.6,51.3,1.17,0.82,22.34,8.85,22777524000.0,22777524000.0,0.0,-0.02,12.4,8.49
718,603421,鼎信通讯,5.81,1.93,0.11,112651.0,65194191.0,5.61,5.94,5.62,5.7,5.7,1.04,1.73,52.81,1.13,3789226869.0,3789226869.0,-0.34,-0.17,-32.6,-38.19
719,2438,江苏神通,11.11,1.93,0.21,95531.0,106157224.46,5.05,11.3,10.75,10.89,10.9,1.1,2.04,20.98,1.8,5638741192.0,5209779159.0,-0.18,-0.18,-5.53,-7.03
720,688300,联瑞新材,42.35,1.93,0.8,31200.0,132062038.0,7.7,43.65,40.45,41.39,41.55,0.95,1.68,45.21,5.84,7866323238.0,7866323238.0,0.19,0.17,-8.53,-20.02
721,603988,中电电机,11.14,1.92,0.21,519324.0,558611529.0,15.92,11.87,10.13,10.21,10.93,3.03,22.08,60.64,3.94,2620128000.0,2620128000.0,-0.27,-0.62,1.0,-2.02
722,300536,农尚环境,16.47,1.92,0.31,68281.0,111520135.5,7.61,16.83,15.6,16.02,16.16,1.07,2.33,28212.9,7.65,4830455551.0,4829880863.0,0.12,-0.06,-24.28,-27.12
723,300791,仙乐健康,35.66,1.91,0.67,8523.0,30207747.25,5.66,36.18,34.2,34.78,34.99,1.05,0.57,26.23,2.42,6474512937.0,5347461770.0,-0.25,-0.25,4.27,2.89
724,301239,普瑞眼科,51.19,1.91,0.96,26433.0,134710557.92,5.61,51.98,49.16,50.23,50.23,1.07,3.73,18.11,3.23,7658999067.0,3623712611.0,0.14,0.16,-36.08,-40.48
725,601138,工业富联,22.93,1.91,0.43,2278688.0,5101770513.0,9.64,23.49,21.32,21.86,22.5,1.34,1.15,21.65,3.25,455482144911.0,454816240560.0,0.09,-0.13,80.27,51.65
726,2707,众信旅游,6.4,1.91,0.12,289550.0,187727326.11,5.57,6.63,6.28,6.3,6.28,0.74,3.55,333.77,8.58,6289376211.0,5213443661.0,0.0,-0.16,-12.33,-10.36
727,603156,养元饮品,26.7,1.91,0.5,40711.0,108132028.0,3.32,26.87,26.0,26.2,26.2,1.08,0.32,19.65,3.19,33788679120.0,33788679120.0,0.19,0.07,19.68,25.59
728,2947,恒铭达,28.31,1.91,0.53,95578.0,272257594.95,7.56,29.12,27.02,27.31,27.78,1.32,5.92,23.16,3.12,6516162667.0,4573269251.0,-0.11,-0.14,-6.01,-12.03
729,300553,集智股份,26.22,1.9,0.49,24256.0,63796364.5,7.58,27.2,25.25,25.54,25.73,1.21,4.53,46.96,3.01,2126966400.0,1404436281.0,-0.04,0.08,-12.25,-26.76
730,601318,中国平安,39.69,1.9,0.74,833994.0,3317887083.0,3.83,40.3,38.81,38.9,38.95,1.27,0.77,8.44,0.8,722764211552.0,427169883915.0,0.0,0.0,3.98,-1.51
731,3012,东鹏控股,7.51,1.9,0.14,76924.0,57595076.01,3.93,7.6,7.31,7.42,7.37,0.96,0.66,10.5,1.14,8809230000.0,8761759853.0,0.13,0.0,-10.81,-8.97
732,688218,江苏北人,18.25,1.9,0.34,30716.0,55927973.0,7.59,18.86,17.5,17.85,17.91,1.23,2.6,26.44,2.3,2156991681.0,2156991681.0,0.05,-0.44,2.13,-8.15
733,873339,恒太照明,4.3,1.9,0.08,7966.0,3450396.1,7.35,4.48,4.17,4.27,4.22,1.28,1.34,11.25,1.67,946876340.0,256169090.0,0.0,0.0,-20.07,-38.57
734,603180,金牌厨柜,20.98,1.89,0.39,14172.0,29898833.0,4.42,21.5,20.59,20.59,20.59,1.27,0.92,10.99,1.16,3236312070.0,3236312070.0,-0.19,-0.14,-14.96,-16.38
735,600837,海通证券,8.08,1.89,0.15,387045.0,311598209.0,3.53,8.16,7.88,7.9,7.93,0.87,0.44,104.68,0.65,105558736000.0,71361539601.0,0.12,0.0,-8.7,-13.77
736,600094,大名城,3.78,1.89,0.07,330226.0,126315966.0,7.28,3.95,3.68,3.68,3.71,0.72,1.45,42.04,0.75,9356728715.0,8605566756.0,-0.26,-0.53,27.27,26.0
737,301003,江苏博云,21.6,1.89,0.4,9614.0,20768821.6,5.33,22.01,20.88,21.01,21.2,0.84,1.42,18.54,1.89,2139551993.0,1459228759.0,0.37,0.42,-9.77,-11.33
738,2801,微光股份,22.7,1.89,0.42,20243.0,45563474.0,5.7,23.09,21.82,22.28,22.28,0.94,1.75,17.91,3.25,5212646400.0,2628721290.0,0.04,0.13,2.48,4.37
739,1,平安银行,10.82,1.88,0.2,3126582.0,3384837014.81,4.43,11.03,10.56,10.58,10.62,2.13,1.61,4.52,0.52,209972034902.0,209968017999.0,0.09,0.09,17.48,15.23
740,301502,华阳智能,36.8,1.88,0.68,17232.0,62851098.55,5.62,37.47,35.44,35.78,36.12,0.77,12.73,32.77,2.62,2100672800.0,497981354.0,0.14,-0.03,31.38,31.38
741,600298,安琪酵母,30.31,1.88,0.56,140918.0,425952900.0,3.53,30.56,29.51,29.69,29.75,1.58,1.63,20.73,2.61,26331881576.0,26169510906.0,0.17,0.17,-12.98,-13.84
742,2457,青龙管业,7.58,1.88,0.14,109304.0,83259412.72,3.36,7.74,7.49,7.49,7.44,1.14,3.26,102.09,1.12,2539239360.0,2537987515.0,-0.13,0.0,-9.98,-19.19
743,1226,拓山重工,32.0,1.88,0.59,20400.0,64830917.0,6.27,32.83,30.86,32.25,31.41,0.89,10.93,-190.88,3.31,2389334400.0,597334400.0,0.0,0.44,-11.97,-10.06
744,1359,平安电工,25.01,1.87,0.46,133595.0,331806986.54,8.92,26.0,23.81,24.19,24.55,0.9,29.39,28.17,2.78,4639434157.0,1136666610.0,0.08,0.04,43.82,43.82
745,2905,金逸影视,7.07,1.87,0.13,82209.0,57882299.83,6.34,7.22,6.78,6.99,6.94,0.99,2.35,199.32,17.07,2660582400.0,2470540800.0,-0.28,-0.56,-36.02,-35.49
746,2646,天佑德酒,10.34,1.87,0.19,45105.0,46427856.66,3.84,10.43,10.04,10.15,10.15,1.27,0.95,35.26,1.72,4983910751.0,4886287192.0,0.0,-0.1,-20.22,-24.03
747,300061,旗天科技,3.81,1.87,0.07,177786.0,68780771.1,8.29,4.01,3.7,3.74,3.74,1.44,2.88,-59.84,2.04,2510765909.0,2351435626.0,0.0,-0.26,-29.57,-34.98
748,603272,联翔股份,10.9,1.87,0.2,33047.0,35453662.0,9.63,11.14,10.11,10.67,10.7,1.6,7.78,203.78,1.77,1129534300.0,463271800.0,0.46,0.09,-37.61,-35.43
749,301093,华兰股份,24.53,1.87,0.45,21257.0,51548670.6,4.24,24.71,23.69,23.87,24.08,1.54,2.35,26.65,1.29,3173545250.0,2214965688.0,0.2,0.95,-18.72,-24.06
750,688351,微电生理-U,22.44,1.86,0.41,21363.0,48401199.0,6.31,23.19,21.8,22.05,22.03,1.32,1.73,1856.42,6.27,10560264000.0,2767980306.0,-0.09,-0.36,-0.13,-12.51
751,600279,重庆港,4.38,1.86,0.08,133680.0,57705819.0,3.49,4.39,4.24,4.29,4.3,1.26,1.13,8.29,0.83,5198474320.0,5198474320.0,0.0,0.69,-4.78,-1.57
752,600367,红星发展,10.41,1.86,0.19,77264.0,80749986.0,7.83,10.75,9.95,10.17,10.22,0.99,2.63,143.56,1.54,3551172690.0,3052593006.0,-0.19,-0.1,-15.23,-18.8
753,601689,拓普集团,55.36,1.86,1.01,176711.0,963666614.0,8.52,56.36,51.73,54.0,54.35,1.57,1.6,29.9,3.72,64371273326.0,61009476208.0,0.0,-0.25,-12.1,-24.68
754,600421,华嵘控股,6.03,1.86,0.11,48607.0,29055911.0,8.45,6.2,5.7,6.08,5.92,1.56,2.49,-247.39,67.85,1179468000.0,1179468000.0,-0.33,-0.5,-43.54,-45.82
755,2507,涪陵榨菜,13.16,1.86,0.24,158597.0,207896932.22,3.56,13.27,12.81,12.86,12.92,1.67,1.39,18.37,1.84,15185574408.0,14980296701.0,0.0,-0.15,-5.05,-7.91
756,2601,龙佰集团,20.3,1.86,0.37,293207.0,593887427.96,3.61,20.5,19.78,19.85,19.93,1.49,1.97,16.96,2.15,48441753097.0,30176030347.0,0.2,0.25,25.15,18.51
