序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
525,2264,新 华 都,5.22,2.55,0.13,270491.0,141358517.98,12.18,5.47,4.85,4.97,5.09,1.01,4.13,18.72,2.31,3757997971.0,3414665918.0,-0.19,-0.38,-5.26,-5.26
526,688772,珠海冠宇,12.47,2.55,0.31,170342.0,211381296.0,6.74,12.73,11.91,12.23,12.16,1.0,2.23,40.64,2.12,13989558985.0,9545822235.0,-0.16,-0.24,-32.23,-43.34
527,2985,北摩高科,26.55,2.55,0.66,39370.0,104468755.76,5.06,27.15,25.84,26.0,25.89,1.21,1.88,18.97,2.66,8810713080.0,5565469569.0,-0.08,-0.04,-13.8,-23.44
528,837212,智新电子,7.26,2.54,0.18,22849.0,16444229.95,11.16,7.6,6.81,7.08,7.08,1.45,4.38,42.44,1.91,770286000.0,378801390.0,0.14,0.14,-17.22,-44.75
529,603345,安井食品,84.55,2.53,2.09,30993.0,261018763.0,5.82,85.96,81.16,82.06,82.46,1.23,1.06,16.58,2.02,24798027316.0,24798027316.0,0.07,-0.31,-12.28,-19.18
530,603385,惠达卫浴,5.26,2.53,0.13,40026.0,20788102.0,5.46,5.31,5.03,5.14,5.13,0.89,1.05,-56.11,0.53,2007854027.0,2007854027.0,0.38,0.0,-35.85,-34.33
531,586,汇源通信,8.91,2.53,0.22,70527.0,62222292.02,8.63,9.15,8.4,8.75,8.69,1.16,3.65,86.44,5.17,1723550400.0,1723550400.0,0.11,-0.22,-25.0,-29.17
532,688128,中国电研,19.07,2.53,0.47,58885.0,112287576.0,3.98,19.28,18.54,18.6,18.6,1.55,1.46,18.86,2.64,7713815000.0,7713815000.0,0.37,0.16,0.05,-7.07
533,2152,广电运通,12.18,2.53,0.3,295996.0,359910985.99,4.8,12.35,11.78,11.87,11.88,1.47,1.19,30.96,2.52,30247603698.0,30232388624.0,0.0,0.08,14.91,-0.65
534,300570,太辰光,39.8,2.52,0.98,287582.0,1134803333.63,9.4,41.53,37.88,38.35,38.82,1.99,14.94,58.29,6.63,9039649307.0,7660193645.0,0.38,0.3,15.36,1.92
535,600520,文一科技,17.54,2.51,0.43,197491.0,344489990.0,7.77,18.09,16.76,17.48,17.11,1.26,12.47,-23.41,8.06,2778862200.0,2778862200.0,-0.06,-0.06,-24.07,-31.46
536,2186,全 聚 德,10.2,2.51,0.25,104466.0,106669195.0,6.43,10.53,9.89,9.94,9.95,0.64,3.41,52.14,3.89,3130600198.0,3125428798.0,-0.1,-0.1,-24.39,-12.52
537,2857,三晖电气,11.02,2.51,0.27,33056.0,36162091.0,6.98,11.3,10.55,10.63,10.75,0.94,2.58,-166.47,2.71,1410560000.0,1410560000.0,-0.18,-0.18,-31.13,-33.21
