指标,2024年3月,2024年2月,2024年1月,2023年12月,2023年11月,2023年10月,2023年9月,2023年8月,2023年7月,2023年6月,2023年5月,2023年4月,2023年3月,2023年2月,2023年1月,2022年12月,2022年11月,2022年10月,2022年9月,2022年8月,2022年7月,2022年6月,2022年5月,2022年4月,2022年3月,2022年2月,2022年1月,2021年12月,2021年11月,2021年10月,2021年9月,2021年8月,2021年7月,2021年6月,2021年5月,2021年4月
合成纤维产量_当期值,638.2,,,589.1,596.1,585.3,573.6,577.1,575.2,582.2,554.1,537.1,601.6,,,479.4,505.5,533.9,539.6,515.8,509.6,549.0,519.8,499.2,585.1,,,539.5,523.7,494.7,488.6,537.4,551.8,539.6,537.3,530.4
合成纤维产量_累计值,1701.8,1069.2,,6484.8,5985.3,5385.3,4765.3,4201.7,3625.2,3072.0,2479.6,1929.2,1442.6,872.5,,6154.9,5678.1,5171.7,4643.0,4103.8,3592.3,3088.9,2535.3,2021.4,1519.5,924.6,,6152.4,5623.0,5097.4,4604.6,4133.9,3598.0,3046.0,2514.2,1968.5
合成纤维产量_同比增长,7.3,,,30.9,23.4,14.2,10.1,16.3,17.1,9.5,11.0,12.6,3.1,,,-12.3,-5.2,6.2,8.6,-4.3,-7.8,1.0,-3.6,-6.2,6.9,,,-3.0,-1.2,-3.8,-2.2,9.2,9.9,5.6,7.4,10.4
合成纤维产量_累计增长,20.9,28.7,,9.8,9.6,8.3,6.4,6.4,4.5,3.3,2.2,0.2,-4.8,-6.3,,-0.9,0.1,0.7,0.1,-0.9,-0.2,0.9,0.7,2.5,5.3,3.7,,9.1,10.5,11.8,13.5,15.5,16.2,16.9,19.2,22.2
