指标,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年
九江港口非生产用码头长度,241.0,442.0,241.0,1394.0,2205.0,2205.0,2025.0,2025.0,2025.0,2025.0,2025.0,2025.0,2025.0,2025.0,130.0,130.0,130.0,130.0,130.0
安庆港口非生产用码头长度,442.0,,439.0,894.0,1072.0,1222.0,1572.0,1709.0,1709.0,1709.0,1709.0,1709.0,1709.0,1709.0,1759.0,495.0,465.0,465.0,480.0
池州港口非生产用码头长度,,45.0,,,,,,,,,,,,,,,,155.0,155.0
铜陵港口非生产用码头长度,45.0,241.0,45.0,45.0,45.0,45.0,226.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0
芜湖港口非生产用码头长度,,,,,,,,,,,,,,1820.0,1820.0,5769.0,245.0,245.0,285.0
马鞍山港口非生产用码头长度,,,,,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,45.0,45.0,45.0,45.0,,
南京港口非生产用码头长度,,,,,640.0,640.0,755.0,971.0,1112.0,1592.0,1592.0,1592.0,1592.0,1592.0,1592.0,1782.0,1782.0,1782.0,1782.0
镇江港口非生产用码头长度,120.0,,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,240.0,240.0,150.0,,
泰州港口非生产用码头长度,,,,,,,,,,,,,24.0,,24.0,24.0,24.0,24.0,24.0
扬州港口非生产用码头长度,,30.0,,,,,,372.0,,,,,,,,,,,
江阴港口非生产用码头长度,,,,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,,,,,,
常州港口非生产用码头长度,,,,,,,,,,,,,,,,,,,
南通港口非生产用码头长度,344.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,464.0,464.0,344.0,247.0,247.0,247.0,247.0
上海(内河)港口非生产用码头长度,350.0,350.0,350.0,355.0,355.0,305.0,792.0,792.0,792.0,707.0,707.0,667.0,857.0,857.0,,,,,
