指标,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年
蒸汽供热能力,125543.0,118784.0,103471.0,100943.0,92322.0,98328.0,78307.0,80699.0,84664.0,84362.0,86452.0,85274.0,105084.0,93193.0,94454.0,94009.0,95204.0,106723.0,98262.0
热水供热能力,600194.0,593226.0,566181.0,550530.0,578244.0,647827.0,493254.0,472556.0,447068.0,403542.0,365278.0,338752.0,315717.0,286106.0,305695.0,224660.0,217699.0,197976.0,174442.0
蒸汽供热总量,67113.0,68164.0,65054.0,65067.0,57731.0,57985.0,41501.0,49703.0,55614.0,53242.0,51609.0,51780.0,66397.0,63137.0,69082.0,66374.0,67794.0,71493.0,69447.0
热水供热总量,361226.0,357715.0,345004.0,327475.0,323665.0,310300.0,318044.0,302110.0,276546.0,266462.0,243818.0,229251.0,224716.0,200051.0,187467.0,158641.0,148011.0,139542.0,125194.0
蒸汽管道长度,,,,,,,12180.0,11692.0,12476.0,12259.0,12690.0,13388.0,15122.0,14317.0,16045.0,14116.0,14012.0,14772.0,12775.0
热水管道长度,,,,,,,201389.0,192721.0,174708.0,165877.0,147390.0,133965.0,124051.0,110490.0,104551.0,88870.0,79943.0,71338.0,64263.0
供热面积,111.25,106.03,98.82,92.51,87.8,83.09,73.87,67.22,61.12,57.17,51.84,47.38,43.57,37.96,34.89,30.06,26.59,25.21,21.63
集中供热管道长度,493417.0,461493.0,425982.0,392917.0,371120.0,276288.0,,,,,,,,,,,,,
