Name of Institution,Street Address,City,ZIP Code,County,Georeference
ACMG Federal Credit Union,1753 MILTON AVENUE,SOLVAY,13209,Onondaga,POINT (-76.205397479 43.060961931)
ACMG Federal Credit Union,4659 ONONDAGA BOULEVARD,SYRACUSE,13219,Onondaga,POINT (-76.192299834 43.033161211)
ACMG Federal Credit Union,4800 SOUTH SALINA STREET,SYRACUSE,13205,Onondaga,POINT (-76.142790331 43.000635815)
Abacus Federal Savings Bank,36-30 MAIN STREET,FLUSHING,11354,Queens,POINT (-73.831756326 40.762284999)
Abacus Federal Savings Bank,4824 8TH AVENUE,BROOKLYN,11220,Kings,POINT (-74.003163732 40.64185042)
Abacus Federal Savings Bank,6-8 Bowery,New York,10013,New York,POINT (-73.997548779 40.714339046)
Access Federal Credit Union,2094 Glenwood Plaza,Oneida,13421,Madison,POINT (-75.632503655 43.053702789)
Access Federal Credit Union,74-76 Main Street,Camden,13316,Oneida,POINT (-75.748323414 43.335078789)
Access Federal Credit Union,230 South James Street,Rome,13440,Oneida,POINT (-75.460376793 43.208644485)
Access Federal Credit Union,6 Franklin,Clinton,13323,Oneida,POINT (-75.382458202 43.047480939)
Access Federal Credit Union,390 West Seneca Street,Sherrill,13461,Oneida,POINT (-75.606382003 43.077503281)
Adirondack Bank,808 Main Street,Sylvan Beach,13157,Oneida,POINT (-75.728669779 43.199089157)
Adirondack Bank,67 Main Street,Saranac Lake,12983,Franklin,POINT (-74.13185788 44.326364023)
Adirondack Bank,185 Genesee Street,Utica,13501,Oneida,POINT (-75.230696637 43.101432819)
Adirondack Bank,9576 Main Street,Holland Patent,13354,Oneida,POINT (-75.254252486 43.243091809)
Adirondack Bank,296 West Main Street,Ilion,13357,Herkimer,POINT (-75.046665666 43.02026909)
Adirondack Bank,500 East Main Street,Little Falls,13365,Herkimer,POINT (-74.859512353 43.0435137)
Adirondack Bank,1709 Black River Boulevard,Rome,13440,Oneida,POINT (-75.439703667 43.23148207)
Adirondack Bank,214 North Washington Street,Herkimer,13350,Herkimer,POINT (-74.985956128 43.027971766)
Adirondack Bank,29 West Main Street,Mohawk,13407,Herkimer,POINT (-75.005759632 43.010961447)
Adirondack Bank,Utica College,Utica,13501,Oneida,POINT (-75.2722675 43.0957378)
Adirondack Bank,13150 State Route 12,Boonville,13309,Oneida,POINT (-75.315752586 43.476258159)
Adirondack Bank,136 Oriskany Boulevard,Whitesboro,13492,Oneida,POINT (-75.293157071 43.120375584)
Adirondack Bank,448 Route 3,Plattsburgh,12901,Clinton,POINT (-73.491863363 44.696861033)
Adirondack Bank,38 Hadjis Way,Lake Placid,12946,Essex,POINT (-73.998671702 44.296740072)
Adirondack Bank,139 Church Street Extension,Saranac Lake,12983,Franklin,POINT (-74.130519291 44.328379242)
Adirondack Bank,108 Codling Street,Old Forge,13420,Herkimer,POINT (-74.970972387 43.711932382)
Adirondack Bank,2817 Genesee Street,Utica,13501,Oneida,POINT (-75.284479789 43.074601424)
Adirondack Bank,4697 Commercial Drive,New Hartford,13413,Oneida,POINT (-75.3116478 43.089745763)
"Adirondack Trust Company, The",79 Main Street,Queensbury,12804,Warren,POINT (-73.672140331 43.299419574)
"Adirondack Trust Company, The",350 Canada Street,Lake George,12845,Warren,POINT (-73.711658071 43.426929611)
"Adirondack Trust Company, The",51B Luther Forest Blvd.,Malta,12118,Saratoga,POINT (-73.785264172 42.947895673)
"Adirondack Trust Company, The",315 Church Street,Saratoga Springs,12866,Saratoga,POINT (-73.804720162 43.085479333)
"Adirondack Trust Company, The",322 RUHLE ROAD,BALLSTON LAKE,12019,Saratoga,POINT (-73.808589752 42.936172827)
"Adirondack Trust Company, The",376 Bay Road,Queensbury,12804,Saratoga,POINT (-73.652562971 43.335425213)
"Adirondack Trust Company, The",224 Church Avenue,Ballston Spa,12020,Saratoga,POINT (-73.852107587 42.990215399)
"Adirondack Trust Company, The",13 Triebel Avenue,Ballston Spa,12020,Saratoga,POINT (-73.851310083 43.04791163)
"Adirondack Trust Company, The",3017 Route  50,Wilton,12866,Saratoga,POINT (-73.747198262 43.099994316)
"Adirondack Trust Company, The",162 Northline Road,Ballston Spa,12020,Saratoga,POINT (-73.837981231 43.02299719)
"Adirondack Trust Company, The",Route  50  and  Route 9,Saratoga Springs,12866,Saratoga,POINT (-73.771113005 43.092131001)
"Adirondack Trust Company, The",112 Broadway,Saratoga Springs,12866,Saratoga,POINT (-73.788524481 43.068503758)
"Adirondack Trust Company, The",650 Maple Avenue - Route 9,Wilton,12866,Saratoga,POINT (-73.767573328 43.123225054)
"Adirondack Trust Company, The",2510 Route 9,Malta,12020,Saratoga,POINT (-73.79309748 42.972444842)
"Adirondack Trust Company, The",473 Broadway,Saratoga Springs,12866,Saratoga,POINT (-73.7852459 43.08316664)
Advantage Federal C.U.,225 WEST BROAD STREET,ROCHESTER,14614,Monroe,POINT (-77.617765599 43.153531083)
Advantage Federal C.U.,70 Metro Park,Rocheter,14623,Monroe,POINT (-77.616130373 43.09820675)
Advantage Federal C.U.,1425 Portland Avenue,Rochester,14621,Monroe,POINT (-77.585588394 43.191533793)
Advantage Federal C.U.,601 ELMWOOD AVENUE,ROCHESTER,14642,Monroe,POINT (-77.623587417 43.122832194)
Advantage Federal C.U.,1625 MOUNT HOPE AVENUE,ROCHESTER,14620,Monroe,POINT (-77.621020376 43.11828979)
Advantage Federal C.U.,38 LOMB MEMORIAL DRIVE,ROCHESTER,14623,Monroe,POINT (-77.680566757 43.082569094)
Advantage Federal C.U.,1975 BUFFALO ROAD,ROCHESTER,14624,Monroe,POINT (-77.70783929 43.147462962)
Advantage Federal C.U.,2515 BROWNCROFT BOULEVARD,ROCHESTER,14626,Monroe,POINT (-77.504565314 43.153323672)
Advantage Federal C.U.,1000 SOUTH AVENUE,ROCHESTER,14620,Monroe,POINT (-77.60616253 43.135610238)
Advantage Federal C.U.,100 KINGS HIGHWAY SOUTH,ROCHESTER,14617,Monroe,POINT (-77.574921501 43.202145408)
Advantage Federal C.U.,321 NEW CAMPUS DRIVE,BROCKPORT,14420,Monroe,POINT (-77.950923954 43.208510123)
Advantage Federal C.U.,6000 Reynolds Drive,Rochester,14623,Monroe,POINT (-77.679104147 43.08692918)
Advantage Federal C.U.,100 EXCHANGE BLVD,ROCHESTER,14614,Monroe,POINT (-77.610891013 43.153837357)
Advantage Federal C.U.,1 Lomb Memorial Drive,Rochester,14623,Monroe,POINT (-77.675364948 43.084766452)
Advantage Federal C.U.,100 RESIDENCE DRIVE,BROCKPORT,14420,Monroe,POINT (-77.94715302 43.211872565)
Alco Federal Credit Union,24 East Main St,Cuba,14727,Allegany,POINT (-78.274684101 42.217288968)
Alco Federal Credit Union,2859 Lindy Lane,Wellsville,14895,Allegany,POINT (-77.979146409 42.123506955)
Alco Federal Credit Union,32 Greenwich Street,Belmont,14813,Allegany,POINT (-78.028343151 42.225237317)
Alco Federal Credit Union,25 West Main Street,Friendship,14739,Allegany,POINT (-78.134975796 42.207662981)
Alden State Bank,5802 Broadway,Lancaster,14086,Erie,POINT (-78.645024997 42.895272115)
Alden State Bank,13216 Broadway,Alden,14004,Erie,POINT (-78.4956625 42.900621571)
Alden State Bank,6545 Transit Rd,Clarence,14051,New York,POINT (-78.696262733 43.027016815)
Alma Bank,805 PORT WASHINGTON BLVD,PORT WASHINGTON,11050,New York,POINT (-73.683083157 40.827570931)
Alma Bank,4401 13th Avenue,Brooklyn,11219,Kings,POINT (-73.989170647 40.637670784)
Alma Bank,1023 Avenue of the Americas,New York,10018,New York,POINT (-73.986032379 40.752532152)
Alma Bank,1705 CROSBY AVENUE,BRONX,10461,Bronx,POINT (-73.831393558 40.845440939)
Alma Bank,1218 Kings Highway,Brooklyn,11237,Kings,POINT (-73.960341343 40.607781168)
Alma Bank,41-02 Broadway,Astoria,11103,Queens,POINT (-73.918107363 40.758427144)
Alma Bank,196-03 NORTHERN BOULEVARD,FLUSHING,11358,Queens,POINT (-73.785436924 40.75811341)
Alma Bank,28-20 Ditmars Boulevard,Astoria,11105,Queens,POINT (-73.911922441 40.776827517)
Alma Bank,8424 5th Avenue,Brooklyn,11209,Kings,POINT (-74.025738209 40.622332739)
Alma Bank,2831 31st Street,Astoria,11102,Queens,POINT (-73.920781274 40.767368079)
Alternatives Federal Credit Union,125 North Fulton Street,Ithaca,14850,Tompkins,POINT (-76.510278562 42.439564384)
Alternatives Federal Credit Union,125 N Fulton St,Ithaca,14850,Tompkins,POINT (-76.510278562 42.439564384)
Amalgamated Bank,2067 Bartow Avenue,Bronx,10475,Bronx,POINT (-73.8282801 40.869997442)
Amalgamated Bank,10 East 14th Street,New York,10003,New York,POINT (-73.993055073 40.735609592)
Amalgamated Bank,1212 Fulton Street,Brooklyn,11216,Kings,POINT (-73.952103524 40.680412748)
Amerasia Bank,214-01 Northern Blvd.,Bayside,11361,Queens,POINT (-73.768844108 40.760484063)
AmeriCU Credit Union,1916 BLACK RIVER BOULEVARD,ROME,13440,Oneida,POINT (-75.435328817 43.236533675)
AmeriCU Credit Union,280 GENESEE STREET,ONEIDA,13421,Madison,POINT (-75.651590803 43.078934324)
AmeriCU Credit Union,4957 COMMERCIAL DRIVE,YORKVILLE,13495,Oneida,POINT (-75.29926446 43.103398626)
AmeriCU Credit Union,6303 THOMPSON ROAD,SYRACUSE,13206,Onondaga,POINT (-76.089592351 43.076100947)
AmeriCU Credit Union,295 GRANT AVENUE,AUBURN,13021,Cayuga,POINT (-76.545094138 42.954318725)
AmeriCU Credit Union,871 ARSENAL ST,WATERTOWN,13601,Jefferson,POINT (-75.929930842 43.976363658)
AmeriCU Credit Union,231 HILL ROAD,ROME,13440,Oneida,POINT (-75.419679971 43.220562839)
AmeriCU Credit Union,7474 OSWEGO RD,LIVERPOOL,13090,Onondaga,POINT (-76.220391363 43.133025217)
AmeriCU Credit Union,200 WALTON STREET,SYRACUSE,13202,Onondaga,POINT (-76.155745683 43.048100068)
AmeriCU Credit Union,326 EAST STATE STREET,HERKIMER,13350,Herkimer,POINT (-74.979956362 43.027351295)
AmeriCU Credit Union,6414 STATE ROUTE 31,CICERO,13039,Onondaga,POINT (-76.078047872 43.176719953)
AmeriCU Credit Union,7394 UTICA BOULEVARD,LOWVILLE,13367,Lewis,POINT (-75.483813014 43.778346434)
AmeriCU Credit Union,5439 NORTH BURDICK STREET,FAYETTEVILLE,13066,Onondaga,POINT (-76.018321028 43.038977372)
AmeriCU Credit Union,5212 WEST GENESEE STREET,CAMILLUS,13031,Onondaga,POINT (-76.267747356 43.041653337)
AmeriCU Credit Union,224 NORTH GENESEE STREET,UTICA,13502,Oneida,POINT (-75.214746881 43.112512563)
AmeriCU Credit Union,82 Albany Street,Cazenovia,13035,Madison,POINT (-75.852773076 42.929712433)
AmeriCU Credit Union,3944 NY Rt 281,Cortland,13045,Cortland,POINT (-76.204369774 42.597375755)
AmeriCU Credit Union,590 Bridge Street,Geddes,13209,Onondaga,POINT (-76.212441715 43.072188275)
AmeriCU Credit Union,4865 West Seneca Turnpike,Syracuse,13215,Onondaga,POINT (-76.180116318 43.005958206)
AmeriCU Credit Union,412 Genesee Street,Oneida,13421,Madison,POINT (-75.663883703 43.078268968)
AmeriCU Credit Union,10750 Enduring Freedom Drive,Fort Drum,13602,Jefferson,POINT (-75.80899964 44.046529056)
American Broadcast Employees Federal Credit Union,77 West 66th Street,New York,10023,New York,POINT (-73.980711714 40.773354601)
American Broadcast Employees Federal Credit Union,30 West 66th Street,New York,10023,New York,POINT (-73.979623676 40.772733339)
Apple Bank For Savings,85 Pondfield Road,Bronxville,10708,Westchester,POINT (-73.83282175 40.940080211)
Apple Bank For Savings,604 WEST 181ST STREET,NEW  YORK,10033,New York,POINT (-73.934134317 40.849355874)
Apple Bank For Savings,3986 Hempstead Turnpike,Bethpage,11714,Nassau,POINT (-73.489172521 40.724931676)
Apple Bank For Savings,200 Birch Hill Road,Locust Valley,11560,Nassau,POINT (-73.595839447 40.879509519)
Apple Bank For Savings,333 Glen Cove Avenue,Sea Cliff,11579,Nassau,POINT (-73.635147472 40.84137999)
Apple Bank For Savings,74 Hugh J Grant Circle,Bronx,10472,Bronx,POINT (-73.860335766 40.832713312)
Apple Bank For Savings,1954 Flatbush Avenue,Brooklyn,11234,Kings,POINT (-73.936632208 40.622151103)
Apple Bank For Savings,1693 Hempstead Turnpike,Elmont,11003,Nassau,POINT (-73.703457217 40.707107056)
Apple Bank For Savings,91-31 Queens Boulevard,Elmhurst,11373,Queens,POINT (-73.869415044 40.73353767)
Apple Bank For Savings,33 Mamaroneck Avenue,White Plains,10601,Westchester,POINT (-73.766067052 41.031374416)
Apple Bank For Savings,465 Grand Street,New York,10002,New York,POINT (-73.983720063 40.714829848)
Apple Bank For Savings,10 Downing Street,New York,10014,New York,POINT (-74.002970361 40.729494784)
Apple Bank For Savings,280 East Park Avenue,Long Beach,11561,Nassau,POINT (-73.655684643 40.588242323)
Apple Bank For Savings,"167 Walt Whitman Road, Route 110",Huntington Station,11746,Suffolk,POINT (-73.412630096 40.823821323)
Apple Bank For Savings,1395 Northern Boulevard,Manhasset,11030,Nassau,POINT (-73.695238174 40.793357217)
Apple Bank For Savings,418 Myrtle Avenue,Brooklyn,11205,Kings,POINT (-73.969130774 40.693002451)
Apple Bank For Savings,1000 Merchants Councourse,Westbury,11590,Nassau,POINT (-73.59243279 40.746590682)
Apple Bank For Savings,1753 East Main Street,Mohegan Lake,10547,Westchester,POINT (-73.852210847 41.323680511)
Apple Bank For Savings,170-29 HILLSIDE AVENUE,JAMAICA,11432,Queens,POINT (-73.790873342 40.711770957)
Apple Bank For Savings,120 East Fordham Road,Bronx,10458,Bronx,POINT (-73.898253485 40.86218467)
Apple Bank For Savings,78-01 37TH AVENUE,JACKSON HEIGHTS,11372,Queens,POINT (-73.887909546 40.749489898)
Apple Bank For Savings,345 SEVENTH AVENUE,NEW YORK,10012,New York,POINT (-73.992514607 40.748104956)
Apple Bank For Savings,370 EAST 149TH STREET,BRONX,10455,Bronx,POINT (-73.918733072 40.816204441)
Apple Bank For Savings,2021 Bartow Avenue,Bronx,10475,Bronx,POINT (-73.830832138 40.869220607)
Apple Bank For Savings,1212 AVENUE M,BROOKLYN,11230,Kings,POINT (-73.962262894 40.617635059)
Apple Bank For Savings,250 West 23rd Street,New York,10011,New York,POINT (-73.997639052 40.744774533)
Apple Bank For Savings,812-814 LEXINGTON AVENUE,NEW YORK,10022,New York,POINT (-73.966678397 40.764545682)
Apple Bank For Savings,79 Route 59,Monsey,10952,Rockland,POINT (-74.066734457 41.107503304)
Apple Bank For Savings,30-98c Steinway St,Astoria,11103,Queens,POINT (-73.920992959 40.756631927)
Apple Bank For Savings,101 E170TH ST,NEW YORK,10452,New York,POINT (-73.915596983 40.839589239)
Apple Bank For Savings,326 Court St,Brooklyn,11229,Kings,POINT (-73.995741892 40.683020358)
Apple Bank For Savings,1289 Boston Post Rd,Larchmont,10538,Westchester,POINT (-73.746169635 40.937053506)
Apple Bank For Savings,32 North Main St,New City,10956,Rockland,POINT (-73.988766137 41.148220511)
Apple Bank For Savings,1421 Sheepshead Bay Rd,Brooklyn,11235,Kings,POINT (-73.954525056 40.587572065)
Apple Bank For Savings,122 EAST 42ND STREET,NEW YORK,10168,New York,POINT (-73.976464855 40.751449378)
Apple Bank For Savings,169 EAST 125TH STREET,NEW YORK,10035,New York,POINT (-73.936208251 40.804046952)
Apple Bank For Savings,3815 BROADWAY,NEW YORK,10032,New York,POINT (-73.944364429 40.835224111)
Apple Bank For Savings,592 W207TH ST,NEW YORK,10034,New York,POINT (-73.921045723 40.867136699)
Apple Bank For Savings,1555 FIRST AVENUE,NEW YORK,10028,New York,POINT (-73.951982909 40.773618087)
Apple Bank For Savings,43-73 Kissena Boulevard,Flushing,11355,Queens,POINT (-73.822760952 40.754042026)
Apple Bank For Savings,2100 Broadway,New York,10023,New York,POINT (-73.981425685 40.779608633)
Apple Bank For Savings,1320 Avenue of the Americas,New York,10019,New York,POINT (-73.978708607 40.761884512)
Apple Bank For Savings,12 Westchester Square,Bronx,10461,Bronx,POINT (-73.843523848 40.840174714)
Apple Bank For Savings,2186 WHITE PLAINS RD,BRONX,10462,Bronx,POINT (-73.867456864 40.856043669)
Apple Bank For Savings,44 EAST 161ST STREET,BRONX,10451,Bronx,POINT (-73.925938659 40.827519717)
Apple Bank For Savings,1321 Kings Highway,Brooklyn,11229,Kings,POINT (-73.959433247 40.608418067)
Apple Bank For Savings,326 COURT STREET,BROOKLYN,11231,Kings,POINT (-73.995741892 40.683020358)
Apple Bank For Savings,1075 CENTRAL PARK AVENUE,SCARSDALE,10583,Westchester,POINT (-73.824934882 40.988052274)
Apple Bank For Savings,666 Columbus Ave (Rose Hill Shopping Center),Thornwood,10594,Westchester,POINT (-73.769936 41.114535)
Apple Bank For Savings,943 Carmens Road,Massapequa,11758,Nassau,POINT (-73.431710887 40.702652997)
Apple Bank For Savings,776 Manhattan Avenue,Brooklyn,11222,Kings,POINT (-73.952663519 40.727309329)
Apple Bank For Savings,6701 18th Avenue,Brooklyn,11204,Kings,POINT (-73.991350026 40.617770511)
Apple Bank For Savings,3075 Veterans Highway,Ronkonkoma,11779,Suffolk,POINT (-73.137446246 40.788259615)
Apple Bank For Savings,1401 Avenue J,Brooklyn,11230,Kings,POINT (-73.962207071 40.625231453)
Apple Bank For Savings,111 FOURTH AVE,NEW YORK,10003,New York,POINT (-73.989915715 40.732417051)
Apple Bank For Savings,3552-B Johnson Avenue,Bronx,10463,Bronx,POINT (-73.909527899 40.886523328)
Apple Bank For Savings,1168 FIRST AVENUE,NEW YORK,10021,New York,POINT (-73.959428218 40.762802121)
Apple Bank For Savings,4519 13th Avenue,Brooklyn,11219,Kings,POINT (-73.990094584 40.636779201)
Apple Bank For Savings,1973 86th Street,Brooklyn,11214,Kings,POINT (-73.998516385 40.604962586)
Apple Bank For Savings,7415 Fifth Avenue,Brooklyn,11209,Kings,POINT (-74.022322499 40.629853402)
Apple Bank For Savings,405 Brighton Beach Avenue,Brooklyn,11235,Kings,POINT (-73.963143497 40.577427866)
Apple Bank For Savings,486 NEPTUNE AVENUE,BROOKLYN,11224,Kings,POINT (-73.972395441 40.579607161)
Apple Bank For Savings,1575 50th Street,Brooklyn,11219,Kings,POINT (-73.986285345 40.6307462)
Apple Bank For Savings,365 South Oyster Bay Road,Plainview,11803,Nassau,POINT (-73.502910376 40.785625331)
Apple Bank For Savings,50 Montauk Highway,East Hampton,11937,Suffolk,POINT (-72.208145136 40.954745524)
Apple Bank For Savings,138 Main Street,Sag Harbor,11963,Suffolk,POINT (-72.295816239 40.99975647)
Apple Bank For Savings,10 Route 25A,East Setauket,11733,Suffolk,POINT (-73.106180566 40.94101626)
Apple Bank For Savings,775 Pulaski Road,Greenlawn,11740,Suffolk,POINT (-73.348025671 40.868828075)
Apple Bank For Savings,91 Route 111,Smithtown,11787,Suffolk,POINT (-73.185762629 40.853125132)
Apple Bank For Savings,151 East Sunrise Highway,North Lindenhurst,11757,Suffolk,POINT (-73.374360732 40.703445631)
Apple Bank For Savings,41 Commack Road,Commack,11725,Suffolk,POINT (-73.293538146 40.841871086)
Apple Bank For Savings,8 LITTLE NECK RD,BABYLON,11702,Suffolk,POINT (-73.334270675 40.693280227)
Apple Bank For Savings,318 Albany Avenue,Brooklyn,11213,Kings,POINT (-73.939613651 40.668807878)
Apple Bank For Savings,414 Flushing Avenue,Brooklyn,11205,Kings,POINT (-73.958188116 40.69868207)
Apple Bank For Savings,2655 Richmond Avenue,Staten Island,10314,Richmond,POINT (-74.166456784 40.581819271)
Apple Bank For Savings,101 East 170th Street,Bronx,10452,Bronx,POINT (-73.915596983 40.839589239)
Apple Bank For Savings,102-35 Queens Boulevard,Forest Hills,11375,Queens,POINT (-73.850489712 40.725602145)
Apple Bank For Savings,115 Cedarhurst Avenue,Cedarhurst,11516,Nassau,POINT (-73.724170911 40.622095783)
Apple Bank For Savings,44 Lee Avenue,Brooklyn,11211,Kings,POINT (-73.960656251 40.706201056)
Apple Bank For Savings,10 Hanover Square,New York,10005,New York,POINT (-74.009023269 40.704474552)
Apple Bank For Savings,116-12 Queens Boulevard,Kew Gardens,11375,Queens,POINT (-73.833470928 40.715661543)
BCB Community Bank,1500 forest avenue,staten island,10302,Richmond,POINT (-74.138577568 40.624163011)
BCB Community Bank,240 Page Avenue,Staten Island,10307,Richmond,POINT (-74.235770346 40.517598554)
BCB Community Bank,354 NEW DORP LANE,STATEN ISLAND,10306,Richmond,POINT (-74.11082823 40.570978566)
BCB Community Bank,70 Broadway,Hicksville,11801,Nassau,POINT (-73.524337706 40.767323152)
Ballston Spa National Bank,625 Maple Avenue,Saratoga Springs,12866,Saratoga,POINT (-73.769618763 43.120072872)
Ballston Spa National Bank,344 Rowland Street,Ballston Spa,12020,Saratoga,POINT (-73.849737688 43.043764235)
Ballston Spa National Bank,428 Hudson Avenue,Mechanicville,12118,Saratoga,POINT (-73.667085792 42.929587962)
Ballston Spa National Bank,3060 Route 9N,Greenfield Center,12833,Saratoga,POINT (-73.846924889 43.125866737)
Ballston Spa National Bank,5091 Sacandaga Road,Galway,12074,Saratoga,POINT (-74.031212681 43.012625926)
Ballston Spa National Bank,770 Saratoga Road,Burnt Hills,12027,Saratoga,POINT (-73.902949313 42.904575389)
Ballston Spa National Bank,87 Front Street,Ballston Spa,12020,Saratoga,POINT (-73.851890161 43.002223607)
Ballston Spa National Bank,1714 ROUTE 9,CLIFTON PARK,12065,Saratoga,POINT (-73.770533145 42.864892787)
Ballston Spa National Bank,124 Dunning Street,Ballston Spa,12020,Saratoga,POINT (-73.791203924 42.971762974)
Ballston Spa National Bank,990 Route 67,Ballston Spa,12020,Saratoga,POINT (-73.851443154 42.987525269)
Ballston Spa National Bank,1202 TROY SCHENECTADY ROAD,LATHAM,12110,Albany,POINT (-73.822286213 42.771266431)
Ballston Spa National Bank,1973 Western Ave,Albany,12203,Albany,POINT (-73.879456648 42.695414686)
Ballston Spa National Bank,13 MAPLE ROAD,VOORHEESVILLE,12186,Albany,POINT (-73.922852359 42.649169212)
Banco Popular North America,52-16th Fifth Avenue,Brooklyn,11220,Kings,POINT (-73.977208498 40.681443722)
Banco Popular North America,3851 Nostrand Avenue,Brooklyn,11235,Kings,POINT (-73.939503261 40.590003068)
Banco Popular North America,1170 Castle Hill Avenue,Bronx,10462,Bronx,POINT (-73.85075567 40.83160271)
Banco Popular North America,11 West 51st Street,New York,10019,New York,POINT (-73.97771334 40.759688453)
Banco Popular North America,375 Park Avenue South,New York,10010,New York,POINT (-73.984606067 40.742384601)
Banco Popular North America,310 Houston Street,New York,10002,New York,POINT (-73.983148585 40.721475943)
Banco Popular North America,875 Third Avenue,New York,10022,New York,POINT (-73.969572249 40.757115921)
Banco Popular North America,28-36 Steinway Street,Long Island City,11103,Queens,POINT (-73.914592831 40.764640272)
Banco Popular North America,441 Second Avenue,New York,10010,New York,POINT (-73.980010652 40.739433752)
Banco Popular North America,35-30 Junction Boulevard,Corona,11368,Queens,POINT (-73.871477998 40.752408142)
Banco Popular North America,1200 St. Nicholas Avenue,New York,10032,New York,POINT (-73.938603547 40.842348352)
Banco Popular North America,1230 Fulton Street,Brooklyn,11216,Kings,POINT (-73.951298526 40.680373144)
Banco Popular North America,956 Flatbush Avenue,Brooklyn,11226,Kings,POINT (-73.958339074 40.648092884)
Banco Popular North America,2812 Broadway,New York,10025,New York,POINT (-73.967042507 40.803270452)
Banco Popular North America,180 Dyckman Street,New York,10040,New York,POINT (-73.926708872 40.864316607)
Banco Popular North America,285 Madison Avenue,New York,10014,New York,POINT (-73.979977711 40.751644215)
Banco Popular North America,301 Fordham Road,Bronx,10458,Bronx,POINT (-73.894714058 40.862299377)
Banco Popular North America,2923 Third Avenue,Bronx,10455,Bronx,POINT (-73.915857912 40.817509001)
Banco Popular North America,918 Seneca Avenue,Ridgewood,11385,Queens,POINT (-73.903639444 40.700283684)
Banco Popular North America,2095 Ralph Avenue,Brooklyn,11234,Kings,POINT (-73.917396494 40.624661148)
Banco Popular North America,231 West 125th Street,New York,10027,New York,POINT (-73.949416035 40.809611027)
Banco Popular North America,1619 Sheepshead Bay Road,Brooklyn,11235,Kings,POINT (-73.952566541 40.587041322)
Banco Popular North America,134 Delancy Street,New York,10002,New York,POINT (-73.987077183 40.718450705)
Banco Popular North America,3540 Broadway,New York,10031,New York,POINT (-73.950296302 40.826196717)
Banco Popular North America,752 East Tremont Avenue,Bronx,10457,Bronx,POINT (-73.889313514 40.844385908)
Banco Popular North America,90 West 96th Street,New York,10025,New York,POINT (-73.966970087 40.792444679)
Banco Popular North America,166 Livingston Street,Brooklyn,11201,Kings,POINT (-73.987380105 40.690144305)
Banco Popular North America,83-22 Baxter Avenue,Elmhurst,11373,Queens,POINT (-73.882486706 40.747528575)
Banco Popular North America,615 West 181 Street,New York,10033,New York,POINT (-73.934371369 40.849654665)
Banco Popular North America,1620 Pitkin Avenue,Brooklyn,11212,Kings,POINT (-73.913762688 40.669123456)
Banco Popular North America,15 Graham Avenue,Brooklyn,11205,Kings,POINT (-73.942451428 40.701726545)
Banco Popular North America,164 East 116th Street,New York,10029,New York,POINT (-73.94107118 40.798233054)
Banco Popular North America,1046 Southern Boulevard,Bronx,10459,Bronx,POINT (-73.891683414 40.824162094)
Banco Popular North America,66 Court Street,Brooklyn,11201,Kings,POINT (-73.991498386 40.691844407)
Bank On Buffalo,9470 Clarence Center Road,Clarence Center,14032,Erie,POINT (-78.636851804 43.010595829)
Bank On Buffalo,77 Buell Street,Akron,14001,Erie,POINT (-78.502963473 43.01340188)
Bank On Buffalo,9865 Main Street,Clarence,14031,Erie,POINT (-78.621545694 42.974546269)
Bank On Buffalo,3619 Walden Avenue,Lancaster,14086,Erie,POINT (-78.671992095 42.915450373)
Bank On Buffalo,46 Main Street,Akron,14001,Erie,POINT (-78.500844863 43.020321183)
Bank On Buffalo,5190 Sheridan Drive,Williamsville,14221,Erie,POINT (-78.740808861 42.978984571)
Bank On Buffalo,683 Northland Ave,Buffalo,14211,Erie,POINT (-78.834282169 42.918110454)
Bank On Buffalo,3049 Orchard Park Rd,Orchard Park,14127,Erie,POINT (-78.752324674 42.801688501)
Bank On Buffalo,827 Hopkins Rd,Amherst,14221,Erie,POINT (-78.739375166 43.001280026)
Bank On Buffalo,638 LAKE STREET,WILSON,14172,Erie,POINT (-78.825743105 43.298154074)
Bank On Buffalo,535 Washington St,Buffalo,14203,Erie,POINT (-78.872240705 42.888693192)
Bank On Buffalo,7121 Niagara Falls Blvd,Niagara Falls,14304,Niagara,POINT (-78.982717124 43.087754265)
Bank of America N.A. GA1-006-15-40,1428 Altamont Avenue,Schenectady,12303,Schenectady,POINT (-73.944468533 42.784325892)
Bank of America N.A. GA1-006-15-40,3881 Richmond Avenue,Staten Island,10312,Richmond,POINT (-74.164138517 40.543789487)
Bank of America N.A. GA1-006-15-40,642 Gateway Drive,Brooklyn,11239,Kings,POINT (-73.868307208 40.655928916)
Bank of America N.A. GA1-006-15-40,915 West Beech Street,Long Beach,11561,Nassau,POINT (-73.692324205 40.586247933)
Bank of America N.A. GA1-006-15-40,2260 Broadway,New York,10024,New York,POINT (-73.978681534 40.785152172)
Bank of America N.A. GA1-006-15-40,2077 Broadway,New York,10023,New York,POINT (-73.982250883 40.778689725)
Bank of America N.A. GA1-006-15-40,1275 Lexington Avenue,New York,10028,New York,POINT (-73.95571076 40.779106263)
Bank of America N.A. GA1-006-15-40,2895 Richmond Avenue,Staten Island,10314,Richmond,POINT (-74.169500337 40.574274175)
Bank of America N.A. GA1-006-15-40,6601 18th Avenue,Brooklyn,11204,Kings,POINT (-73.990748708 40.618369566)
